trial,score,duration_ms,status,config
0,0.646059,516,Completed,"learning.weight_decay=Float(3.28789154437151e-5);timing.refractory_period=Int(10);learning.stdp_a_plus=Float(0.0025872495404672792);learning.base_learning_rate=Float(0.002120885766297016);timing.stdp_tau_minus=Float(16.900232071499396);curiosity.habituation_rate=Float(0.9176592290200432);memory.consolidation_rate=Float(0.00010630230172298266);learning.trace_increment=Float(0.09885906290702035);timing.eligibility_trace_tau=Float(109.40669728670149);learning.stdp_a_minus=Float(0.0010622553090232972);predictive.state_learning_rate=Float(0.013474363891186404);timing.stp_recovery_tau=Float(109.24510573019393);homeostasis.meta_threshold=Float(0.13860278329546627);memory.tag_decay_rate=Float(0.0023166895724578297);homeostasis.homeo_eta=Float(0.027918192688550936);competition.strength=Float(0.17781168075227452);timing.stdp_window=Int(38);network.initial_threshold=Float(0.2288778975906032);network.initial_exc_weight=Float(0.07173238471423564);homeostasis.memory_alpha=Float(0.01261482114068204);curiosity.scale=Float(0.11117169763454508);energy.cost_fire_ratio=Float(0.06518321819956954);memory.weight_clamp=Float(2.1364606528394994);curiosity.surprise_threshold=Float(0.0010513826432390163);network.inhibitory_ratio=Float(0.17999455693177754);network.initial_inh_weight=Float(0.7443291985067373);timing.stdp_tau_plus=Float(20.145854286417794);learning.istdp_rate=Float(0.00030522823240588203);homeostasis.target_firing_rate=Float(0.06773131939064043);working_memory.capacity=Int(5);stp.use_fraction=Float(0.10271662778749985);homeostasis.homeo_interval=Int(8);learning.ltp_ltd_ratio=Float(1.0371989735954439);memory.dopamine_sensitivity=Float(1.3023752689599934);energy.recovery_rate=Float(5.947860543836807)"
1,0.626944,616,Completed,"memory.tag_decay_rate=Float(0.0018589213881084034);learning.trace_increment=Float(0.11251256250834851);network.inhibitory_ratio=Float(0.10024053652310758);learning.stdp_a_plus=Float(0.002274209968434834);timing.stp_recovery_tau=Float(167.10165018846786);memory.consolidation_rate=Float(0.00016101270150591936);timing.stdp_tau_minus=Float(13.856841054246026);competition.strength=Float(0.153098614153708);predictive.state_learning_rate=Float(0.054127844393278786);energy.recovery_rate=Float(10.013665002075411);timing.stdp_tau_plus=Float(18.106505958853873);network.initial_inh_weight=Float(0.11560108871562433);learning.istdp_rate=Float(0.0007151993591750014);network.initial_threshold=Float(0.15223180466616337);learning.base_learning_rate=Float(0.0016519575947258845);curiosity.habituation_rate=Float(0.9413561025020565);homeostasis.meta_threshold=Float(0.1733628678306385);timing.stdp_window=Int(52);learning.stdp_a_minus=Float(0.0014200728787556033);homeostasis.memory_alpha=Float(0.009335304807725243);timing.refractory_period=Int(2);homeostasis.homeo_eta=Float(0.024015955286047247);timing.eligibility_trace_tau=Float(105.50577226950041);learning.ltp_ltd_ratio=Float(1.5836172712928656);energy.cost_fire_ratio=Float(0.04167476714860526);homeostasis.target_firing_rate=Float(0.07772954646212271);network.initial_exc_weight=Float(0.02797477100928658);curiosity.scale=Float(0.23982735065506477);memory.weight_clamp=Float(2.263774104710616);homeostasis.homeo_interval=Int(1);memory.dopamine_sensitivity=Float(1.6997473970287822);learning.weight_decay=Float(1.1781622945203298e-5);stp.use_fraction=Float(0.11375491591490687);curiosity.surprise_threshold=Float(0.009181744359296928);working_memory.capacity=Int(6)"
2,0.656857,642,Completed,"network.initial_threshold=Float(0.1734146539292798);homeostasis.meta_threshold=Float(0.15439128017853743);timing.stdp_tau_plus=Float(49.19596264120097);working_memory.capacity=Int(6);timing.stdp_tau_minus=Float(15.069311228596911);curiosity.surprise_threshold=Float(0.0012543212101728796);timing.stdp_window=Int(49);network.initial_exc_weight=Float(0.06806024811418268);timing.eligibility_trace_tau=Float(79.20783354075236);energy.cost_fire_ratio=Float(0.04545030070828514);network.inhibitory_ratio=Float(0.22826512105024074);stp.use_fraction=Float(0.13810147260970004);learning.base_learning_rate=Float(0.0022713970609760476);learning.stdp_a_minus=Float(0.0021615097721593137);homeostasis.homeo_interval=Int(7);memory.tag_decay_rate=Float(0.0036203511977597096);homeostasis.memory_alpha=Float(0.00708585112568254);predictive.state_learning_rate=Float(0.03617322459443855);learning.stdp_a_plus=Float(0.0010535709220376502);learning.ltp_ltd_ratio=Float(2.459281188309957);timing.stp_recovery_tau=Float(95.69796281766565);energy.recovery_rate=Float(2.2358002833174075);timing.refractory_period=Int(1);learning.trace_increment=Float(0.12470228949671198);curiosity.habituation_rate=Float(0.9259000090360409);homeostasis.target_firing_rate=Float(0.12908527312313328);learning.istdp_rate=Float(0.00021473295404566);curiosity.scale=Float(0.22374555049784145);memory.weight_clamp=Float(2.726888853527347);competition.strength=Float(0.10253629349231169);network.initial_inh_weight=Float(0.5176336874760765);learning.weight_decay=Float(0.00022590213550696873);memory.consolidation_rate=Float(0.00037500060449440327);homeostasis.homeo_eta=Float(0.012587745794653347);memory.dopamine_sensitivity=Float(4.992930324979342)"
3,0.640827,683,Completed,"curiosity.surprise_threshold=Float(0.0038107258918519183);timing.stdp_tau_plus=Float(32.05694037770316);working_memory.capacity=Int(6);timing.stp_recovery_tau=Float(133.5131102552435);network.inhibitory_ratio=Float(0.18162049240936073);timing.refractory_period=Int(7);curiosity.scale=Float(0.20027801639639728);stp.use_fraction=Float(0.06443350693779847);predictive.state_learning_rate=Float(0.019194554379440173);energy.cost_fire_ratio=Float(0.04186473953348229);homeostasis.target_firing_rate=Float(0.10062028030646505);competition.strength=Float(0.20067172071446474);memory.weight_clamp=Float(1.6141255527301985);memory.consolidation_rate=Float(0.00011753553237332558);homeostasis.homeo_eta=Float(0.039811648495250145);learning.stdp_a_plus=Float(0.002639694266278341);timing.stdp_window=Int(39);network.initial_exc_weight=Float(0.0725456982996654);memory.dopamine_sensitivity=Float(4.045381901563466);learning.istdp_rate=Float(0.00015140914225806774);learning.stdp_a_minus=Float(0.008256475722161405);learning.base_learning_rate=Float(0.008492940831341514);homeostasis.memory_alpha=Float(0.018679732664935292);curiosity.habituation_rate=Float(0.9372001820800826);homeostasis.meta_threshold=Float(0.05354532233987593);learning.weight_decay=Float(3.249809709219791e-5);timing.stdp_tau_minus=Float(26.498077256022505);network.initial_threshold=Float(0.10748895183379971);timing.eligibility_trace_tau=Float(52.81439311212425);learning.ltp_ltd_ratio=Float(1.9914689834675445);network.initial_inh_weight=Float(0.3873775186686259);energy.recovery_rate=Float(12.207419778035819);memory.tag_decay_rate=Float(0.0016067730929210007);homeostasis.homeo_interval=Int(2);learning.trace_increment=Float(0.14838435999080174)"
4,0.641439,690,Completed,"learning.stdp_a_minus=Float(0.008346435742329156);homeostasis.homeo_interval=Int(7);stp.use_fraction=Float(0.14980288621732102);homeostasis.meta_threshold=Float(0.054767563369769505);learning.weight_decay=Float(1.5796838594509645e-5);memory.weight_clamp=Float(1.8797672327793593);memory.tag_decay_rate=Float(0.00275446798533427);competition.strength=Float(0.2885698336615623);timing.refractory_period=Int(4);timing.eligibility_trace_tau=Float(91.26050760595824);curiosity.scale=Float(0.08675091472378721);learning.base_learning_rate=Float(0.0010461741098426846);memory.dopamine_sensitivity=Float(4.933949535697221);energy.recovery_rate=Float(9.856965439593644);learning.istdp_rate=Float(0.0001292173989656542);homeostasis.memory_alpha=Float(0.011540077798590807);predictive.state_learning_rate=Float(0.04244165300873251);curiosity.surprise_threshold=Float(0.003444474569248776);network.initial_exc_weight=Float(0.06349016465095109);curiosity.habituation_rate=Float(0.9367108270241206);network.initial_threshold=Float(0.2791802091941191);timing.stp_recovery_tau=Float(76.68839356086413);homeostasis.target_firing_rate=Float(0.08814349709966768);memory.consolidation_rate=Float(0.00031571356633360536);network.initial_inh_weight=Float(0.3826428006129905);learning.trace_increment=Float(0.12579048090283537);timing.stdp_window=Int(54);network.inhibitory_ratio=Float(0.157959681879254);energy.cost_fire_ratio=Float(0.03475595282967108);homeostasis.homeo_eta=Float(0.017766570928481263);learning.stdp_a_plus=Float(0.001687039862018074);working_memory.capacity=Int(6);timing.stdp_tau_minus=Float(18.302164962119928);learning.ltp_ltd_ratio=Float(1.5744918339360718);timing.stdp_tau_plus=Float(14.219376988294389)"
5,0.645832,664,Completed,"working_memory.capacity=Int(7);learning.stdp_a_plus=Float(0.006957160533287253);homeostasis.homeo_interval=Int(9);network.inhibitory_ratio=Float(0.11776698269363656);timing.stdp_window=Int(33);timing.refractory_period=Int(10);timing.stdp_tau_plus=Float(49.86903853944248);timing.eligibility_trace_tau=Float(51.62753567693358);learning.ltp_ltd_ratio=Float(1.0215806101964742);learning.istdp_rate=Float(0.0003828364052736607);competition.strength=Float(0.206433053805128);timing.stdp_tau_minus=Float(25.974358626635365);homeostasis.target_firing_rate=Float(0.08493001581517282);predictive.state_learning_rate=Float(0.022147543157962184);network.initial_threshold=Float(0.21669714267288734);curiosity.surprise_threshold=Float(0.008820346561320396);memory.tag_decay_rate=Float(0.0018824340721566716);homeostasis.homeo_eta=Float(0.012375773845145429);network.initial_exc_weight=Float(0.05151879472926231);energy.cost_fire_ratio=Float(0.045800652936054544);learning.stdp_a_minus=Float(0.0034376346954131764);network.initial_inh_weight=Float(0.6653793950950213);memory.dopamine_sensitivity=Float(2.689277114739939);memory.consolidation_rate=Float(0.0009669164571055332);learning.trace_increment=Float(0.12360290155597099);curiosity.scale=Float(0.2126371356781193);memory.weight_clamp=Float(2.9652257165790594);timing.stp_recovery_tau=Float(79.41901615807298);learning.base_learning_rate=Float(0.007725613667119403);energy.recovery_rate=Float(12.155201398570837);stp.use_fraction=Float(0.10772201159450273);curiosity.habituation_rate=Float(0.9031879958371138);learning.weight_decay=Float(1.0327917304244587e-5);homeostasis.memory_alpha=Float(0.011157937552033174);homeostasis.meta_threshold=Float(0.13948099446470874)"
6,0.624483,495,Completed,"timing.stdp_tau_plus=Float(27.59038626160249);timing.eligibility_trace_tau=Float(84.59081428472695);timing.stdp_window=Int(43);learning.base_learning_rate=Float(0.0011743299733517967);working_memory.capacity=Int(6);timing.stdp_tau_minus=Float(8.326718654326797);learning.weight_decay=Float(0.0002531331700046844);network.initial_threshold=Float(0.2926244408340716);learning.istdp_rate=Float(0.000648731254794173);homeostasis.homeo_eta=Float(0.027597906875418445);energy.recovery_rate=Float(1.2543871347453415);timing.stp_recovery_tau=Float(62.28441874549827);learning.ltp_ltd_ratio=Float(1.6225977317948355);homeostasis.homeo_interval=Int(8);network.initial_exc_weight=Float(0.062494941633775586);energy.cost_fire_ratio=Float(0.015076057604764602);stp.use_fraction=Float(0.08186788730832467);predictive.state_learning_rate=Float(0.028823789477514038);learning.stdp_a_minus=Float(0.005915835004384449);memory.consolidation_rate=Float(0.0009947685463255352);memory.tag_decay_rate=Float(0.004365769006471822);competition.strength=Float(0.290018606137023);timing.refractory_period=Int(8);homeostasis.meta_threshold=Float(0.10112524005843448);network.initial_inh_weight=Float(0.7064516907107204);memory.weight_clamp=Float(2.3054899017572144);learning.stdp_a_plus=Float(0.0011476982412013763);learning.trace_increment=Float(0.06642607554477316);homeostasis.target_firing_rate=Float(0.053327247338212855);curiosity.habituation_rate=Float(0.9182355078443036);network.inhibitory_ratio=Float(0.20302141800127493);memory.dopamine_sensitivity=Float(1.4639047816078887);homeostasis.memory_alpha=Float(0.019861438931771797);curiosity.scale=Float(0.06374313053063656);curiosity.surprise_threshold=Float(0.0076992220726411886)"
7,0.646799,489,Completed,"network.inhibitory_ratio=Float(0.239041328136586);homeostasis.meta_threshold=Float(0.058225485451571996);network.initial_threshold=Float(0.2407527217037866);memory.tag_decay_rate=Float(0.0024351007278629318);timing.eligibility_trace_tau=Float(103.52147777619432);learning.base_learning_rate=Float(0.0019315200060679876);predictive.state_learning_rate=Float(0.06584006402657673);energy.cost_fire_ratio=Float(0.054602257754793916);learning.istdp_rate=Float(0.00038179560888377195);timing.stp_recovery_tau=Float(133.76069048739987);curiosity.scale=Float(0.106828483107227);homeostasis.homeo_eta=Float(0.013919944549563489);timing.stdp_window=Int(22);memory.weight_clamp=Float(2.369246817512728);homeostasis.homeo_interval=Int(2);learning.trace_increment=Float(0.08008777759505617);memory.consolidation_rate=Float(0.00011903446128485195);learning.ltp_ltd_ratio=Float(2.263830573126634);learning.stdp_a_minus=Float(0.008357107690539899);homeostasis.target_firing_rate=Float(0.04238791226232143);timing.stdp_tau_plus=Float(47.93493919259285);network.initial_inh_weight=Float(0.7603446411575061);stp.use_fraction=Float(0.07370405331573078);learning.stdp_a_plus=Float(0.005251156908947068);network.initial_exc_weight=Float(0.055920112239178296);curiosity.surprise_threshold=Float(0.002821944679530955);energy.recovery_rate=Float(11.443337364691155);memory.dopamine_sensitivity=Float(4.310839599769292);timing.stdp_tau_minus=Float(5.537007225336741);timing.refractory_period=Int(7);competition.strength=Float(0.28191200918096865);working_memory.capacity=Int(3);homeostasis.memory_alpha=Float(0.008721076120706038);curiosity.habituation_rate=Float(0.9290647759540157);learning.weight_decay=Float(8.971936284323019e-5)"
8,0.649888,437,Completed,"homeostasis.memory_alpha=Float(0.0055856682619184255);timing.stdp_tau_plus=Float(21.542070373320502);memory.tag_decay_rate=Float(0.0032754120144321748);timing.refractory_period=Int(1);learning.stdp_a_minus=Float(0.0019886245488234863);timing.stdp_tau_minus=Float(24.715930414319953);learning.trace_increment=Float(0.14780794634665548);learning.base_learning_rate=Float(0.004348443085085535);network.initial_exc_weight=Float(0.05275993521622381);energy.recovery_rate=Float(10.10574705924507);learning.ltp_ltd_ratio=Float(1.62725243592338);curiosity.scale=Float(0.18718490153019895);timing.stdp_window=Int(49);timing.stp_recovery_tau=Float(145.25248288299247);stp.use_fraction=Float(0.11532033097821295);network.initial_inh_weight=Float(0.3254176236748271);memory.consolidation_rate=Float(0.0007701940005957671);curiosity.surprise_threshold=Float(0.0026203594996566707);curiosity.habituation_rate=Float(0.9237655044465246);energy.cost_fire_ratio=Float(0.06661754378970189);network.initial_threshold=Float(0.2193274060542061);learning.weight_decay=Float(2.0955529103280335e-5);network.inhibitory_ratio=Float(0.12409279747495727);homeostasis.target_firing_rate=Float(0.1007862570487862);homeostasis.meta_threshold=Float(0.11770973566866241);memory.dopamine_sensitivity=Float(3.7805500674947514);competition.strength=Float(0.21029151717906155);homeostasis.homeo_eta=Float(0.019757546340251158);memory.weight_clamp=Float(1.6238562577925286);learning.stdp_a_plus=Float(0.0022479262072500217);homeostasis.homeo_interval=Int(5);learning.istdp_rate=Float(0.0001754026472779882);predictive.state_learning_rate=Float(0.010351677228269586);timing.eligibility_trace_tau=Float(72.48816813902651);working_memory.capacity=Int(5)"
9,0.645044,672,Completed,"network.inhibitory_ratio=Float(0.11879682410946044);homeostasis.memory_alpha=Float(0.006261220042930763);learning.base_learning_rate=Float(0.007826777373322104);learning.trace_increment=Float(0.11844136795691247);learning.stdp_a_plus=Float(0.0067692205645208964);energy.cost_fire_ratio=Float(0.056561926735230236);homeostasis.target_firing_rate=Float(0.07758238055454156);working_memory.capacity=Int(5);network.initial_threshold=Float(0.28541948892768);memory.consolidation_rate=Float(0.0004612398797352785);curiosity.surprise_threshold=Float(0.0016821552962669464);timing.stdp_tau_plus=Float(28.939429772770833);stp.use_fraction=Float(0.08213912953672445);competition.strength=Float(0.13141631615148308);timing.refractory_period=Int(6);learning.ltp_ltd_ratio=Float(1.985858075317428);homeostasis.homeo_interval=Int(10);memory.weight_clamp=Float(2.6056101260719844);network.initial_exc_weight=Float(0.021283307390120652);homeostasis.meta_threshold=Float(0.058442444612375105);curiosity.habituation_rate=Float(0.937185627240498);timing.stdp_tau_minus=Float(8.449420276668253);memory.dopamine_sensitivity=Float(3.5050421300123076);network.initial_inh_weight=Float(0.6280681278854766);curiosity.scale=Float(0.11371430086989753);predictive.state_learning_rate=Float(0.04100795162299303);timing.stp_recovery_tau=Float(162.29448250082658);learning.istdp_rate=Float(0.0008509192548400999);learning.stdp_a_minus=Float(0.001325811038841654);learning.weight_decay=Float(0.0002981866336392693);homeostasis.homeo_eta=Float(0.039175559102668726);energy.recovery_rate=Float(10.689232103919897);timing.stdp_window=Int(13);timing.eligibility_trace_tau=Float(114.01939195899462);memory.tag_decay_rate=Float(0.005124616652663706)"
