trial,score,duration_ms,status,config
0,0.592192,0,Completed,"predictive.state_learning_rate=Float(0.016231061928221872);learning.stdp_a_plus=Float(0.00301135198388257);homeostasis.target_firing_rate=Float(0.11800194451771723);network.initial_exc_weight=Float(0.07256773908216686);energy.cost_fire_ratio=Float(0.02150365574087567);homeostasis.homeo_eta=Float(0.012244168602456784);memory.weight_clamp=Float(1.5981454338408414);working_memory.capacity=Int(7);energy.plasticity_cost_factor=Float(0.04004293069244431);predictive.inference_iterations=Int(3);learning.trace_increment=Float(0.07746924770238559);network.inhibitory_ratio=Float(0.1761465343591167);network.initial_threshold=Float(0.12078277012817161);homeostasis.meta_alpha=Float(0.0014366555313037445);timing.eligibility_trace_tau=Float(140.8375439950959);homeostasis.meta_threshold=Float(0.1565752512907086);sleep.replay_noise=Float(0.041573142579657295);network.initial_inh_weight=Float(0.5911744520746112);timing.stdp_window=Int(42);timing.stdp_tau_minus=Float(24.30491780962444);learning.istdp_rate=Float(0.00035365733043422534);homeostasis.memory_alpha=Float(0.005756901070104846);competition.interval=Int(6);learning.stdp_a_minus=Float(0.001962929806069907);learning.base_learning_rate=Float(0.0014107700990646137);timing.refractory_period=Int(6);working_memory.decay_rate=Float(0.014054916761645336);timing.stp_recovery_tau=Float(86.73385253332879);memory.capture_threshold=Float(0.1238362394212364);memory.tag_decay_rate=Float(0.0018165815312898882);sleep.interval=Int(3870);working_memory.recurrent_strength=Float(0.6283394381469906);curiosity.habituation_rate=Float(0.9178905985532074);homeostasis.homeo_interval=Int(6);stp.use_fraction=Float(0.083397416359139);learning.ltp_ltd_ratio=Float(1.584715025402772);energy.max_energy=Float(111.79655040888967);curiosity.surprise_threshold=Float(0.009356753283592069);competition.strength=Float(0.22038605877207268);learning.weight_decay=Float(2.5144981318071116e-5);timing.stdp_tau_plus=Float(22.906273646025518);memory.dopamine_sensitivity=Float(1.3619019757867563);energy.recovery_rate=Float(6.6104007432261485);curiosity.scale=Float(0.16354362807784778);memory.consolidation_rate=Float(0.000744383204054035)"
1,0.603958,0,Completed,"timing.eligibility_trace_tau=Float(83.79024504151472);learning.stdp_a_minus=Float(0.0031985225479392596);homeostasis.target_firing_rate=Float(0.06230351863249752);energy.max_energy=Float(108.24678018881166);learning.weight_decay=Float(0.00019732468592890522);memory.capture_threshold=Float(0.15386753870497166);energy.plasticity_cost_factor=Float(0.10115216601433981);competition.interval=Int(9);memory.tag_decay_rate=Float(0.00488401769190603);learning.ltp_ltd_ratio=Float(1.703439341788981);homeostasis.homeo_eta=Float(0.04103141635563506);timing.refractory_period=Int(6);memory.dopamine_sensitivity=Float(5.240681317690918);learning.base_learning_rate=Float(0.0016414584662691083);predictive.inference_iterations=Int(5);homeostasis.meta_threshold=Float(0.09257234803926487);curiosity.scale=Float(0.04498484648181705);competition.strength=Float(0.2363846276272984);learning.stdp_a_plus=Float(0.001239523188030276);timing.stp_recovery_tau=Float(111.23403391363891);working_memory.recurrent_strength=Float(0.6837279156627432);network.inhibitory_ratio=Float(0.11474952556070629);stp.use_fraction=Float(0.12830536349869925);network.initial_threshold=Float(0.29754230719933805);curiosity.surprise_threshold=Float(0.0010126479332541237);memory.consolidation_rate=Float(0.00016779472850859804);timing.stdp_tau_minus=Float(25.129607772717627);learning.trace_increment=Float(0.07251481114013932);timing.stdp_tau_plus=Float(36.75058715668288);predictive.state_learning_rate=Float(0.06526738816241623);energy.recovery_rate=Float(1.493161415796066);sleep.replay_noise=Float(0.0997252287831449);working_memory.capacity=Int(3);energy.cost_fire_ratio=Float(0.030893070437222038);homeostasis.memory_alpha=Float(0.007606657687705947);homeostasis.meta_alpha=Float(0.003046181726494585);working_memory.decay_rate=Float(0.005332332311797903);memory.weight_clamp=Float(2.8839315664684237);network.initial_exc_weight=Float(0.03690561715208591);homeostasis.homeo_interval=Int(7);network.initial_inh_weight=Float(0.5481989689283535);learning.istdp_rate=Float(0.00020726279851790815);sleep.interval=Int(4910);timing.stdp_window=Int(24);curiosity.habituation_rate=Float(0.9294621099821436)"
2,0.327861,0,Completed,"competition.interval=Int(9);network.inhibitory_ratio=Float(0.22681128106238585);timing.stdp_window=Int(53);competition.strength=Float(0.28397753364033473);homeostasis.meta_threshold=Float(0.057137645328682304);memory.consolidation_rate=Float(0.00021586506341354732);energy.plasticity_cost_factor=Float(0.05240697911298065);predictive.state_learning_rate=Float(0.03416207991354441);learning.stdp_a_plus=Float(0.002469125033769541);working_memory.capacity=Int(5);network.initial_inh_weight=Float(0.46466680643257374);memory.dopamine_sensitivity=Float(2.097004393371056);homeostasis.memory_alpha=Float(0.0066448937293679365);curiosity.habituation_rate=Float(0.9380955334650575);energy.cost_fire_ratio=Float(0.06616220732130161);energy.max_energy=Float(96.69801815103227);sleep.replay_noise=Float(0.023199850496184046);working_memory.decay_rate=Float(0.00923811608786202);memory.tag_decay_rate=Float(0.006635406983193067);memory.capture_threshold=Float(0.17042161173197012);homeostasis.homeo_interval=Int(10);learning.weight_decay=Float(1.552416718921916e-5);curiosity.scale=Float(0.04203104557749607);timing.refractory_period=Int(1);network.initial_exc_weight=Float(0.0729205450305996);homeostasis.meta_alpha=Float(0.0015438245851121797);learning.base_learning_rate=Float(0.00170540894081534);curiosity.surprise_threshold=Float(0.002643619415029663);learning.istdp_rate=Float(0.0003526786469992277);predictive.inference_iterations=Int(5);memory.weight_clamp=Float(2.901142482157131);learning.stdp_a_minus=Float(0.0014003198113772025);learning.ltp_ltd_ratio=Float(1.4299899180023907);learning.trace_increment=Float(0.09582849850315334);timing.stdp_tau_plus=Float(33.94987083364974);homeostasis.homeo_eta=Float(0.010017203822424882);sleep.interval=Int(4606);homeostasis.target_firing_rate=Float(0.07859521806905866);energy.recovery_rate=Float(12.002871998353598);timing.stp_recovery_tau=Float(163.10148922798726);working_memory.recurrent_strength=Float(0.5629877413304029);timing.stdp_tau_minus=Float(12.260996867497685);stp.use_fraction=Float(0.11103155809944298);network.initial_threshold=Float(0.17660119740213298);timing.eligibility_trace_tau=Float(141.7631330567698)"
3,0.634192,0,Completed,"homeostasis.meta_alpha=Float(0.0027116182510491795);learning.ltp_ltd_ratio=Float(2.237929786145205);learning.base_learning_rate=Float(0.0054825703245986335);timing.refractory_period=Int(5);learning.trace_increment=Float(0.10966491369988418);network.initial_inh_weight=Float(0.7764362303718078);timing.stdp_tau_plus=Float(39.38239065450206);homeostasis.homeo_eta=Float(0.037632281299904376);working_memory.capacity=Int(6);competition.interval=Int(9);learning.stdp_a_plus=Float(0.00942807870190711);energy.max_energy=Float(81.4379890406127);homeostasis.meta_threshold=Float(0.06645985985325181);learning.istdp_rate=Float(0.0005829433213323291);memory.dopamine_sensitivity=Float(1.0576674309693435);homeostasis.homeo_interval=Int(8);learning.stdp_a_minus=Float(0.0058472182775715885);learning.weight_decay=Float(3.234426727399954e-5);curiosity.habituation_rate=Float(0.9252962712289989);memory.consolidation_rate=Float(0.00012412261701567765);timing.stdp_tau_minus=Float(19.23211136582124);timing.stp_recovery_tau=Float(101.95581826892584);curiosity.surprise_threshold=Float(0.0015864251481754648);network.initial_threshold=Float(0.10625488748919566);memory.tag_decay_rate=Float(0.0013032165914688423);energy.cost_fire_ratio=Float(0.012371005411811874);sleep.replay_noise=Float(0.06498995870235143);energy.plasticity_cost_factor=Float(0.093305902984763);working_memory.decay_rate=Float(0.006703452055052999);network.initial_exc_weight=Float(0.02279373341072205);timing.eligibility_trace_tau=Float(125.75465450633797);energy.recovery_rate=Float(12.16753558702011);predictive.state_learning_rate=Float(0.04999639588792808);curiosity.scale=Float(0.17162178532491015);timing.stdp_window=Int(11);memory.capture_threshold=Float(0.12748006402456202);working_memory.recurrent_strength=Float(0.6495606134062542);memory.weight_clamp=Float(2.9264648961663395);predictive.inference_iterations=Int(3);sleep.interval=Int(4966);competition.strength=Float(0.21726464278000981);homeostasis.target_firing_rate=Float(0.11666653547591216);homeostasis.memory_alpha=Float(0.007173534769465615);stp.use_fraction=Float(0.10953424297262315);network.inhibitory_ratio=Float(0.1511680753787905)"
4,0.620460,0,Completed,"energy.max_energy=Float(68.04438397941281);competition.interval=Int(8);network.inhibitory_ratio=Float(0.1438475017072278);learning.stdp_a_plus=Float(0.0014864514238584281);timing.eligibility_trace_tau=Float(74.55211405207177);energy.cost_fire_ratio=Float(0.03605082057091659);learning.stdp_a_minus=Float(0.006365741424823171);learning.weight_decay=Float(0.00025038892771134057);energy.plasticity_cost_factor=Float(0.03189889434303597);stp.use_fraction=Float(0.12450142463773987);working_memory.capacity=Int(7);working_memory.decay_rate=Float(0.021300104807370136);curiosity.surprise_threshold=Float(0.003120849019268436);working_memory.recurrent_strength=Float(0.5894885048362166);homeostasis.target_firing_rate=Float(0.09167646486816845);memory.capture_threshold=Float(0.17308291622276487);curiosity.scale=Float(0.15492848481166374);sleep.interval=Int(1107);timing.stp_recovery_tau=Float(99.87310206048961);learning.base_learning_rate=Float(0.0035505766301605923);curiosity.habituation_rate=Float(0.9357982149326238);network.initial_inh_weight=Float(0.3204286649870753);memory.dopamine_sensitivity=Float(2.7677509753889753);learning.ltp_ltd_ratio=Float(1.5846016608608426);learning.trace_increment=Float(0.10694247905792262);homeostasis.homeo_eta=Float(0.03092789120484943);predictive.state_learning_rate=Float(0.016260825868620588);homeostasis.meta_alpha=Float(0.002730686453192051);timing.stdp_tau_minus=Float(13.763039605404026);memory.weight_clamp=Float(1.6186881439338179);network.initial_threshold=Float(0.2856887720957605);timing.stdp_tau_plus=Float(23.322856287314288);predictive.inference_iterations=Int(3);sleep.replay_noise=Float(0.10053132423212084);homeostasis.meta_threshold=Float(0.08315968538708046);memory.consolidation_rate=Float(0.0005685272470609436);timing.refractory_period=Int(2);homeostasis.memory_alpha=Float(0.011143500409500948);competition.strength=Float(0.1681286833407657);memory.tag_decay_rate=Float(0.0026396791081131025);energy.recovery_rate=Float(9.905523408415151);network.initial_exc_weight=Float(0.04468787694459033);learning.istdp_rate=Float(0.00012305069311073806);homeostasis.homeo_interval=Int(3);timing.stdp_window=Int(37)"
5,0.343574,0,Completed,"energy.plasticity_cost_factor=Float(0.09494840386904506);curiosity.scale=Float(0.15698700006981078);timing.stdp_window=Int(40);memory.tag_decay_rate=Float(0.0029363793108876024);timing.refractory_period=Int(8);working_memory.capacity=Int(5);timing.stdp_tau_plus=Float(28.523787434334817);learning.istdp_rate=Float(0.0001461625903648912);learning.stdp_a_minus=Float(0.0037573348661097137);timing.stp_recovery_tau=Float(163.83548323387174);learning.base_learning_rate=Float(0.006440429900996966);memory.consolidation_rate=Float(0.000829243981499888);stp.use_fraction=Float(0.12507317992278216);homeostasis.homeo_interval=Int(6);timing.eligibility_trace_tau=Float(69.40647201738405);energy.cost_fire_ratio=Float(0.06601209397334887);competition.strength=Float(0.20133289631952833);homeostasis.target_firing_rate=Float(0.07902976209973678);memory.weight_clamp=Float(1.7033331535531517);homeostasis.homeo_eta=Float(0.04579311813315484);predictive.inference_iterations=Int(3);predictive.state_learning_rate=Float(0.04331433678632468);working_memory.recurrent_strength=Float(0.6823969602776684);learning.stdp_a_plus=Float(0.0026437750196237407);learning.weight_decay=Float(0.00014483180810353672);curiosity.surprise_threshold=Float(0.0017194577090726396);homeostasis.memory_alpha=Float(0.018789682653872097);learning.ltp_ltd_ratio=Float(1.858522977414197);competition.interval=Int(9);learning.trace_increment=Float(0.17301832387992608);sleep.interval=Int(4850);sleep.replay_noise=Float(0.08900465832767185);working_memory.decay_rate=Float(0.01948656127010558);energy.max_energy=Float(121.28552285052965);network.initial_threshold=Float(0.2813388995317134);network.initial_exc_weight=Float(0.05023303045663821);network.initial_inh_weight=Float(0.20844126038915506);memory.capture_threshold=Float(0.1574466082168386);homeostasis.meta_threshold=Float(0.12751564852137018);homeostasis.meta_alpha=Float(0.0010166035780566295);timing.stdp_tau_minus=Float(17.54772165500273);network.inhibitory_ratio=Float(0.20600058136181923);energy.recovery_rate=Float(5.022367474628232);curiosity.habituation_rate=Float(0.9467964231150217);memory.dopamine_sensitivity=Float(5.282845253656349)"
6,0.593605,0,Completed,"timing.stdp_window=Int(11);working_memory.decay_rate=Float(0.005607192336067667);learning.base_learning_rate=Float(0.0014242037010551603);sleep.replay_noise=Float(0.08677650813171092);memory.consolidation_rate=Float(0.0007598482426228721);timing.stdp_tau_plus=Float(39.4985894601556);homeostasis.homeo_interval=Int(5);homeostasis.homeo_eta=Float(0.03118096100566982);memory.weight_clamp=Float(2.543134209127895);predictive.inference_iterations=Int(1);learning.stdp_a_minus=Float(0.0016890925564250286);curiosity.scale=Float(0.20011834443083926);learning.weight_decay=Float(0.00010527093255978196);competition.interval=Int(5);network.inhibitory_ratio=Float(0.18510430822733426);timing.refractory_period=Int(6);learning.stdp_a_plus=Float(0.007078056791854879);energy.max_energy=Float(92.74838166142544);timing.eligibility_trace_tau=Float(102.81097271529293);sleep.interval=Int(1284);curiosity.habituation_rate=Float(0.9317957906731861);stp.use_fraction=Float(0.11115236524752165);network.initial_exc_weight=Float(0.0391386426121785);energy.recovery_rate=Float(11.674396752071193);curiosity.surprise_threshold=Float(0.002318090590488451);memory.tag_decay_rate=Float(0.002374968903044353);working_memory.recurrent_strength=Float(0.634214793945247);predictive.state_learning_rate=Float(0.017539439127533217);learning.istdp_rate=Float(0.0003805015321871188);homeostasis.meta_alpha=Float(0.005989182688793845);energy.cost_fire_ratio=Float(0.037134784578144266);homeostasis.target_firing_rate=Float(0.07828038476134659);working_memory.capacity=Int(4);network.initial_inh_weight=Float(0.4040155850127376);timing.stdp_tau_minus=Float(11.204023056478245);network.initial_threshold=Float(0.22632247780596895);memory.dopamine_sensitivity=Float(3.1830883298961186);memory.capture_threshold=Float(0.12937097085625188);learning.ltp_ltd_ratio=Float(1.6008540642449758);homeostasis.memory_alpha=Float(0.006896885343184519);timing.stp_recovery_tau=Float(174.68204667667908);homeostasis.meta_threshold=Float(0.06945692842580772);energy.plasticity_cost_factor=Float(0.013263180312529016);learning.trace_increment=Float(0.1298260405030628);competition.strength=Float(0.1832442391857608)"
7,0.637260,0,Completed,"competition.strength=Float(0.23468691914684303);predictive.inference_iterations=Int(4);timing.stdp_tau_minus=Float(8.673081220750017);curiosity.surprise_threshold=Float(0.0014397725211529957);predictive.state_learning_rate=Float(0.02332149632083729);learning.istdp_rate=Float(0.00016062290918171366);working_memory.recurrent_strength=Float(0.6519490359821238);learning.trace_increment=Float(0.14962142319409677);network.initial_inh_weight=Float(0.5082536111605013);homeostasis.meta_threshold=Float(0.11792068954508768);homeostasis.homeo_interval=Int(5);memory.consolidation_rate=Float(0.0009752041598256304);stp.use_fraction=Float(0.10599097419902473);sleep.replay_noise=Float(0.06941824478549377);learning.stdp_a_plus=Float(0.007824686333484205);network.initial_exc_weight=Float(0.055190774783303684);homeostasis.target_firing_rate=Float(0.10363124095686507);network.initial_threshold=Float(0.2602449987456773);curiosity.scale=Float(0.01432646335901843);network.inhibitory_ratio=Float(0.22373543035325955);sleep.interval=Int(4210);memory.weight_clamp=Float(1.7912734860534019);homeostasis.homeo_eta=Float(0.014823412279244132);learning.stdp_a_minus=Float(0.0022624291256311707);timing.stdp_window=Int(49);working_memory.decay_rate=Float(0.006773928610198588);working_memory.capacity=Int(5);memory.dopamine_sensitivity=Float(4.491399303658726);memory.tag_decay_rate=Float(0.005032704550508834);timing.stp_recovery_tau=Float(123.50886236492285);curiosity.habituation_rate=Float(0.9211828061335681);competition.interval=Int(7);energy.plasticity_cost_factor=Float(0.028005399293733156);timing.refractory_period=Int(9);learning.ltp_ltd_ratio=Float(1.4914595045827932);learning.base_learning_rate=Float(0.007798132910076954);memory.capture_threshold=Float(0.12651700063760324);timing.eligibility_trace_tau=Float(66.98288268760085);timing.stdp_tau_plus=Float(42.48817694664192);homeostasis.meta_alpha=Float(0.00340645126509161);energy.cost_fire_ratio=Float(0.014479296492524281);energy.max_energy=Float(100.75007381400795);energy.recovery_rate=Float(11.786306178846003);learning.weight_decay=Float(0.0002802963247593711);homeostasis.memory_alpha=Float(0.008838293882862915)"
8,0.357711,0,Completed,"learning.weight_decay=Float(0.0003128537153691325);working_memory.recurrent_strength=Float(0.6620076966616343);timing.eligibility_trace_tau=Float(88.7473963687028);predictive.state_learning_rate=Float(0.0206973260576614);homeostasis.meta_alpha=Float(0.0010347593102280615);working_memory.decay_rate=Float(0.021783133208124864);curiosity.habituation_rate=Float(0.9055052727140731);homeostasis.target_firing_rate=Float(0.055441629450172565);stp.use_fraction=Float(0.06032598043333878);network.initial_inh_weight=Float(0.40875219723879175);energy.max_energy=Float(69.4199108331045);network.initial_threshold=Float(0.2961518264832329);sleep.replay_noise=Float(0.048870788840314094);sleep.interval=Int(2604);learning.base_learning_rate=Float(0.0016122752321195961);learning.ltp_ltd_ratio=Float(1.9674787535256424);learning.stdp_a_minus=Float(0.004407923099665869);timing.stdp_window=Int(24);competition.strength=Float(0.24352268691722367);memory.capture_threshold=Float(0.1676616506110089);energy.plasticity_cost_factor=Float(0.0952863673389159);learning.istdp_rate=Float(0.0001555773192721415);energy.recovery_rate=Float(9.662694091131607);learning.stdp_a_plus=Float(0.005257903538099768);curiosity.scale=Float(0.20898631387832256);energy.cost_fire_ratio=Float(0.014279314145510856);memory.tag_decay_rate=Float(0.002043775783255761);predictive.inference_iterations=Int(2);curiosity.surprise_threshold=Float(0.005650720363621289);homeostasis.homeo_interval=Int(2);homeostasis.memory_alpha=Float(0.009736611575136316);working_memory.capacity=Int(6);timing.stdp_tau_minus=Float(19.690047195109084);learning.trace_increment=Float(0.16621089893537827);homeostasis.meta_threshold=Float(0.12017913508931621);timing.stp_recovery_tau=Float(148.14497510626563);homeostasis.homeo_eta=Float(0.01281489747480477);timing.refractory_period=Int(7);memory.consolidation_rate=Float(0.000253563936191388);competition.interval=Int(12);timing.stdp_tau_plus=Float(36.190929053395735);network.inhibitory_ratio=Float(0.186709541870912);network.initial_exc_weight=Float(0.048932893643838564);memory.dopamine_sensitivity=Float(4.077073720301751);memory.weight_clamp=Float(1.5707972181427285)"
9,0.616672,0,Completed,"learning.stdp_a_plus=Float(0.0020483570024458398);timing.eligibility_trace_tau=Float(75.3456742508442);sleep.interval=Int(656);timing.stdp_tau_minus=Float(22.691939535479047);homeostasis.target_firing_rate=Float(0.0559323757900699);energy.max_energy=Float(76.51529025205302);homeostasis.meta_alpha=Float(0.005039801562480495);timing.stdp_tau_plus=Float(39.70059938256177);curiosity.habituation_rate=Float(0.9360562712196392);homeostasis.memory_alpha=Float(0.00551541165821142);working_memory.recurrent_strength=Float(0.5880264171953374);timing.stdp_window=Int(27);learning.ltp_ltd_ratio=Float(1.02459721244513);learning.istdp_rate=Float(0.00010403354149330675);competition.interval=Int(9);network.initial_exc_weight=Float(0.04955997955509461);network.inhibitory_ratio=Float(0.22897388765797344);working_memory.capacity=Int(3);homeostasis.homeo_eta=Float(0.04265494276514178);learning.stdp_a_minus=Float(0.009024468827770955);predictive.state_learning_rate=Float(0.014491960744227539);timing.stp_recovery_tau=Float(60.6026310265536);memory.dopamine_sensitivity=Float(3.6803712476232024);memory.consolidation_rate=Float(0.0006705972396836804);energy.cost_fire_ratio=Float(0.048602093956107754);homeostasis.homeo_interval=Int(9);learning.weight_decay=Float(8.648081576855707e-5);network.initial_inh_weight=Float(0.47340372176221657);predictive.inference_iterations=Int(4);timing.refractory_period=Int(8);network.initial_threshold=Float(0.17068177072114354);memory.tag_decay_rate=Float(0.006714011379440986);energy.recovery_rate=Float(3.122691452997432);memory.weight_clamp=Float(2.61761754230075);working_memory.decay_rate=Float(0.005620555029628534);memory.capture_threshold=Float(0.08877990722860674);learning.base_learning_rate=Float(0.0015269624773577891);stp.use_fraction=Float(0.12378004568716978);curiosity.surprise_threshold=Float(0.001525328216000215);competition.strength=Float(0.1514442067713114);homeostasis.meta_threshold=Float(0.12509583795328993);curiosity.scale=Float(0.026802444024198326);learning.trace_increment=Float(0.15374847394501523);sleep.replay_noise=Float(0.0977527109574882);energy.plasticity_cost_factor=Float(0.06982032805909877)"
