trial,score,duration_ms,status,config
0,0.592613,0,Completed,"homeostasis.memory_alpha=Float(0.016572708900194008);timing.stp_recovery_tau=Float(137.709723584752);timing.stdp_window=Int(28);homeostasis.homeo_eta=Float(0.01752417027402296);network.initial_inh_weight=Float(0.427273376688192);network.inhibitory_ratio=Float(0.23076948480000012);learning.trace_increment=Float(0.06176351856248535);learning.stdp_a_plus=Float(0.0019673010342330815);competition.strength=Float(0.13286758783107336);learning.stdp_a_minus=Float(0.00666736153874644);learning.ltp_ltd_ratio=Float(1.155870775961287);timing.stdp_tau_plus=Float(22.023069889290042);network.initial_threshold=Float(0.16103813342308582);stp.use_fraction=Float(0.12039458090914287);curiosity.surprise_threshold=Float(0.00793408551942824);energy.max_energy=Float(88.07326717955834);working_memory.decay_rate=Float(0.007245170028868563);energy.recovery_rate=Float(11.163625170049169);memory.tag_decay_rate=Float(0.004864159235991001);predictive.state_learning_rate=Float(0.02769216874034946);timing.eligibility_trace_tau=Float(67.99136759477905);memory.consolidation_rate=Float(0.0009356753283592066);predictive.inference_iterations=Int(3);network.initial_exc_weight=Float(0.03903881002427982);timing.stdp_tau_minus=Float(12.477849558339884);curiosity.scale=Float(0.0874791370489353);curiosity.habituation_rate=Float(0.9341552225782432);working_memory.capacity=Int(5);memory.capture_threshold=Float(0.07746924770238559);energy.plasticity_cost_factor=Float(0.07739345336970721);timing.refractory_period=Int(1);sleep.interval=Int(991);learning.istdp_rate=Float(0.00019910066790598834);energy.cost_fire_ratio=Float(0.03728670118546269);memory.dopamine_sensitivity=Float(1.6725531084631926);learning.weight_decay=Float(3.484491023810081e-5);homeostasis.meta_threshold=Float(0.12524128673254542);working_memory.recurrent_strength=Float(0.6592490067610631);memory.weight_clamp=Float(2.253417372064064);homeostasis.target_firing_rate=Float(0.0503756292072068);learning.base_learning_rate=Float(0.003896636689323015);homeostasis.meta_alpha=Float(0.0015364562703909929);sleep.replay_noise=Float(0.09150965297396985);competition.interval=Int(11);homeostasis.homeo_interval=Int(6)"
1,0.603825,0,Completed,"sleep.interval=Int(3928);energy.max_energy=Float(57.37476278035314);timing.stdp_tau_minus=Float(26.25071208021853);curiosity.surprise_threshold=Float(0.0028083220656468346);curiosity.habituation_rate=Float(0.9021266020473854);predictive.inference_iterations=Int(2);timing.stp_recovery_tau=Float(130.03553016577743);stp.use_fraction=Float(0.12524399868567568);network.initial_threshold=Float(0.26216348180597726);network.initial_inh_weight=Float(0.12876774925477052);homeostasis.homeo_eta=Float(0.031987678633408276);predictive.state_learning_rate=Float(0.030188519672313112);network.inhibitory_ratio=Float(0.13371674691646285);working_memory.capacity=Int(3);energy.plasticity_cost_factor=Float(0.0982037866903012);homeostasis.meta_threshold=Float(0.13524039226706147);timing.stdp_tau_plus=Float(38.18993085953173);learning.trace_increment=Float(0.08501530883019215);working_memory.decay_rate=Float(0.021030258334352403);homeostasis.homeo_interval=Int(9);homeostasis.memory_alpha=Float(0.007762572532260869);learning.base_learning_rate=Float(0.006775483775161634);learning.istdp_rate=Float(0.0008749148405833711);curiosity.scale=Float(0.24507663866856058);timing.stdp_window=Int(54);homeostasis.meta_alpha=Float(0.002937970318228566);learning.stdp_a_plus=Float(0.003089386691169911);learning.ltp_ltd_ratio=Float(2.4815673039950354);memory.dopamine_sensitivity=Float(1.9685345422403269);memory.consolidation_rate=Float(0.00010126479332541244);memory.weight_clamp=Float(1.2855905835250372);energy.cost_fire_ratio=Float(0.042827169283485775);competition.interval=Int(7);competition.strength=Float(0.15969448696349153);learning.weight_decay=Float(7.812521249075272e-5);homeostasis.target_firing_rate=Float(0.092641646178123);timing.refractory_period=Int(10);timing.eligibility_trace_tau=Float(135.11300230475305);sleep.replay_noise=Float(0.09499167726258553);memory.capture_threshold=Float(0.07251481114013932);network.initial_exc_weight=Float(0.05282171208011492);memory.tag_decay_rate=Float(0.001663180985087305);energy.recovery_rate=Float(1.8430939486350617);learning.stdp_a_minus=Float(0.005978933676138079);working_memory.recurrent_strength=Float(0.5706680122578209)"
2,0.325735,0,Completed,"memory.consolidation_rate=Float(0.0002643619415029664);homeostasis.target_firing_rate=Float(0.054421590427966224);sleep.replay_noise=Float(0.040657542329434665);predictive.state_learning_rate=Float(0.010046144964012871);homeostasis.homeo_interval=Int(3);homeostasis.meta_threshold=Float(0.1649859585252092);energy.cost_fire_ratio=Float(0.0300661961734449);learning.istdp_rate=Float(0.0008924239996056286);timing.eligibility_trace_tau=Float(57.894784462563116);timing.stdp_tau_minus=Float(8.12628038067517);working_memory.capacity=Int(4);network.initial_inh_weight=Float(0.7418341999039598);learning.stdp_a_plus=Float(0.008031782028814386);energy.max_energy=Float(113.40564053119292);learning.ltp_ltd_ratio=Float(1.574508980515997);learning.stdp_a_minus=Float(0.004194114108043143);homeostasis.memory_alpha=Float(0.00969060917424911);energy.plasticity_cost_factor=Float(0.09211642504951832);timing.stdp_window=Int(53);learning.weight_decay=Float(0.00014269544330357088);sleep.interval=Int(504);timing.stp_recovery_tau=Float(115.11907257724532);network.initial_exc_weight=Float(0.029504770154483797);learning.trace_increment=Float(0.07373466326942077);timing.stdp_tau_plus=Float(31.971360915799476);curiosity.surprise_threshold=Float(0.008038714357628565);competition.interval=Int(5);working_memory.decay_rate=Float(0.01280988655231042);competition.strength=Float(0.26046344948943323);homeostasis.meta_alpha=Float(0.00334110681031326);memory.tag_decay_rate=Float(0.004916076187170465);timing.refractory_period=Int(3);stp.use_fraction=Float(0.17315460437050895);energy.recovery_rate=Float(7.9348133948945465);working_memory.recurrent_strength=Float(0.7170307548407071);network.inhibitory_ratio=Float(0.1501273539732507);curiosity.habituation_rate=Float(0.9202875627619884);memory.weight_clamp=Float(1.2614779230816007);learning.base_learning_rate=Float(0.009191214336718772);curiosity.scale=Float(0.11936536718610798);predictive.inference_iterations=Int(3);homeostasis.homeo_eta=Float(0.028321246061293888);memory.capture_threshold=Float(0.09582849850315334);network.initial_threshold=Float(0.29349784008075896);memory.dopamine_sensitivity=Float(2.043228409728787)"
3,0.631746,0,Completed,"curiosity.habituation_rate=Float(0.9096888787026258);homeostasis.target_firing_rate=Float(0.08609886012880572);working_memory.capacity=Int(7);learning.stdp_a_plus=Float(0.002604033375099544);homeostasis.homeo_interval=Int(7);timing.stdp_tau_plus=Float(31.432327470144333);memory.consolidation_rate=Float(0.00015864251481754657);curiosity.surprise_threshold=Float(0.00632569325200338);homeostasis.meta_alpha=Float(0.0032368048828493347);stp.use_fraction=Float(0.14799331690836542);network.initial_inh_weight=Float(0.7514395759095064);working_memory.decay_rate=Float(0.01714747966021897);timing.refractory_period=Int(1);homeostasis.memory_alpha=Float(0.01627407062912254);timing.stp_recovery_tau=Float(170.79218399496568);learning.stdp_a_minus=Float(0.002625265233436323);learning.istdp_rate=Float(0.0009188242485707202);memory.weight_clamp=Float(2.3193615128564096);homeostasis.homeo_eta=Float(0.03586447259004343);timing.stdp_window=Int(28);network.inhibitory_ratio=Float(0.11407763855859583);learning.trace_increment=Float(0.08012290335728856);competition.strength=Float(0.10677430117660536);learning.base_learning_rate=Float(0.004167163228658592);timing.eligibility_trace_tau=Float(73.94391543737854);energy.plasticity_cost_factor=Float(0.09931695199322815);sleep.replay_noise=Float(0.0700911368779119);network.initial_threshold=Float(0.12707913621027933);energy.max_energy=Float(75.58403768939526);competition.interval=Int(6);curiosity.scale=Float(0.22484153927649406);memory.capture_threshold=Float(0.10966491369988418);homeostasis.meta_threshold=Float(0.12329040173750613);energy.recovery_rate=Float(8.790189195375469);memory.dopamine_sensitivity=Float(4.325428949744773);network.initial_exc_weight=Float(0.06985170491734792);energy.cost_fire_ratio=Float(0.06777005668677623);predictive.state_learning_rate=Float(0.02364205296821078);learning.weight_decay=Float(5.841894014576701e-5);learning.ltp_ltd_ratio=Float(1.0469116561689673);memory.tag_decay_rate=Float(0.0010877054436047363);sleep.interval=Int(3718);working_memory.recurrent_strength=Float(0.5053007506661351);predictive.inference_iterations=Int(4);timing.stdp_tau_minus=Float(18.023937587399022)"
4,0.621072,0,Completed,"timing.stdp_window=Int(36);homeostasis.target_firing_rate=Float(0.08649293609347496);timing.stp_recovery_tau=Float(89.36226160483487);working_memory.recurrent_strength=Float(0.6352031581069351);network.initial_threshold=Float(0.1992486351400727);homeostasis.memory_alpha=Float(0.011580054383383099);memory.weight_clamp=Float(2.183089671931949);competition.interval=Int(7);learning.istdp_rate=Float(0.0002038656573902048);competition.strength=Float(0.17443091591690457);predictive.inference_iterations=Int(1);curiosity.surprise_threshold=Float(0.0022232070838532464);timing.refractory_period=Int(4);curiosity.scale=Float(0.06647609593730329);homeostasis.meta_alpha=Float(0.0026473533628643023);timing.stdp_tau_minus=Float(26.441629423397043);energy.plasticity_cost_factor=Float(0.022142901334944856);network.initial_inh_weight=Float(0.6194888654908838);learning.trace_increment=Float(0.11688001625400037);timing.eligibility_trace_tau=Float(146.27666306407912);learning.stdp_a_plus=Float(0.00250602163763156);energy.recovery_rate=Float(11.304779392272415);memory.dopamine_sensitivity=Float(3.4763450060217513);predictive.state_learning_rate=Float(0.012750960356463772);homeostasis.homeo_interval=Int(4);homeostasis.homeo_eta=Float(0.017844380697772975);learning.weight_decay=Float(0.0001215610357798076);timing.stdp_tau_plus=Float(36.82051286958635);learning.ltp_ltd_ratio=Float(2.392665790718204);network.initial_exc_weight=Float(0.07225018458958953);curiosity.habituation_rate=Float(0.9478941777494956);memory.tag_decay_rate=Float(0.0021020636615425676);energy.cost_fire_ratio=Float(0.03728141084017265);memory.consolidation_rate=Float(0.0003120849019268435);stp.use_fraction=Float(0.07650826448260534);learning.stdp_a_minus=Float(0.0017401704372003734);homeostasis.meta_threshold=Float(0.09258042708797856);energy.max_energy=Float(71.9237508536139);sleep.replay_noise=Float(0.04699950055615034);working_memory.decay_rate=Float(0.007255341890981581);network.inhibitory_ratio=Float(0.21321269250782504);learning.base_learning_rate=Float(0.009653022751256925);working_memory.capacity=Int(3);sleep.interval=Int(3242);memory.capture_threshold=Float(0.10694247905792262)"
5,0.344063,0,Completed,"curiosity.habituation_rate=Float(0.9449534255883083);learning.weight_decay=Float(0.00026186257112476615);timing.eligibility_trace_tau=Float(121.87781373572385);memory.dopamine_sensitivity=Float(4.640116859376457);memory.capture_threshold=Float(0.17301832387992608);network.initial_threshold=Float(0.210140180054619);learning.base_learning_rate=Float(0.00723723818154229);curiosity.surprise_threshold=Float(0.001926903343159967);homeostasis.homeo_interval=Int(9);timing.refractory_period=Int(10);curiosity.scale=Float(0.2290774626096425);competition.strength=Float(0.2600345542095682);learning.istdp_rate=Float(0.00022473285897710383);timing.stdp_window=Int(31);network.initial_inh_weight=Float(0.33463810268664684);energy.recovery_rate=Float(5.96352033060126);homeostasis.meta_threshold=Float(0.1133330601997052);learning.stdp_a_minus=Float(0.008922234593270064);energy.cost_fire_ratio=Float(0.050064405612662524);homeostasis.meta_alpha=Float(0.003353593948699264);learning.trace_increment=Float(0.16047966664435334);network.inhibitory_ratio=Float(0.2378023492260376);learning.stdp_a_plus=Float(0.008141114556015199);memory.tag_decay_rate=Float(0.002483793441841319);learning.ltp_ltd_ratio=Float(2.360041746487851);working_memory.capacity=Int(5);homeostasis.memory_alpha=Float(0.009748120147255564);timing.stdp_tau_plus=Float(37.02634477220158);energy.plasticity_cost_factor=Float(0.09699595258035602);homeostasis.homeo_eta=Float(0.02237081308102478);timing.stp_recovery_tau=Float(69.36451078377769);homeostasis.target_firing_rate=Float(0.03092606665122464);predictive.state_learning_rate=Float(0.04641433147346632);memory.consolidation_rate=Float(0.00017194577090726422);network.initial_exc_weight=Float(0.05736719366567378);predictive.inference_iterations=Int(1);stp.use_fraction=Float(0.11613389968782056);sleep.interval=Int(4195);working_memory.decay_rate=Float(0.015363391071314696);energy.max_energy=Float(103.0002906809096);working_memory.recurrent_strength=Float(0.6497001279843273);sleep.replay_noise=Float(0.06297926921001153);timing.stdp_tau_minus=Float(23.71162960392228);memory.weight_clamp=Float(2.1998938781209043);competition.interval=Int(9)"
6,0.592162,0,Completed,"stp.use_fraction=Float(0.11053662266594745);memory.consolidation_rate=Float(0.00023180905904884527);network.inhibitory_ratio=Float(0.23210902950542725);sleep.replay_noise=Float(0.03619476401624148);timing.stdp_tau_plus=Float(32.014851489107784);learning.istdp_rate=Float(0.0005909722719916301);learning.trace_increment=Float(0.07684084961117266);network.initial_threshold=Float(0.1884436868337085);timing.eligibility_trace_tau=Float(109.58206859499694);learning.ltp_ltd_ratio=Float(1.947418583544767);predictive.state_learning_rate=Float(0.029555848679644378);network.initial_inh_weight=Float(0.7226731438708196);learning.stdp_a_minus=Float(0.0037151676989091616);energy.plasticity_cost_factor=Float(0.025683180730716133);timing.refractory_period=Int(5);timing.stp_recovery_tau=Float(104.28849732370314);working_memory.capacity=Int(7);homeostasis.target_firing_rate=Float(0.1306614966133287);homeostasis.meta_alpha=Float(0.0010378124098574654);network.initial_exc_weight=Float(0.03479747412372322);sleep.interval=Int(3261);curiosity.scale=Float(0.01841557027968009);timing.stdp_tau_minus=Float(23.18390982066838);homeostasis.homeo_eta=Float(0.03604607526169062);curiosity.surprise_threshold=Float(0.004228038444265889);timing.stdp_window=Int(14);memory.weight_clamp=Float(2.5519864851497083);predictive.inference_iterations=Int(3);curiosity.habituation_rate=Float(0.9037875909639493);learning.stdp_a_plus=Float(0.009941602016395535);memory.dopamine_sensitivity=Float(1.6910744951318657);working_memory.decay_rate=Float(0.00768831743760501);working_memory.recurrent_strength=Float(0.506137538376762);learning.base_learning_rate=Float(0.004314870508556452);energy.max_energy=Float(92.55215411366711);competition.interval=Int(6);homeostasis.meta_threshold=Float(0.10202764949110049);energy.cost_fire_ratio=Float(0.038039856331432205);memory.capture_threshold=Float(0.1298260405030628);homeostasis.homeo_interval=Int(6);memory.tag_decay_rate=Float(0.0017787827982174392);homeostasis.memory_alpha=Float(0.00964915373945484);energy.recovery_rate=Float(3.8817270218584983);learning.weight_decay=Float(9.19409121896425e-5);competition.strength=Float(0.17752795593755505)"
7,0.636617,0,Completed,"memory.tag_decay_rate=Float(0.0028834221931646905);stp.use_fraction=Float(0.1099732819967841);network.initial_threshold=Float(0.265229858962174);competition.interval=Int(9);timing.stp_recovery_tau=Float(122.90243056437524);energy.cost_fire_ratio=Float(0.03293477688053035);working_memory.recurrent_strength=Float(0.6938928856965836);energy.max_energy=Float(111.86771517662977);competition.strength=Float(0.11279798997864081);timing.stdp_tau_plus=Float(30.1567507116489);curiosity.scale=Float(0.0564349771259434);learning.istdp_rate=Float(0.00024867764335062114);network.initial_exc_weight=Float(0.04304737390089952);learning.ltp_ltd_ratio=Float(2.2018374905925797);predictive.inference_iterations=Int(2);memory.consolidation_rate=Float(0.0001439772521152998);homeostasis.target_firing_rate=Float(0.0989279265117198);predictive.state_learning_rate=Float(0.05389757061807004);memory.dopamine_sensitivity=Float(5.013957848309995);timing.refractory_period=Int(8);sleep.replay_noise=Float(0.02550856515427785);memory.capture_threshold=Float(0.14962142319409677);homeostasis.homeo_interval=Int(7);memory.weight_clamp=Float(1.0353180682368852);learning.stdp_a_minus=Float(0.004749716090154479);network.initial_inh_weight=Float(0.7292011937660168);homeostasis.homeo_eta=Float(0.04104816590794919);learning.base_learning_rate=Float(0.004093888452264796);sleep.interval=Int(1455);timing.stdp_window=Int(37);curiosity.habituation_rate=Float(0.9100345038417808);timing.stdp_tau_minus=Float(19.072742186038);working_memory.capacity=Int(7);network.inhibitory_ratio=Float(0.24836433177077316);energy.recovery_rate=Float(7.9024606512166695);homeostasis.memory_alpha=Float(0.013627256405747646);homeostasis.meta_alpha=Float(0.0016474337933235319);homeostasis.meta_threshold=Float(0.13417932446677688);learning.trace_increment=Float(0.09753895658011058);working_memory.decay_rate=Float(0.009562885127977285);timing.eligibility_trace_tau=Float(151.88299021621282);energy.plasticity_cost_factor=Float(0.08419358630529455);learning.stdp_a_plus=Float(0.0038732087020062244);learning.weight_decay=Float(4.3843298077893525e-5);curiosity.surprise_threshold=Float(0.00179468262925636)"
8,0.355352,0,Completed,"network.inhibitory_ratio=Float(0.16061312273624662);timing.stdp_tau_minus=Float(14.206239462179653);stp.use_fraction=Float(0.07027708403074115);working_memory.decay_rate=Float(0.00872749207743905);learning.istdp_rate=Float(0.00019292948680344252);memory.capture_threshold=Float(0.16621089893537827);learning.trace_increment=Float(0.10561705755666295);sleep.replay_noise=Float(0.0720246437126828);homeostasis.meta_threshold=Float(0.13970167932326477);homeostasis.target_firing_rate=Float(0.03192154974721408);network.initial_inh_weight=Float(0.6053238219826771);memory.tag_decay_rate=Float(0.002388493083429892);energy.cost_fire_ratio=Float(0.055149008497863306);energy.recovery_rate=Float(10.137396332141337);energy.plasticity_cost_factor=Float(0.052081139327977116);energy.max_energy=Float(93.35477093545597);homeostasis.homeo_eta=Float(0.031218915297992055);timing.eligibility_trace_tau=Float(157.54952929038708);learning.weight_decay=Float(1.4683393780082714e-5);timing.stp_recovery_tau=Float(105.13432093549854);learning.stdp_a_plus=Float(0.006097612206908712);timing.stdp_tau_plus=Float(13.717352956001962);curiosity.surprise_threshold=Float(0.003150440144889461);sleep.interval=Int(1102);competition.strength=Float(0.11222661184431673);working_memory.capacity=Int(6);predictive.state_learning_rate=Float(0.03757879890960508);learning.ltp_ltd_ratio=Float(2.4711386986242463);curiosity.habituation_rate=Float(0.9486352229867212);learning.stdp_a_minus=Float(0.0018152320229594386);memory.consolidation_rate=Float(0.0005650720363621288);homeostasis.homeo_interval=Int(8);timing.stdp_window=Int(27);working_memory.recurrent_strength=Float(0.5734458857154114);memory.weight_clamp=Float(2.6243780724761026);homeostasis.meta_alpha=Float(0.006260666543941186);curiosity.scale=Float(0.2299490526108884);timing.refractory_period=Int(7);network.initial_threshold=Float(0.17308739956307398);learning.base_learning_rate=Float(0.008735609358482844);homeostasis.memory_alpha=Float(0.007070107515956741);memory.dopamine_sensitivity=Float(1.9334763206852312);competition.interval=Int(9);predictive.inference_iterations=Int(1);network.initial_exc_weight=Float(0.0618752106004104)"
9,0.616802,0,Completed,"learning.base_learning_rate=Float(0.0020428630714980625);energy.recovery_rate=Float(2.743712731111728);homeostasis.homeo_eta=Float(0.036363980503117614);network.inhibitory_ratio=Float(0.22396926421764524);learning.istdp_rate=Float(0.0006438856868915865);timing.stdp_tau_plus=Float(36.56081644738112);timing.stdp_tau_minus=Float(25.783536805720892);energy.cost_fire_ratio=Float(0.011147869914106063);memory.capture_threshold=Float(0.15374847394501523);working_memory.decay_rate=Float(0.006642893112458017);competition.interval=Int(9);learning.stdp_a_minus=Float(0.0022570293331596876);memory.tag_decay_rate=Float(0.002433993274043894);curiosity.scale=Float(0.16427347762609681);competition.strength=Float(0.21029169701745076);timing.eligibility_trace_tau=Float(102.63053595699662);predictive.state_learning_rate=Float(0.04606469999850529);predictive.inference_iterations=Int(1);network.initial_threshold=Float(0.2947019831730756);learning.trace_increment=Float(0.058187345522033834);sleep.interval=Int(4022);curiosity.surprise_threshold=Float(0.002270788251325731);memory.weight_clamp=Float(1.1371628083608027);homeostasis.memory_alpha=Float(0.007117511549199153);homeostasis.meta_threshold=Float(0.08215262923206962);working_memory.recurrent_strength=Float(0.5871801033469802);homeostasis.meta_alpha=Float(0.0029211725589726096);memory.consolidation_rate=Float(0.00015253282160002172);energy.plasticity_cost_factor=Float(0.013123412593995085);homeostasis.target_firing_rate=Float(0.12095567061820899);timing.refractory_period=Int(6);homeostasis.homeo_interval=Int(4);sleep.replay_noise=Float(0.08469930026091152);timing.stp_recovery_tau=Float(116.67923602896725);learning.stdp_a_plus=Float(0.0012156849723467516);network.initial_exc_weight=Float(0.0821024071942322);memory.dopamine_sensitivity=Float(1.8272276429522847);learning.weight_decay=Float(0.00012376968321627061);network.initial_inh_weight=Float(0.22382366809151688);energy.max_energy=Float(114.48694382898671);timing.stdp_window=Int(46);curiosity.habituation_rate=Float(0.9038662527447721);working_memory.capacity=Int(4);learning.ltp_ltd_ratio=Float(1.5301132804085764);stp.use_fraction=Float(0.15602548767487182)"
