trial,score,duration_ms,status,config
0,0.629042,0,Completed,"timing.stdp_tau_minus=Float(5.57259773965287);predictive.state_learning_rate=Float(0.029735763806586858);network.inhibitory_ratio=Float(0.229569237057485);energy.recovery_rate=Float(10.205530001131242);memory.tag_decay_rate=Float(0.00336713223932804);working_memory.recurrent_strength=Float(0.5078226651083265);sleep.replay_noise=Float(0.0968293724946746);timing.stdp_tau_plus=Float(44.445566333468435);homeostasis.homeo_eta=Float(0.043175548366261966);timing.eligibility_trace_tau=Float(142.37919472727157);homeostasis.memory_alpha=Float(0.021828453724472147);memory.weight_clamp=Float(1.4563717042227209);network.initial_threshold=Float(0.127405965148333);network.initial_exc_weight=Float(0.04694886638944709);learning.istdp_rate=Float(0.00032303146791929044);learning.trace_increment=Float(0.06968919166123709);energy.max_energy=Float(56.48265391506317);energy.plasticity_cost_factor=Float(0.016341803792478005);timing.refractory_period=Int(1);homeostasis.meta_alpha=Float(0.0011052172514344422);timing.stdp_window=Int(45);memory.capture_threshold=Float(0.14171551666029625);memory.dopamine_sensitivity=Float(2.8513688477341477);learning.base_learning_rate=Float(0.003446044421836829);competition.strength=Float(0.1805345328712218);homeostasis.meta_threshold=Float(0.08452429734974268);curiosity.scale=Float(0.13317262809331823);memory.consolidation_rate=Float(0.000110576883003539);timing.stp_recovery_tau=Float(149.2195597149477);sleep.interval=Int(1796);energy.cost_fire_ratio=Float(0.014089087868130087);network.initial_inh_weight=Float(0.10272525684040162);curiosity.habituation_rate=Float(0.9296187501735098);curiosity.surprise_threshold=Float(0.003190485662771915);learning.stdp_a_minus=Float(0.002229305476833696);learning.weight_decay=Float(0.000136597459076539);learning.stdp_a_plus=Float(0.002687176050349089);predictive.inference_iterations=Int(1);learning.ltp_ltd_ratio=Float(1.5357654268238148);working_memory.decay_rate=Float(0.018408827377693632);homeostasis.target_firing_rate=Float(0.07448184772033287);homeostasis.homeo_interval=Int(1);competition.interval=Int(11);working_memory.capacity=Int(7);stp.use_fraction=Float(0.14488210200678608)"
1,0.325798,0,Completed,"timing.stdp_window=Int(29);memory.consolidation_rate=Float(0.00011613025427561262);learning.trace_increment=Float(0.08134716017668768);working_memory.recurrent_strength=Float(0.5933519787139613);homeostasis.homeo_eta=Float(0.02942293923999299);energy.plasticity_cost_factor=Float(0.03989969733867322);working_memory.capacity=Int(6);curiosity.surprise_threshold=Float(0.006266363236643311);learning.weight_decay=Float(1.0486952370546626e-5);competition.strength=Float(0.2404364984809506);homeostasis.meta_threshold=Float(0.07806366619841747);memory.dopamine_sensitivity=Float(1.7309972149624948);timing.stp_recovery_tau=Float(92.67093301580076);curiosity.scale=Float(0.17327176513459341);memory.capture_threshold=Float(0.0877353389718885);learning.stdp_a_minus=Float(0.005734790350633663);timing.eligibility_trace_tau=Float(91.88930411780035);network.initial_threshold=Float(0.2590491118279866);network.initial_inh_weight=Float(0.44447597752895107);network.initial_exc_weight=Float(0.021957780009125773);homeostasis.homeo_interval=Int(10);energy.max_energy=Float(88.72009351354095);sleep.interval=Int(3766);homeostasis.memory_alpha=Float(0.011633810087314093);energy.recovery_rate=Float(4.816270898053485);learning.istdp_rate=Float(0.00014146121339264387);timing.stdp_tau_minus=Float(12.28063335113242);memory.tag_decay_rate=Float(0.0011616555176923746);energy.cost_fire_ratio=Float(0.05712112358937066);stp.use_fraction=Float(0.14059811013066165);predictive.state_learning_rate=Float(0.0397293009427444);homeostasis.target_firing_rate=Float(0.0997375571098499);learning.stdp_a_plus=Float(0.0024822382303947765);competition.interval=Int(9);learning.base_learning_rate=Float(0.003254284411769044);timing.stdp_tau_plus=Float(34.03020100296247);homeostasis.meta_alpha=Float(0.005736131476786729);learning.ltp_ltd_ratio=Float(1.4963066125047175);curiosity.habituation_rate=Float(0.925008292603774);predictive.inference_iterations=Int(2);memory.weight_clamp=Float(1.0983001468932023);working_memory.decay_rate=Float(0.01310454142174082);sleep.replay_noise=Float(0.0863542517033299);network.inhibitory_ratio=Float(0.11289905761668903);timing.refractory_period=Int(3)"
2,0.351239,0,Completed,"learning.istdp_rate=Float(0.00021843061242868766);homeostasis.meta_threshold=Float(0.16993634429991628);network.initial_inh_weight=Float(0.6067811747330197);competition.interval=Int(11);competition.strength=Float(0.23021062671444625);timing.stp_recovery_tau=Float(150.2707477543202);energy.max_energy=Float(69.32367635176603);homeostasis.target_firing_rate=Float(0.11244720929824915);sleep.interval=Int(3239);timing.stdp_tau_minus=Float(12.647196346113272);homeostasis.meta_alpha=Float(0.005758345482509124);curiosity.surprise_threshold=Float(0.004320188121465797);homeostasis.homeo_eta=Float(0.06695422066176927);curiosity.habituation_rate=Float(0.9053836274567022);network.initial_threshold=Float(0.23551854038041053);memory.consolidation_rate=Float(0.0006775812386432841);working_memory.capacity=Int(6);energy.plasticity_cost_factor=Float(0.030312303518949146);timing.stdp_tau_plus=Float(30.894782147578614);homeostasis.homeo_interval=Int(6);sleep.replay_noise=Float(0.10120603582617035);working_memory.decay_rate=Float(0.015872933320806474);memory.tag_decay_rate=Float(0.004022047469384145);learning.stdp_a_plus=Float(0.006489993276836405);learning.trace_increment=Float(0.168940529150176);memory.dopamine_sensitivity=Float(2.1919526416323967);working_memory.recurrent_strength=Float(0.5684070039350556);predictive.inference_iterations=Int(1);timing.stdp_window=Int(15);memory.weight_clamp=Float(1.3953661807801963);network.inhibitory_ratio=Float(0.13263959741048506);memory.capture_threshold=Float(0.0665214840710446);learning.base_learning_rate=Float(0.005118198453220051);network.initial_exc_weight=Float(0.03295493271270649);energy.recovery_rate=Float(12.90056119391242);timing.eligibility_trace_tau=Float(73.07862132848452);learning.ltp_ltd_ratio=Float(2.309690762848987);learning.weight_decay=Float(2.5913524757000956e-5);homeostasis.memory_alpha=Float(0.01942115348226877);timing.refractory_period=Int(1);curiosity.scale=Float(0.04598872836352995);predictive.state_learning_rate=Float(0.014541261431543594);stp.use_fraction=Float(0.1071009210094579);learning.stdp_a_minus=Float(0.008585684522295783);energy.cost_fire_ratio=Float(0.06553083455551667)"
3,0.633320,0,Completed,"homeostasis.homeo_interval=Int(7);learning.stdp_a_plus=Float(0.00105689975213009);memory.tag_decay_rate=Float(0.001349001288847206);timing.stp_recovery_tau=Float(64.4199442035565);predictive.inference_iterations=Int(1);homeostasis.target_firing_rate=Float(0.09130285807449903);homeostasis.meta_alpha=Float(0.0033706669399703733);competition.strength=Float(0.1676710075856352);energy.recovery_rate=Float(1.0985985230884046);network.initial_threshold=Float(0.1648279862629315);timing.eligibility_trace_tau=Float(91.48023939377411);homeostasis.meta_threshold=Float(0.1692376136009669);learning.base_learning_rate=Float(0.0016470327044975461);timing.stdp_tau_plus=Float(30.168365514876406);energy.max_energy=Float(50.742256257390196);predictive.state_learning_rate=Float(0.05317797614227607);network.inhibitory_ratio=Float(0.13645218758295574);memory.weight_clamp=Float(1.4633847299179492);sleep.interval=Int(1798);curiosity.surprise_threshold=Float(0.008654133171028111);timing.stdp_tau_minus=Float(10.86661472005458);timing.stdp_window=Int(47);network.initial_exc_weight=Float(0.034114731444072614);network.initial_inh_weight=Float(0.7830864821288469);working_memory.capacity=Int(7);energy.plasticity_cost_factor=Float(0.07926263964950633);memory.dopamine_sensitivity=Float(3.4862011769987182);learning.weight_decay=Float(0.00020201306842449027);curiosity.habituation_rate=Float(0.9266365940991409);competition.interval=Int(6);energy.cost_fire_ratio=Float(0.04161722025638847);learning.istdp_rate=Float(0.00016932928776657906);working_memory.decay_rate=Float(0.0182687421934309);learning.trace_increment=Float(0.05034209317535677);memory.consolidation_rate=Float(0.00010045192335009002);homeostasis.memory_alpha=Float(0.02084518351475237);working_memory.recurrent_strength=Float(0.5698082823352442);curiosity.scale=Float(0.1422783224802181);stp.use_fraction=Float(0.11608780684556994);sleep.replay_noise=Float(0.03458914017877289);memory.capture_threshold=Float(0.13523827216942755);learning.ltp_ltd_ratio=Float(2.0189538006714907);learning.stdp_a_minus=Float(0.007945986526087447);timing.refractory_period=Int(6);homeostasis.homeo_eta=Float(0.03226656522876337)"
4,0.276539,0,Completed,"timing.refractory_period=Int(8);learning.trace_increment=Float(0.0549754282820447);working_memory.capacity=Int(7);timing.stdp_window=Int(53);homeostasis.memory_alpha=Float(0.00824042214208819);energy.recovery_rate=Float(10.182529371507123);learning.ltp_ltd_ratio=Float(1.890291843304944);timing.eligibility_trace_tau=Float(72.4899791605575);memory.weight_clamp=Float(2.207247632836748);learning.stdp_a_minus=Float(0.0018866745193742652);timing.stp_recovery_tau=Float(107.90598959613266);predictive.inference_iterations=Int(5);competition.interval=Int(9);curiosity.surprise_threshold=Float(0.0010715175124519883);homeostasis.meta_threshold=Float(0.15065166817527537);memory.tag_decay_rate=Float(0.004711918757979089);network.inhibitory_ratio=Float(0.11366074420829787);network.initial_exc_weight=Float(0.03729415391043158);sleep.replay_noise=Float(0.0938898506443691);working_memory.recurrent_strength=Float(0.6208321624716818);network.initial_threshold=Float(0.16712418488858366);timing.stdp_tau_plus=Float(29.09093191826039);curiosity.scale=Float(0.029007929370041922);curiosity.habituation_rate=Float(0.9165526731839759);competition.strength=Float(0.26024789096793344);memory.consolidation_rate=Float(0.00014225836757082426);energy.plasticity_cost_factor=Float(0.013674631785525623);sleep.interval=Int(5010);learning.stdp_a_plus=Float(0.009212759928674163);network.initial_inh_weight=Float(0.5523896095930574);memory.capture_threshold=Float(0.1633546049504901);working_memory.decay_rate=Float(0.012193631085561433);energy.cost_fire_ratio=Float(0.02569815802287733);predictive.state_learning_rate=Float(0.06641271477897771);timing.stdp_tau_minus=Float(7.684942762759734);learning.weight_decay=Float(1.074417050136622e-5);memory.dopamine_sensitivity=Float(1.0402514182590534);homeostasis.target_firing_rate=Float(0.09757628580266058);learning.istdp_rate=Float(0.00028742465554331147);learning.base_learning_rate=Float(0.003164359252301088);homeostasis.meta_alpha=Float(0.0035311671875095543);stp.use_fraction=Float(0.16424562168872114);homeostasis.homeo_eta=Float(0.017658421354918137);energy.max_energy=Float(121.5697716622543);homeostasis.homeo_interval=Int(9)"
5,0.414481,0,Completed,"memory.capture_threshold=Float(0.16505813020399263);competition.interval=Int(5);homeostasis.meta_threshold=Float(0.057836173988840583);memory.dopamine_sensitivity=Float(5.402746415092318);homeostasis.memory_alpha=Float(0.008165633960342368);energy.recovery_rate=Float(3.0886157923584374);stp.use_fraction=Float(0.14529565503944075);learning.stdp_a_minus=Float(0.0017721108856006305);memory.consolidation_rate=Float(0.00037516088123925993);learning.trace_increment=Float(0.059771641811768444);network.initial_inh_weight=Float(0.6346047372404962);timing.refractory_period=Int(7);network.initial_threshold=Float(0.27961927749673354);memory.tag_decay_rate=Float(0.006320693519260691);predictive.state_learning_rate=Float(0.02811978351662477);learning.weight_decay=Float(4.687859412724171e-5);predictive.inference_iterations=Int(2);timing.stdp_tau_minus=Float(13.376281211007452);curiosity.habituation_rate=Float(0.9038431570790343);working_memory.decay_rate=Float(0.01921852576715568);energy.cost_fire_ratio=Float(0.02947753158851469);energy.max_energy=Float(101.05905454863307);sleep.replay_noise=Float(0.10176407702075412);curiosity.surprise_threshold=Float(0.008070721176912522);homeostasis.homeo_eta=Float(0.01168132735462308);homeostasis.homeo_interval=Int(10);learning.base_learning_rate=Float(0.008480760108484205);homeostasis.meta_alpha=Float(0.0017963419419009734);network.initial_exc_weight=Float(0.026438951240023354);learning.stdp_a_plus=Float(0.0034834489822608092);learning.istdp_rate=Float(0.00018970688850701686);working_memory.recurrent_strength=Float(0.6785122099864558);network.inhibitory_ratio=Float(0.14853560429730817);energy.plasticity_cost_factor=Float(0.09517267392370213);timing.stdp_tau_plus=Float(42.3671732569037);curiosity.scale=Float(0.10939104917445011);timing.eligibility_trace_tau=Float(152.79095513974298);homeostasis.target_firing_rate=Float(0.13214536647362293);working_memory.capacity=Int(3);competition.strength=Float(0.2577164003061402);learning.ltp_ltd_ratio=Float(2.3949859140894807);timing.stdp_window=Int(20);memory.weight_clamp=Float(2.632773816034378);timing.stp_recovery_tau=Float(130.97039293054735);sleep.interval=Int(2230)"
6,0.656105,0,Completed,"network.inhibitory_ratio=Float(0.20408256128525423);timing.stdp_tau_plus=Float(13.942355507505674);homeostasis.meta_alpha=Float(0.0032294473997268917);working_memory.recurrent_strength=Float(0.6022894282481376);competition.strength=Float(0.12754272372171813);energy.plasticity_cost_factor=Float(0.028814599972407942);predictive.state_learning_rate=Float(0.0381005554937791);learning.trace_increment=Float(0.15823678926290868);energy.max_energy=Float(100.42379087545531);homeostasis.meta_threshold=Float(0.05015996134610846);learning.ltp_ltd_ratio=Float(1.4893670602444016);memory.dopamine_sensitivity=Float(4.888631900280862);homeostasis.memory_alpha=Float(0.009818495028509521);memory.consolidation_rate=Float(0.0003952322242607549);working_memory.capacity=Int(6);memory.capture_threshold=Float(0.1561670184964703);homeostasis.target_firing_rate=Float(0.11069860673525804);working_memory.decay_rate=Float(0.01361992140438761);curiosity.habituation_rate=Float(0.9034867914760222);network.initial_inh_weight=Float(0.7345009851349752);stp.use_fraction=Float(0.12803611587221644);curiosity.surprise_threshold=Float(0.0067508877328469495);timing.stp_recovery_tau=Float(96.18650384857006);timing.stdp_tau_minus=Float(23.594493334785682);memory.weight_clamp=Float(1.332388361993336);learning.base_learning_rate=Float(0.00664847824060569);sleep.interval=Int(3185);learning.stdp_a_plus=Float(0.0021353132096603774);timing.stdp_window=Int(21);learning.stdp_a_minus=Float(0.0011793780043809995);energy.cost_fire_ratio=Float(0.06191615892851636);learning.weight_decay=Float(1.663632833584736e-5);competition.interval=Int(9);timing.refractory_period=Int(1);network.initial_threshold=Float(0.1992786732733433);network.initial_exc_weight=Float(0.07258444383102107);homeostasis.homeo_interval=Int(8);energy.recovery_rate=Float(5.921146015851094);sleep.replay_noise=Float(0.05867922251314839);learning.istdp_rate=Float(0.00013343052347860454);homeostasis.homeo_eta=Float(0.03244860445663882);memory.tag_decay_rate=Float(0.0024111802132651735);predictive.inference_iterations=Int(4);timing.eligibility_trace_tau=Float(101.82229146842766);curiosity.scale=Float(0.25315357176194747)"
7,0.296405,0,Completed,"memory.capture_threshold=Float(0.14573769996541963);learning.base_learning_rate=Float(0.0010531404597221602);homeostasis.homeo_interval=Int(9);working_memory.decay_rate=Float(0.00731566809322496);timing.stdp_tau_plus=Float(41.00087149092016);network.inhibitory_ratio=Float(0.19361906875707655);network.initial_exc_weight=Float(0.08401588713378084);homeostasis.meta_threshold=Float(0.07725487022596758);sleep.interval=Int(5089);homeostasis.homeo_eta=Float(0.028058419232057777);curiosity.scale=Float(0.24199471131479244);timing.eligibility_trace_tau=Float(146.07427579139465);homeostasis.memory_alpha=Float(0.005459185123200579);energy.max_energy=Float(62.82645238396396);curiosity.surprise_threshold=Float(0.0038450970516681767);learning.istdp_rate=Float(0.00018702862928937102);predictive.inference_iterations=Int(5);timing.stp_recovery_tau=Float(52.01205856912119);energy.plasticity_cost_factor=Float(0.07734911433126523);memory.consolidation_rate=Float(0.00014169886017397976);predictive.state_learning_rate=Float(0.021653376181439834);timing.stdp_tau_minus=Float(11.912899268072309);memory.dopamine_sensitivity=Float(4.412187718183777);curiosity.habituation_rate=Float(0.931086887142874);energy.cost_fire_ratio=Float(0.06341970352302764);homeostasis.meta_alpha=Float(0.0010908291437165386);energy.recovery_rate=Float(1.743494497785227);competition.strength=Float(0.1113989751812534);timing.stdp_window=Int(54);network.initial_threshold=Float(0.20121380325900715);learning.weight_decay=Float(0.0001310387546546317);working_memory.capacity=Int(6);competition.interval=Int(5);network.initial_inh_weight=Float(0.42340271229003623);timing.refractory_period=Int(1);learning.ltp_ltd_ratio=Float(1.3907315813449053);learning.stdp_a_plus=Float(0.005990677502002475);stp.use_fraction=Float(0.14354888789671216);memory.tag_decay_rate=Float(0.001514435643702523);learning.trace_increment=Float(0.10699105579568796);memory.weight_clamp=Float(1.3918491193074383);homeostasis.target_firing_rate=Float(0.05270446772284444);sleep.replay_noise=Float(0.030985317044189505);working_memory.recurrent_strength=Float(0.5601205342822058);learning.stdp_a_minus=Float(0.007271810116124315)"
8,0.469995,0,Completed,"network.initial_threshold=Float(0.25971153084181986);network.inhibitory_ratio=Float(0.23094867661850266);homeostasis.memory_alpha=Float(0.005928608260363804);learning.ltp_ltd_ratio=Float(1.8130192448881033);sleep.replay_noise=Float(0.020282939968230888);learning.stdp_a_plus=Float(0.001270039183841358);memory.tag_decay_rate=Float(0.0032459330512385146);working_memory.recurrent_strength=Float(0.6033768591711709);memory.dopamine_sensitivity=Float(4.666493937528342);energy.plasticity_cost_factor=Float(0.07125609100127037);learning.istdp_rate=Float(0.0005624984391781108);timing.stdp_tau_minus=Float(20.912431495010953);stp.use_fraction=Float(0.13092570539585446);timing.refractory_period=Int(3);memory.weight_clamp=Float(2.536967273228096);working_memory.capacity=Int(3);working_memory.decay_rate=Float(0.012765534555920607);network.initial_inh_weight=Float(0.717479951171549);timing.stdp_tau_plus=Float(36.99034453998095);curiosity.scale=Float(0.02873018076613782);predictive.state_learning_rate=Float(0.017401934741744084);learning.base_learning_rate=Float(0.0021549479388428385);energy.cost_fire_ratio=Float(0.05832084784477968);learning.trace_increment=Float(0.1265673536985571);memory.consolidation_rate=Float(0.00022656376845167953);homeostasis.homeo_eta=Float(0.05889684216659058);energy.max_energy=Float(65.51371502352733);learning.weight_decay=Float(1.365527582883558e-5);curiosity.habituation_rate=Float(0.9225406709230832);competition.interval=Int(12);curiosity.surprise_threshold=Float(0.0052691371594954005);predictive.inference_iterations=Int(4);homeostasis.meta_threshold=Float(0.06958032843414236);timing.eligibility_trace_tau=Float(98.67563731166915);network.initial_exc_weight=Float(0.056293751943459217);timing.stp_recovery_tau=Float(60.26904391131109);homeostasis.target_firing_rate=Float(0.0994710375530345);timing.stdp_window=Int(25);memory.capture_threshold=Float(0.09801614257693667);sleep.interval=Int(3163);competition.strength=Float(0.17842210086025814);energy.recovery_rate=Float(1.4903538190970091);learning.stdp_a_minus=Float(0.007853475035004047);homeostasis.homeo_interval=Int(6);homeostasis.meta_alpha=Float(0.00522703479453055)"
9,0.604779,0,Completed,"stp.use_fraction=Float(0.1477498890943243);memory.tag_decay_rate=Float(0.0017650692123116019);timing.stp_recovery_tau=Float(54.73796564730303);energy.recovery_rate=Float(9.726388352160898);competition.strength=Float(0.1039304353305908);energy.plasticity_cost_factor=Float(0.05751897233014903);sleep.replay_noise=Float(0.021176771980518656);homeostasis.target_firing_rate=Float(0.033840157055258786);timing.refractory_period=Int(3);curiosity.surprise_threshold=Float(0.0014132597519727027);homeostasis.meta_threshold=Float(0.155221383181685);learning.istdp_rate=Float(0.0006190670024369911);timing.eligibility_trace_tau=Float(81.02044745399134);timing.stdp_tau_minus=Float(8.105161421258273);memory.dopamine_sensitivity=Float(1.2287603451937346);working_memory.decay_rate=Float(0.016232419152288007);working_memory.capacity=Int(7);learning.base_learning_rate=Float(0.0027057705138195916);sleep.interval=Int(4716);homeostasis.memory_alpha=Float(0.005286731009592934);learning.ltp_ltd_ratio=Float(2.476712605561296);predictive.state_learning_rate=Float(0.01567761033476503);memory.weight_clamp=Float(2.5103936906695354);timing.stdp_tau_plus=Float(36.99403502908396);working_memory.recurrent_strength=Float(0.7239692469299699);network.initial_threshold=Float(0.2631101636595815);learning.stdp_a_plus=Float(0.006550609292853692);memory.consolidation_rate=Float(0.00014399145617716548);curiosity.scale=Float(0.03576301790209557);homeostasis.meta_alpha=Float(0.0014662663526813348);memory.capture_threshold=Float(0.16750330877665043);curiosity.habituation_rate=Float(0.9257897181624523);network.initial_exc_weight=Float(0.0826166777621528);homeostasis.homeo_interval=Int(1);learning.trace_increment=Float(0.10035065307755738);homeostasis.homeo_eta=Float(0.03247715175843802);learning.weight_decay=Float(1.5157209003145439e-5);predictive.inference_iterations=Int(4);competition.interval=Int(7);learning.stdp_a_minus=Float(0.002677032010274467);energy.max_energy=Float(121.45332146236983);timing.stdp_window=Int(26);network.initial_inh_weight=Float(0.4878309545078853);network.inhibitory_ratio=Float(0.23361287830248778);energy.cost_fire_ratio=Float(0.0731562289416688)"
