trial,score,duration_ms,status,config
0,0.646059,8200,Completed,"memory.tag_decay_rate=Float(0.003526949209485541);homeostasis.homeo_eta=Float(0.027918192688550936);learning.ltp_ltd_ratio=Float(1.7999455693177753);learning.trace_increment=Float(0.1650587854476317);network.initial_threshold=Float(0.14509268571741243);homeostasis.meta_threshold=Float(0.10924510573019393);competition.strength=Float(0.18590330446276426);predictive.state_learning_rate=Float(0.0467386265499036);learning.stdp_a_plus=Float(0.0014205451514499878);curiosity.surprise_threshold=Float(0.002211116653297679);network.initial_inh_weight=Float(0.1185798677659081);homeostasis.target_firing_rate=Float(0.07542402750938759);energy.cost_fire_ratio=Float(0.03886251983904804);curiosity.scale=Float(0.10576376329775987);timing.refractory_period=Int(1);network.inhibitory_ratio=Float(0.20632333995455956);memory.weight_clamp=Float(2.0577984063555017);homeostasis.memory_alpha=Float(0.013848934260194637);curiosity.habituation_rate=Float(0.9033261279585599);timing.stp_recovery_tau=Float(138.43550134646603);homeostasis.homeo_interval=Int(7);learning.weight_decay=Float(1.0780557114632698e-5);learning.base_learning_rate=Float(0.0024493926131104854);learning.istdp_rate=Float(0.0004269706765658392);stp.use_fraction=Float(0.10271662778749985);timing.stdp_tau_plus=Float(37.80258601480224);memory.consolidation_rate=Float(0.00030522823240588203);energy.recovery_rate=Float(5.281025216980145);timing.eligibility_trace_tau=Float(74.21231880392008);learning.stdp_a_minus=Float(0.002120885766297016);timing.stdp_window=Int(28);timing.stdp_tau_minus=Float(22.907363939543107);working_memory.capacity=Int(7);network.initial_exc_weight=Float(0.04683449070128484);network.adaptive_threshold_multiplier=Float(0.5590150482158678);memory.dopamine_sensitivity=Float(3.557036468888874)"
1,0.626944,825,Completed,"learning.istdp_rate=Float(0.0004452587192873482);timing.stdp_window=Int(28);timing.refractory_period=Int(9);timing.eligibility_trace_tau=Float(72.02028985762847);homeostasis.target_firing_rate=Float(0.058727492566389844);learning.base_learning_rate=Float(0.0028049058368216123);curiosity.surprise_threshold=Float(0.001842863085588122);timing.stdp_tau_plus=Float(18.179445741274264);homeostasis.meta_threshold=Float(0.0986347726077388);homeostasis.memory_alpha=Float(0.006281311850644387);network.initial_exc_weight=Float(0.08065426847679873);network.initial_threshold=Float(0.17136611176453675);learning.weight_decay=Float(0.00019726794865952989);learning.stdp_a_plus=Float(0.008645959592722192);energy.recovery_rate=Float(5.723648562264547);energy.cost_fire_ratio=Float(0.013322905582218176);learning.stdp_a_minus=Float(0.0013264435881607311);memory.tag_decay_rate=Float(0.0014987340827380081);learning.ltp_ltd_ratio=Float(2.2816406749844647);memory.weight_clamp=Float(1.044574539187498);curiosity.scale=Float(0.12086168502011842);predictive.state_learning_rate=Float(0.013554840963967299);curiosity.habituation_rate=Float(0.9252469467023031);memory.consolidation_rate=Float(0.0005696191775693417);network.adaptive_threshold_multiplier=Float(2.6665816929113544);timing.stp_recovery_tau=Float(104.2381209796849);timing.stdp_tau_minus=Float(16.25226125150273);competition.strength=Float(0.2502277500345902);homeostasis.homeo_eta=Float(0.010031415390299406);working_memory.capacity=Int(7);network.inhibitory_ratio=Float(0.2407106228500397);memory.dopamine_sensitivity=Float(1.8106505958853871);learning.trace_increment=Float(0.07724986186419844);network.initial_inh_weight=Float(0.7044110987345713);stp.use_fraction=Float(0.05415782985607112);homeostasis.homeo_interval=Int(9)"
2,0.656857,842,Completed,"learning.stdp_a_minus=Float(0.003959299143591084);homeostasis.homeo_eta=Float(0.01914004553957003);memory.consolidation_rate=Float(0.00017091198804849859);network.initial_threshold=Float(0.27580240568514036);working_memory.capacity=Int(7);learning.istdp_rate=Float(0.00021615097721593154);curiosity.habituation_rate=Float(0.931729020000838);network.adaptive_threshold_multiplier=Float(1.9789799145606766);learning.ltp_ltd_ratio=Float(2.0966245213282817);homeostasis.meta_threshold=Float(0.11540406322232542);timing.eligibility_trace_tau=Float(56.29394478459783);curiosity.surprise_threshold=Float(0.0013111643304178607);network.inhibitory_ratio=Float(0.15506099044695987);competition.strength=Float(0.28052271152393027);learning.stdp_a_plus=Float(0.009394077214500359);energy.recovery_rate=Float(8.159434642447028);network.initial_exc_weight=Float(0.04597375696198404);timing.refractory_period=Int(5);curiosity.scale=Float(0.22739287324887533);predictive.state_learning_rate=Float(0.03969419850498868);learning.base_learning_rate=Float(0.007163096583511479);homeostasis.target_firing_rate=Float(0.09314351645837153);timing.stp_recovery_tau=Float(132.2190357330765);memory.dopamine_sensitivity=Float(1.10198699126532);learning.trace_increment=Float(0.14242355406573592);learning.weight_decay=Float(3.5348871512435875e-5);timing.stdp_tau_minus=Float(16.394739513377367);timing.stdp_tau_plus=Float(47.580860864273475);timing.stdp_window=Int(10);homeostasis.homeo_interval=Int(5);network.initial_inh_weight=Float(0.443107961430938);homeostasis.memory_alpha=Float(0.005794105286110683);stp.use_fraction=Float(0.16259690127628784);memory.tag_decay_rate=Float(0.001823245806061701);memory.weight_clamp=Float(1.7125861190055929);energy.cost_fire_ratio=Float(0.010887702722309088)"
3,0.643210,784,Completed,"curiosity.surprise_threshold=Float(0.0035005526663372277);learning.base_learning_rate=Float(0.0015140914225806764);timing.stdp_tau_plus=Float(44.94902341974644);network.adaptive_threshold_multiplier=Float(2.003235984594383);memory.dopamine_sensitivity=Float(3.9145301712943548);working_memory.capacity=Int(3);homeostasis.homeo_eta=Float(0.03370262685853026);network.initial_exc_weight=Float(0.07959165603378594);network.initial_threshold=Float(0.10951291574386715);timing.refractory_period=Int(5);energy.recovery_rate=Float(12.148697181406593);curiosity.habituation_rate=Float(0.9317791261379093);learning.stdp_a_plus=Float(0.005643114079175367);stp.use_fraction=Float(0.08030579555321155);learning.istdp_rate=Float(0.0003810725891851921);learning.trace_increment=Float(0.14838435999080174);timing.eligibility_trace_tau=Float(74.06095620584834);network.inhibitory_ratio=Float(0.1105253768177995);memory.consolidation_rate=Float(0.0004562758747830412);learning.stdp_a_minus=Float(0.002852400899724262);memory.tag_decay_rate=Float(0.001201298832199679);homeostasis.meta_threshold=Float(0.16943376253345838);competition.strength=Float(0.20067172071446474);timing.stdp_window=Int(11);timing.stp_recovery_tau=Float(166.74395602120643);curiosity.scale=Float(0.03828967359808499);network.initial_inh_weight=Float(0.2589877410696325);homeostasis.target_firing_rate=Float(0.07838719780286477);learning.ltp_ltd_ratio=Float(2.3198788362368656);learning.weight_decay=Float(9.805482828227017e-5);memory.weight_clamp=Float(2.6167907169127815);predictive.state_learning_rate=Float(0.013421949028455565);homeostasis.homeo_interval=Int(10);homeostasis.memory_alpha=Float(0.008237982595773167);timing.stdp_tau_minus=Float(20.226909507817336);energy.cost_fire_ratio=Float(0.0594425577366358)"
4,0.641439,7257,Completed,"energy.recovery_rate=Float(9.028953474021739);learning.ltp_ltd_ratio=Float(1.4879068509880236);homeostasis.target_firing_rate=Float(0.1274576497630816);stp.use_fraction=Float(0.1422600566624338);memory.dopamine_sensitivity=Float(3.3518158815223296);timing.stdp_window=Int(24);working_memory.capacity=Int(5);memory.weight_clamp=Float(2.2126476944453657);timing.eligibility_trace_tau=Float(148.04528776552326);competition.strength=Float(0.15876586717990365);timing.stp_recovery_tau=Float(66.5475150608801);memory.consolidation_rate=Float(0.00010917935064247906);learning.base_learning_rate=Float(0.004280777145309019);homeostasis.meta_threshold=Float(0.10047192868089116);curiosity.surprise_threshold=Float(0.0012921739896565414);learning.stdp_a_plus=Float(0.0039012818894265397);curiosity.habituation_rate=Float(0.9256412620948724);energy.cost_fire_ratio=Float(0.03704785154365186);timing.stdp_tau_plus=Float(50.31554706867681);memory.tag_decay_rate=Float(0.005195572031426984);network.initial_exc_weight=Float(0.054912993874147775);learning.weight_decay=Float(0.00012955354577218878);homeostasis.homeo_eta=Float(0.029808551875455024);network.inhibitory_ratio=Float(0.2473919287434295);homeostasis.homeo_interval=Int(1);network.initial_threshold=Float(0.28430021083548207);learning.stdp_a_minus=Float(0.007485330972502231);learning.istdp_rate=Float(0.0005483109596162424);timing.refractory_period=Int(1);homeostasis.memory_alpha=Float(0.0068842971319900016);network.adaptive_threshold_multiplier=Float(1.361737750904108);network.initial_inh_weight=Float(0.45997197808697166);curiosity.scale=Float(0.15769324683996225);timing.stdp_tau_minus=Float(22.964519519117783);learning.trace_increment=Float(0.09420705862441264);predictive.state_learning_rate=Float(0.028120202464894096)"
5,0.656793,768,Completed,"timing.stdp_window=Int(36);learning.istdp_rate=Float(0.00017193018451629926);network.inhibitory_ratio=Float(0.1586346208720083);energy.recovery_rate=Float(8.065878549373215);curiosity.habituation_rate=Float(0.9460152057691047);network.initial_threshold=Float(0.28909712987698083);learning.stdp_a_plus=Float(0.006422215141196832);memory.weight_clamp=Float(2.0228757981729872);network.initial_inh_weight=Float(0.41969448172480206);network.initial_exc_weight=Float(0.04642325776778703);homeostasis.memory_alpha=Float(0.005108918932231605);homeostasis.meta_threshold=Float(0.16099162333668016);memory.consolidation_rate=Float(0.0006715685500968342);timing.eligibility_trace_tau=Float(56.68359014263195);learning.trace_increment=Float(0.09692436429833164);learning.stdp_a_minus=Float(0.0028958502023594852);stp.use_fraction=Float(0.05116772932260477);learning.ltp_ltd_ratio=Float(2.073771933576505);timing.stdp_tau_minus=Float(25.116770081249246);timing.stp_recovery_tau=Float(116.52065862820498);curiosity.scale=Float(0.132344126133794);curiosity.surprise_threshold=Float(0.007378876420100124);network.adaptive_threshold_multiplier=Float(0.6449089016869918);learning.weight_decay=Float(0.0002502018837332039);working_memory.capacity=Int(6);homeostasis.target_firing_rate=Float(0.03658104877140863);energy.cost_fire_ratio=Float(0.050810926077144894);homeostasis.homeo_interval=Int(8);competition.strength=Float(0.12368931025818208);memory.dopamine_sensitivity=Float(3.4131687577844523);timing.stdp_tau_plus=Float(54.34250284320267);homeostasis.homeo_eta=Float(0.059550938693889735);predictive.state_learning_rate=Float(0.01882434072156671);learning.base_learning_rate=Float(0.00343482417956355);memory.tag_decay_rate=Float(0.004191709908681604);timing.refractory_period=Int(5)"
6,0.624483,5345,Completed,"timing.eligibility_trace_tau=Float(110.24901829397723);learning.weight_decay=Float(0.00019931470319374534);timing.stdp_window=Int(55);memory.dopamine_sensitivity=Float(4.989010808754017);homeostasis.homeo_interval=Int(5);network.inhibitory_ratio=Float(0.20803824933432935);timing.refractory_period=Int(2);energy.cost_fire_ratio=Float(0.06275171726773299);learning.ltp_ltd_ratio=Float(1.3290395746773667);stp.use_fraction=Float(0.16876162883563936);network.adaptive_threshold_multiplier=Float(0.8326718654326797);learning.istdp_rate=Float(0.0002600549678374209);memory.weight_clamp=Float(1.2061799029368394);timing.stdp_tau_minus=Float(9.771482410088993);learning.trace_increment=Float(0.08186788730832467);homeostasis.target_firing_rate=Float(0.059116030123344626);curiosity.scale=Float(0.19459994488502852);homeostasis.meta_threshold=Float(0.13172104160341458);curiosity.habituation_rate=Float(0.9463105189095509);working_memory.capacity=Int(7);homeostasis.homeo_eta=Float(0.022255686612788317);homeostasis.memory_alpha=Float(0.008681922207343182);network.initial_threshold=Float(0.20824230585904846);energy.recovery_rate=Float(1.8701813036739319);learning.stdp_a_minus=Float(0.0053298519756294765);curiosity.surprise_threshold=Float(0.008334344999247673);timing.stdp_tau_plus=Float(40.80805339403638);memory.tag_decay_rate=Float(0.0034433188395128767);network.initial_exc_weight=Float(0.0263878977476591);learning.base_learning_rate=Float(0.005175224495209569);competition.strength=Float(0.26241296440419115);memory.consolidation_rate=Float(0.0009185910383204855);network.initial_inh_weight=Float(0.7454391989962754);predictive.state_learning_rate=Float(0.010423370409207435);learning.stdp_a_plus=Float(0.0011743299733517967);timing.stp_recovery_tau=Float(114.87403305128078)"
7,0.646722,931,Completed,"network.initial_inh_weight=Float(0.3928526148416225);timing.eligibility_trace_tau=Float(97.69795403228406);learning.stdp_a_minus=Float(0.0012960369522700154);memory.dopamine_sensitivity=Float(5.335810627633662);memory.weight_clamp=Float(1.3792648530516924);curiosity.scale=Float(0.2232181378624444);network.adaptive_threshold_multiplier=Float(2.6225363465776983);network.inhibitory_ratio=Float(0.23047686054615232);timing.stp_recovery_tau=Float(165.86777344715497);timing.stdp_tau_minus=Float(15.237533227828688);learning.trace_increment=Float(0.0720958176702484);homeostasis.target_firing_rate=Float(0.06548536649334369);competition.strength=Float(0.1168610720003166);network.initial_threshold=Float(0.23401710477983978);homeostasis.meta_threshold=Float(0.08008777759505617);energy.recovery_rate=Float(9.828905599384779);homeostasis.homeo_eta=Float(0.021663669280149372);timing.stdp_window=Int(24);timing.refractory_period=Int(7);memory.tag_decay_rate=Float(0.0017931479449821998);predictive.state_learning_rate=Float(0.034645088855645476);learning.istdp_rate=Float(0.0003865157459557826);energy.cost_fire_ratio=Float(0.03599787115724708);network.initial_exc_weight=Float(0.07476599150215416);memory.consolidation_rate=Float(0.00011903446128485195);stp.use_fraction=Float(0.07113596839391068);homeostasis.homeo_interval=Int(1);learning.ltp_ltd_ratio=Float(2.055645412778399);homeostasis.memory_alpha=Float(0.005181981257236352);curiosity.habituation_rate=Float(0.9450232222722897);curiosity.surprise_threshold=Float(0.004095060898278066);timing.stdp_tau_plus=Float(21.542070373320502);learning.stdp_a_plus=Float(0.00356957993205937);working_memory.capacity=Int(4);learning.base_learning_rate=Float(0.00116360045825896);learning.weight_decay=Float(2.6844098034097908e-5)"
8,0.649888,862,Completed,"timing.stdp_tau_minus=Float(22.073275736084504);competition.strength=Float(0.11478986181663114);homeostasis.homeo_eta=Float(0.032124339643165724);learning.trace_increment=Float(0.13043892846452979);curiosity.habituation_rate=Float(0.9172325396203046);energy.cost_fire_ratio=Float(0.010223472830891487);homeostasis.meta_threshold=Float(0.15110275676732482);network.adaptive_threshold_multiplier=Float(1.9362510278439733);timing.stp_recovery_tau=Float(80.50451796280791);homeostasis.target_firing_rate=Float(0.04347297937457286);learning.istdp_rate=Float(0.0007520791935257109);learning.base_learning_rate=Float(0.005286931453733909);memory.dopamine_sensitivity=Float(4.429089383787729);learning.stdp_a_plus=Float(0.006059873673297089);memory.consolidation_rate=Float(0.0006350458218702936);network.initial_threshold=Float(0.18363365812311733);timing.eligibility_trace_tau=Float(84.90801546857182);timing.stdp_tau_plus=Float(47.374239931203014);working_memory.capacity=Int(3);homeostasis.memory_alpha=Float(0.008099388133654637);memory.weight_clamp=Float(1.9178178275278346);energy.recovery_rate=Float(7.270751773908444);learning.ltp_ltd_ratio=Float(2.3299001970630835);network.inhibitory_ratio=Float(0.20740261490163456);homeostasis.homeo_interval=Int(9);curiosity.surprise_threshold=Float(0.0034807905029477708);memory.tag_decay_rate=Float(0.0015554994205372338);network.initial_inh_weight=Float(0.6050208684767179);curiosity.scale=Float(0.062478776355851154);predictive.state_learning_rate=Float(0.029407286220360363);learning.weight_decay=Float(5.701623095573365e-5);stp.use_fraction=Float(0.07007733122913105);network.initial_exc_weight=Float(0.05120722806109284);learning.stdp_a_minus=Float(0.004041687441962477);timing.stdp_window=Int(29);timing.refractory_period=Int(7)"
9,0.645044,1295,Completed,"curiosity.scale=Float(0.04848498728556675);homeostasis.homeo_eta=Float(0.0366434116796976);timing.stdp_tau_plus=Float(22.354250953615235);learning.weight_decay=Float(6.626686352270601e-5);memory.dopamine_sensitivity=Float(3.9575742259522837);working_memory.capacity=Int(6);memory.consolidation_rate=Float(0.00012131913859616564);learning.stdp_a_plus=Float(0.004625624577994371);network.adaptive_threshold_multiplier=Float(0.5444221788887917);network.initial_threshold=Float(0.25024495854746664);curiosity.habituation_rate=Float(0.906202951956122);memory.tag_decay_rate=Float(0.005407864405552987);timing.eligibility_trace_tau=Float(59.4368615437808);network.inhibitory_ratio=Float(0.22407399309428272);stp.use_fraction=Float(0.16623604388819915);timing.refractory_period=Int(3);network.initial_exc_weight=Float(0.029964991910374952);energy.cost_fire_ratio=Float(0.014727768982930056);timing.stdp_tau_minus=Float(27.117322581381845);learning.trace_increment=Float(0.15442523730556137);timing.stp_recovery_tau=Float(118.31375220052753);curiosity.surprise_threshold=Float(0.0026504747853089415);homeostasis.meta_threshold=Float(0.119584503611453);homeostasis.homeo_interval=Int(3);learning.istdp_rate=Float(0.0005680453902401232);learning.base_learning_rate=Float(0.008454685255181294);energy.recovery_rate=Float(11.95339706608872);competition.strength=Float(0.20091056574622881);predictive.state_learning_rate=Float(0.039175559102668726);learning.stdp_a_minus=Float(0.006418536402910089);homeostasis.target_firing_rate=Float(0.11850149763480329);network.initial_inh_weight=Float(0.6958050917358615);timing.stdp_window=Int(24);homeostasis.memory_alpha=Float(0.019065980090083423);memory.weight_clamp=Float(1.8651341919007558);learning.ltp_ltd_ratio=Float(2.439446939956268)"
