trial,score,duration_ms,status,config
0,0.337082,0,Completed,"homeostasis.homeo_eta=Float(0.04057593318271292);network.inhibitory_ratio=Float(0.24107903990454022);learning.weight_decay=Float(2.128043950278536e-5);learning.stdp_a_minus=Float(0.003623179914522492);learning.stdp_a_plus=Float(0.002982820768198241);competition.interval=Int(9);timing.refractory_period=Int(4);network.initial_exc_weight=Float(0.0662932968456981);learning.ltp_ltd_ratio=Float(2.1988868113138915);timing.stp_recovery_tau=Float(172.58816949850603);predictive.state_learning_rate=Float(0.0155575333206462);stp.use_fraction=Float(0.06282238593856394);energy.plasticity_cost_factor=Float(0.07068245084273686);curiosity.scale=Float(0.09983440167266745);memory.dopamine_sensitivity=Float(3.219165952228747);homeostasis.meta_threshold=Float(0.12524904755997684);predictive.inference_iterations=Int(1);sleep.interval=Int(3088);timing.stdp_window=Int(35);homeostasis.memory_alpha=Float(0.007968478773848965);memory.consolidation_rate=Float(0.00011343254629093817);network.initial_threshold=Float(0.2996050036045734);working_memory.decay_rate=Float(0.006248266047069235);learning.base_learning_rate=Float(0.0017024849735813516);learning.istdp_rate=Float(0.00038441752239430134);working_memory.capacity=Int(4);memory.capture_threshold=Float(0.0630071567285357);timing.stdp_tau_minus=Float(17.88510864900544);memory.weight_clamp=Float(1.662638725867178);timing.stdp_tau_plus=Float(51.43809695063114);memory.tag_decay_rate=Float(0.0036794323133595933);energy.cost_fire_ratio=Float(0.06610073254352918);homeostasis.meta_alpha=Float(0.0015912966725841913);learning.trace_increment=Float(0.052405561972969576);homeostasis.target_firing_rate=Float(0.10784977482116077);competition.strength=Float(0.18887807766182305);energy.recovery_rate=Float(10.40619185785907);curiosity.habituation_rate=Float(0.9454988185976396);energy.max_energy=Float(71.27118309058044);network.initial_inh_weight=Float(0.7622077407925872);working_memory.recurrent_strength=Float(0.6191303639251576);timing.eligibility_trace_tau=Float(82.35736380746977);curiosity.surprise_threshold=Float(0.007905873679581095);homeostasis.homeo_interval=Int(2)"
1,0.593473,0,Completed,"timing.stdp_window=Int(41);memory.tag_decay_rate=Float(0.0065021033548647595);curiosity.scale=Float(0.04758641194030326);stp.use_fraction=Float(0.11991993334840982);curiosity.habituation_rate=Float(0.9301798463620199);network.initial_threshold=Float(0.1336422042999515);sleep.interval=Int(1808);homeostasis.meta_alpha=Float(0.002616844583025457);energy.recovery_rate=Float(4.033937521985251);energy.cost_fire_ratio=Float(0.07358695508064397);working_memory.recurrent_strength=Float(0.6551385310839718);working_memory.capacity=Int(7);energy.max_energy=Float(90.31995474135502);homeostasis.target_firing_rate=Float(0.10250313393597099);learning.base_learning_rate=Float(0.003038551757347139);working_memory.decay_rate=Float(0.0071083168595367065);homeostasis.homeo_interval=Int(10);homeostasis.meta_threshold=Float(0.14713789735621258);learning.stdp_a_plus=Float(0.002411795446568267);memory.weight_clamp=Float(2.039305393826055);homeostasis.homeo_eta=Float(0.014289994345490813);memory.capture_threshold=Float(0.060968177349066406);timing.stdp_tau_plus=Float(50.11339484250951);timing.refractory_period=Int(10);network.initial_exc_weight=Float(0.054516895265438806);memory.dopamine_sensitivity=Float(1.068657899757069);memory.consolidation_rate=Float(0.0009758854604358156);learning.trace_increment=Float(0.10734541122972627);learning.istdp_rate=Float(0.0004024420874253552);timing.eligibility_trace_tau=Float(61.85553388047403);curiosity.surprise_threshold=Float(0.00180846323454034);homeostasis.memory_alpha=Float(0.010730190946387844);predictive.inference_iterations=Int(1);competition.interval=Int(12);network.initial_inh_weight=Float(0.45019466903763694);timing.stp_recovery_tau=Float(84.89579092359537);learning.stdp_a_minus=Float(0.0011841799794975831);learning.weight_decay=Float(9.697174640003492e-5);timing.stdp_tau_minus=Float(20.872659301588463);learning.ltp_ltd_ratio=Float(2.1437235654200713);competition.strength=Float(0.2183267327301034);predictive.state_learning_rate=Float(0.01041430941159469);network.inhibitory_ratio=Float(0.15302022082102956);energy.plasticity_cost_factor=Float(0.07308446151974714)"
2,0.642894,0,Completed,"learning.istdp_rate=Float(0.0009381365627261827);learning.stdp_a_plus=Float(0.007133530956730366);timing.stdp_tau_plus=Float(54.45758641568422);working_memory.capacity=Int(4);stp.use_fraction=Float(0.17229853999388836);network.initial_inh_weight=Float(0.5771028086722602);homeostasis.homeo_eta=Float(0.010938335425857716);curiosity.surprise_threshold=Float(0.004451384731256392);sleep.interval=Int(4654);homeostasis.meta_threshold=Float(0.11307210873651134);homeostasis.target_firing_rate=Float(0.08520858670007637);learning.base_learning_rate=Float(0.006290770021824839);working_memory.recurrent_strength=Float(0.6062816724661462);learning.weight_decay=Float(1.9691987029005693e-5);network.initial_exc_weight=Float(0.07633581054078784);predictive.inference_iterations=Int(5);timing.stdp_window=Int(21);memory.weight_clamp=Float(1.1918199658840476);competition.strength=Float(0.22171823441090954);homeostasis.meta_alpha=Float(0.0031746548116993747);energy.plasticity_cost_factor=Float(0.07043418154829047);timing.refractory_period=Int(5);working_memory.decay_rate=Float(0.013129583676688468);network.initial_threshold=Float(0.25600932029914325);learning.stdp_a_minus=Float(0.0019045965711237372);learning.ltp_ltd_ratio=Float(2.0598572786105462);memory.consolidation_rate=Float(0.0008123511116023359);timing.eligibility_trace_tau=Float(60.38498448390004);curiosity.habituation_rate=Float(0.9129534128408305);timing.stp_recovery_tau=Float(137.00718156458043);memory.tag_decay_rate=Float(0.0018058277635199182);curiosity.scale=Float(0.11576236997865194);competition.interval=Int(6);memory.dopamine_sensitivity=Float(3.191692081091854);memory.capture_threshold=Float(0.15417386822033996);energy.cost_fire_ratio=Float(0.03930253807206231);predictive.state_learning_rate=Float(0.017529677892120506);learning.trace_increment=Float(0.15894666393495788);homeostasis.homeo_interval=Int(10);energy.recovery_rate=Float(2.415477145792795);network.inhibitory_ratio=Float(0.21612341665106907);energy.max_energy=Float(83.92027852449573);homeostasis.memory_alpha=Float(0.008120868978765825);timing.stdp_tau_minus=Float(25.09534241633847)"
3,0.281401,0,Completed,"network.inhibitory_ratio=Float(0.23050258097483373);homeostasis.meta_alpha=Float(0.005769133160663749);memory.capture_threshold=Float(0.06749074116057967);homeostasis.meta_threshold=Float(0.07011407964632708);competition.interval=Int(6);competition.strength=Float(0.10046218698855075);homeostasis.memory_alpha=Float(0.005899618696998523);homeostasis.target_firing_rate=Float(0.1246944734395236);timing.stdp_tau_minus=Float(10.722950146469042);working_memory.capacity=Int(5);learning.stdp_a_plus=Float(0.0028242562768264366);homeostasis.homeo_eta=Float(0.02621301119881898);learning.weight_decay=Float(1.4485291059605358e-5);working_memory.decay_rate=Float(0.008477776512801273);timing.eligibility_trace_tau=Float(65.71808763099604);curiosity.scale=Float(0.21380548870978075);energy.plasticity_cost_factor=Float(0.016682202598704537);network.initial_threshold=Float(0.10959838079512083);memory.tag_decay_rate=Float(0.0014674478624015477);memory.dopamine_sensitivity=Float(4.730132273801168);curiosity.habituation_rate=Float(0.9019914740168005);learning.trace_increment=Float(0.13447070543991185);memory.consolidation_rate=Float(0.0005887286553663203);timing.stdp_window=Int(17);network.initial_inh_weight=Float(0.6076761795458561);curiosity.surprise_threshold=Float(0.0030365249346836452);memory.weight_clamp=Float(2.2110697462249247);learning.istdp_rate=Float(0.000173600201165622);energy.cost_fire_ratio=Float(0.06711154845475953);energy.max_energy=Float(114.81767483400593);homeostasis.homeo_interval=Int(6);timing.refractory_period=Int(6);network.initial_exc_weight=Float(0.06650770785671373);learning.ltp_ltd_ratio=Float(1.0883686191142463);working_memory.recurrent_strength=Float(0.6168602439497738);sleep.interval=Int(1910);learning.stdp_a_minus=Float(0.0045645862028853915);timing.stp_recovery_tau=Float(145.7919602738209);timing.stdp_tau_plus=Float(18.173433737404046);energy.recovery_rate=Float(10.105603974569963);stp.use_fraction=Float(0.06325970801135053);predictive.inference_iterations=Int(2);predictive.state_learning_rate=Float(0.01209038162121136);learning.base_learning_rate=Float(0.00748951160850864)"
4,0.628947,0,Completed,"network.initial_inh_weight=Float(0.36703709658864814);learning.stdp_a_plus=Float(0.006298679264447579);timing.stdp_tau_plus=Float(31.308416056285708);competition.interval=Int(10);timing.eligibility_trace_tau=Float(154.84739280868985);energy.recovery_rate=Float(2.716269759860884);memory.tag_decay_rate=Float(0.0028873659129284345);network.initial_exc_weight=Float(0.07507102449309803);predictive.state_learning_rate=Float(0.02093586211039221);energy.cost_fire_ratio=Float(0.04674949159770028);learning.base_learning_rate=Float(0.00126742900978631);timing.stp_recovery_tau=Float(155.24007901671345);timing.stdp_tau_minus=Float(11.384456891423198);timing.stdp_window=Int(12);memory.capture_threshold=Float(0.12449296723923017);learning.istdp_rate=Float(0.0003319678471324041);memory.dopamine_sensitivity=Float(1.620036046863542);predictive.inference_iterations=Int(3);memory.weight_clamp=Float(1.1740695713493203);energy.plasticity_cost_factor=Float(0.06076063965697789);homeostasis.meta_alpha=Float(0.0014049290206865788);learning.ltp_ltd_ratio=Float(1.9226302762801364);network.inhibitory_ratio=Float(0.1249919662077427);learning.stdp_a_minus=Float(0.0019239620616530377);network.initial_threshold=Float(0.14388457668104315);stp.use_fraction=Float(0.1582899006102909);curiosity.habituation_rate=Float(0.943856736220386);homeostasis.meta_threshold=Float(0.06146141859038301);memory.consolidation_rate=Float(0.00011910794071714349);working_memory.capacity=Int(5);homeostasis.target_firing_rate=Float(0.04489809372809206);working_memory.recurrent_strength=Float(0.690564304122367);homeostasis.homeo_eta=Float(0.05131772565056507);learning.weight_decay=Float(3.3264423720333457e-5);working_memory.decay_rate=Float(0.016348227038195304);sleep.interval=Int(2924);curiosity.scale=Float(0.10706808523439525);homeostasis.homeo_interval=Int(3);energy.max_energy=Float(124.32840477543148);learning.trace_increment=Float(0.06416392246358188);curiosity.surprise_threshold=Float(0.005274579860536664);competition.strength=Float(0.14211344086614286);timing.refractory_period=Int(4);homeostasis.memory_alpha=Float(0.005501094575720917)"
5,0.328633,0,Completed,"homeostasis.meta_alpha=Float(0.0019411978934019334);learning.base_learning_rate=Float(0.0032301136948483704);learning.weight_decay=Float(0.00021142690233220222);timing.refractory_period=Int(8);memory.weight_clamp=Float(1.1103415871295943);network.initial_inh_weight=Float(0.3005519697909597);memory.consolidation_rate=Float(0.00016654309159791218);network.initial_exc_weight=Float(0.059350541524903516);homeostasis.meta_threshold=Float(0.15860055251014432);curiosity.surprise_threshold=Float(0.005567590522159858);learning.istdp_rate=Float(0.00016645944733999479);competition.strength=Float(0.2936678810496042);timing.stdp_tau_minus=Float(22.460010346830824);stp.use_fraction=Float(0.08138247569589468);homeostasis.target_firing_rate=Float(0.09834011266667864);predictive.inference_iterations=Int(4);timing.eligibility_trace_tau=Float(65.20243008774948);network.initial_threshold=Float(0.11191221690082742);learning.stdp_a_minus=Float(0.0016938245914510986);timing.stp_recovery_tau=Float(139.9262784723952);working_memory.decay_rate=Float(0.017048276453871934);predictive.state_learning_rate=Float(0.051753839338438995);sleep.interval=Int(3136);timing.stdp_tau_plus=Float(49.809281479057226);energy.cost_fire_ratio=Float(0.05027001437271712);working_memory.recurrent_strength=Float(0.5989054118047714);memory.dopamine_sensitivity=Float(2.0928495677869883);learning.stdp_a_plus=Float(0.0030342412608296864);curiosity.scale=Float(0.24236964836538996);learning.ltp_ltd_ratio=Float(1.981585684460957);competition.interval=Int(8);timing.stdp_window=Int(36);working_memory.capacity=Int(3);learning.trace_increment=Float(0.10956588448248009);homeostasis.homeo_interval=Int(8);energy.max_energy=Float(56.80879334844853);memory.tag_decay_rate=Float(0.002376358618472251);energy.recovery_rate=Float(7.949317428970085);homeostasis.homeo_eta=Float(0.06627434051592485);energy.plasticity_cost_factor=Float(0.04934358233570671);network.inhibitory_ratio=Float(0.1313651389515412);memory.capture_threshold=Float(0.06784817449931246);homeostasis.memory_alpha=Float(0.006474590561109309);curiosity.habituation_rate=Float(0.9315352892404272)"
6,0.315179,0,Completed,"memory.dopamine_sensitivity=Float(4.891437430142294);energy.max_energy=Float(72.65372112687996);network.initial_threshold=Float(0.16999511403730028);homeostasis.meta_alpha=Float(0.006186041261888738);homeostasis.memory_alpha=Float(0.022097837290043783);stp.use_fraction=Float(0.09751872365538002);network.inhibitory_ratio=Float(0.14824649625184166);predictive.inference_iterations=Int(2);memory.tag_decay_rate=Float(0.001547547603634891);learning.stdp_a_minus=Float(0.00121624096908951);timing.stdp_tau_minus=Float(19.98023523133719);homeostasis.homeo_eta=Float(0.034154416585644484);timing.eligibility_trace_tau=Float(54.16979713433171);memory.weight_clamp=Float(1.2286045449386827);learning.istdp_rate=Float(0.00014869413700551446);memory.capture_threshold=Float(0.0579062085151454);working_memory.capacity=Int(4);learning.weight_decay=Float(2.179807332736181e-5);energy.recovery_rate=Float(7.437338271745792);homeostasis.homeo_interval=Int(3);timing.stdp_window=Int(38);learning.stdp_a_plus=Float(0.0023449441156373108);competition.interval=Int(6);sleep.interval=Int(1396);curiosity.surprise_threshold=Float(0.004223177891446335);memory.consolidation_rate=Float(0.0002784534206338708);predictive.state_learning_rate=Float(0.01002333586129714);learning.base_learning_rate=Float(0.002265455061579487);working_memory.recurrent_strength=Float(0.5933546368250052);network.initial_exc_weight=Float(0.052181448336267255);curiosity.scale=Float(0.07067504629275646);working_memory.decay_rate=Float(0.008437803855601573);energy.plasticity_cost_factor=Float(0.04355738749810434);timing.refractory_period=Int(5);competition.strength=Float(0.2670226790399809);network.initial_inh_weight=Float(0.7297580479247863);homeostasis.meta_threshold=Float(0.1384309355375429);learning.ltp_ltd_ratio=Float(2.4245019486231034);timing.stdp_tau_plus=Float(22.768296246130085);energy.cost_fire_ratio=Float(0.06640365531118671);homeostasis.target_firing_rate=Float(0.09465104753725487);learning.trace_increment=Float(0.059346332519628654);timing.stp_recovery_tau=Float(166.4418416136042);curiosity.habituation_rate=Float(0.9187646730511367)"
7,0.642156,0,Completed,"learning.stdp_a_minus=Float(0.008071138430973004);learning.trace_increment=Float(0.10383712234996192);timing.stp_recovery_tau=Float(171.9904942838453);working_memory.decay_rate=Float(0.018744397713247582);learning.ltp_ltd_ratio=Float(1.7410517276127477);timing.stdp_tau_minus=Float(24.91748726342746);homeostasis.meta_threshold=Float(0.152403140534275);homeostasis.meta_alpha=Float(0.003720872703351579);learning.istdp_rate=Float(0.0004428612542742806);homeostasis.memory_alpha=Float(0.021682714020518103);predictive.state_learning_rate=Float(0.01107825186154559);energy.cost_fire_ratio=Float(0.010558694903868878);learning.weight_decay=Float(1.2654788775828896e-5);working_memory.recurrent_strength=Float(0.5694869811459181);memory.tag_decay_rate=Float(0.004059986952425395);memory.weight_clamp=Float(1.0567942075563581);network.inhibitory_ratio=Float(0.1705936869537909);network.initial_inh_weight=Float(0.19850035316741566);curiosity.habituation_rate=Float(0.926638177557997);predictive.inference_iterations=Int(3);working_memory.capacity=Int(5);energy.plasticity_cost_factor=Float(0.0858399444180168);network.initial_exc_weight=Float(0.05078553000250494);homeostasis.homeo_eta=Float(0.022032667468053668);sleep.interval=Int(1310);homeostasis.target_firing_rate=Float(0.06809023294087738);stp.use_fraction=Float(0.11804586966010878);competition.interval=Int(7);timing.stdp_tau_plus=Float(44.38600972629758);competition.strength=Float(0.2561787729515179);timing.stdp_window=Int(30);curiosity.scale=Float(0.23110766489317353);learning.stdp_a_plus=Float(0.0028357717446051696);energy.recovery_rate=Float(11.713204483202007);network.initial_threshold=Float(0.15963473349335483);memory.consolidation_rate=Float(0.0009086912881413988);timing.refractory_period=Int(3);timing.eligibility_trace_tau=Float(85.45232394228455);curiosity.surprise_threshold=Float(0.007541358977413842);memory.dopamine_sensitivity=Float(4.570106943969174);homeostasis.homeo_interval=Int(10);memory.capture_threshold=Float(0.07778442501504543);energy.max_energy=Float(90.62671573847223);learning.base_learning_rate=Float(0.0014350534493936214)"
8,0.275827,0,Completed,"learning.weight_decay=Float(0.0001416889971773123);learning.stdp_a_plus=Float(0.006700592163823878);working_memory.recurrent_strength=Float(0.6371975945628242);memory.dopamine_sensitivity=Float(4.738319609951768);working_memory.decay_rate=Float(0.011879742358256772);energy.cost_fire_ratio=Float(0.027425205241289267);network.inhibitory_ratio=Float(0.10551290414424448);learning.stdp_a_minus=Float(0.005272498542366272);homeostasis.target_firing_rate=Float(0.09993345244087593);network.initial_inh_weight=Float(0.3463694732744176);homeostasis.homeo_eta=Float(0.024086293941964945);memory.tag_decay_rate=Float(0.005459825009949471);homeostasis.memory_alpha=Float(0.0083280339603312);learning.istdp_rate=Float(0.00012536235874264617);timing.stdp_tau_plus=Float(45.634119176686305);predictive.state_learning_rate=Float(0.04375440822737433);learning.base_learning_rate=Float(0.00448671847829468);timing.stp_recovery_tau=Float(165.21457644766537);predictive.inference_iterations=Int(1);timing.eligibility_trace_tau=Float(68.89139781641515);homeostasis.homeo_interval=Int(1);competition.strength=Float(0.1609250366829627);energy.max_energy=Float(86.99488745466687);network.initial_threshold=Float(0.2034071642214915);curiosity.surprise_threshold=Float(0.005299452166071254);sleep.interval=Int(4018);curiosity.scale=Float(0.09903590231645756);network.initial_exc_weight=Float(0.06977232555620659);memory.consolidation_rate=Float(0.0004985148085385454);memory.capture_threshold=Float(0.16318857830790537);working_memory.capacity=Int(4);learning.trace_increment=Float(0.16792052766958265);stp.use_fraction=Float(0.07968666121123513);energy.plasticity_cost_factor=Float(0.07980039519253196);energy.recovery_rate=Float(4.920836693588839);competition.interval=Int(6);timing.stdp_window=Int(14);timing.refractory_period=Int(8);homeostasis.meta_threshold=Float(0.139246236623555);learning.ltp_ltd_ratio=Float(1.8875236932392054);curiosity.habituation_rate=Float(0.9022106905447345);homeostasis.meta_alpha=Float(0.0012725561152443796);timing.stdp_tau_minus=Float(13.658248339467274);memory.weight_clamp=Float(2.1762832201030764)"
9,0.336184,0,Completed,"timing.eligibility_trace_tau=Float(131.56679896318934);sleep.interval=Int(4266);energy.recovery_rate=Float(6.7927609043644654);learning.stdp_a_plus=Float(0.0026412005783853607);working_memory.capacity=Int(4);learning.stdp_a_minus=Float(0.0031678229301959192);curiosity.surprise_threshold=Float(0.007162720166898322);learning.base_learning_rate=Float(0.0019697882435824685);energy.plasticity_cost_factor=Float(0.08855263015454463);timing.stdp_tau_plus=Float(27.17259541088077);timing.stdp_tau_minus=Float(17.42908771788447);homeostasis.meta_alpha=Float(0.0030682537315879833);competition.strength=Float(0.2919133726022936);memory.dopamine_sensitivity=Float(1.6095213202316132);competition.interval=Int(9);homeostasis.target_firing_rate=Float(0.1016993571239755);energy.max_energy=Float(98.98077405499778);working_memory.recurrent_strength=Float(0.692649037459085);learning.istdp_rate=Float(0.00017591087082469278);memory.tag_decay_rate=Float(0.002451581953510779);network.inhibitory_ratio=Float(0.11555143096846329);memory.capture_threshold=Float(0.07802272036858432);memory.weight_clamp=Float(1.4033272574663458);homeostasis.homeo_interval=Int(5);homeostasis.memory_alpha=Float(0.013971608411024914);predictive.inference_iterations=Int(3);homeostasis.homeo_eta=Float(0.027489713679953783);timing.stdp_window=Int(23);curiosity.scale=Float(0.19122615613537516);stp.use_fraction=Float(0.10219820841499563);network.initial_threshold=Float(0.2310874612375832);timing.refractory_period=Int(6);network.initial_inh_weight=Float(0.3630788250973166);homeostasis.meta_threshold=Float(0.15802723446582145);timing.stp_recovery_tau=Float(78.60890754466152);learning.ltp_ltd_ratio=Float(1.1745589303724837);learning.weight_decay=Float(6.102391200402756e-5);energy.cost_fire_ratio=Float(0.055679448709282896);working_memory.decay_rate=Float(0.017501743807067212);memory.consolidation_rate=Float(0.0006758521130801908);predictive.state_learning_rate=Float(0.017961067305350326);learning.trace_increment=Float(0.1442407417679766);network.initial_exc_weight=Float(0.027588999594466063);curiosity.habituation_rate=Float(0.9369765809597393)"
