trial,score,duration_ms,status,config
0,0.295620,0,Completed,"timing.refractory_period=Int(9);network.initial_exc_weight=Float(0.045447101855056155);learning.base_learning_rate=Float(0.0018060737691205186);memory.dopamine_sensitivity=Float(1.2214727162433492);network.inhibitory_ratio=Float(0.1991299988234253);timing.stdp_tau_plus=Float(48.44335115711283);sleep.replay_noise=Float(0.10024610171333097);memory.tag_decay_rate=Float(0.006840569611534586);timing.stdp_window=Int(26);memory.consolidation_rate=Float(0.0008023963179775024);timing.stp_recovery_tau=Float(173.7493916120728);timing.eligibility_trace_tau=Float(51.7029572380644);curiosity.surprise_threshold=Float(0.0015422988526957728);learning.weight_decay=Float(2.1509309827186388e-5);energy.plasticity_cost_factor=Float(0.06153353930952343);energy.cost_fire_ratio=Float(0.041721904187398476);learning.stdp_a_minus=Float(0.0010791329956513257);predictive.inference_iterations=Int(1);working_memory.capacity=Int(6);stp.use_fraction=Float(0.07020535461376545);homeostasis.target_firing_rate=Float(0.07120391998002397);homeostasis.meta_threshold=Float(0.08546367301267191);network.initial_threshold=Float(0.15307705915837483);memory.weight_clamp=Float(2.3116980402990475);working_memory.recurrent_strength=Float(0.6858747797519609);curiosity.habituation_rate=Float(0.9254209724172068);working_memory.decay_rate=Float(0.011576188665574146);energy.max_energy=Float(55.1759997627642);curiosity.scale=Float(0.20576973304286827);homeostasis.homeo_interval=Int(9);learning.istdp_rate=Float(0.00016353282379106637);energy.recovery_rate=Float(10.526421223191177);network.initial_inh_weight=Float(0.7199367948388533);learning.ltp_ltd_ratio=Float(1.0833766907647664);timing.stdp_tau_minus=Float(7.465518629752453);sleep.interval=Int(1279);predictive.state_learning_rate=Float(0.017744145540336473);homeostasis.meta_alpha=Float(0.002586133874669317);homeostasis.homeo_eta=Float(0.051840656880594686);learning.trace_increment=Float(0.10974408735282348);memory.capture_threshold=Float(0.0730462508096933);homeostasis.memory_alpha=Float(0.008230391124413577);competition.strength=Float(0.17621229031966357);competition.interval=Int(7);learning.stdp_a_plus=Float(0.0021165623262974563)"
1,0.426770,0,Completed,"learning.trace_increment=Float(0.15067655846957967);learning.weight_decay=Float(7.265973256110201e-5);homeostasis.memory_alpha=Float(0.0063419527748571885);memory.weight_clamp=Float(2.4145781587377604);curiosity.surprise_threshold=Float(0.0022360899196592872);memory.tag_decay_rate=Float(0.0025640903516355182);stp.use_fraction=Float(0.07589950035929202);network.initial_exc_weight=Float(0.03408317716188803);predictive.state_learning_rate=Float(0.017486582750534812);homeostasis.homeo_eta=Float(0.01236125005675603);competition.strength=Float(0.27176116904517666);sleep.interval=Int(4474);network.initial_inh_weight=Float(0.10791876963524119);energy.recovery_rate=Float(10.100085659208727);working_memory.capacity=Int(3);working_memory.recurrent_strength=Float(0.5730986400211925);timing.stdp_tau_plus=Float(15.622791956556679);homeostasis.meta_alpha=Float(0.0011944740127553279);timing.stdp_window=Int(34);memory.dopamine_sensitivity=Float(4.687380297036698);memory.consolidation_rate=Float(0.00041410378683478377);timing.stdp_tau_minus=Float(12.282359499317213);homeostasis.target_firing_rate=Float(0.13042115592407555);energy.cost_fire_ratio=Float(0.03806782114507346);curiosity.habituation_rate=Float(0.9480865049350743);working_memory.decay_rate=Float(0.01983199988637825);predictive.inference_iterations=Int(3);homeostasis.meta_threshold=Float(0.08432203702030751);curiosity.scale=Float(0.17888732369264757);network.initial_threshold=Float(0.27047888938581544);timing.stp_recovery_tau=Float(51.591817418018316);energy.plasticity_cost_factor=Float(0.019325290827389176);energy.max_energy=Float(101.24779132922362);memory.capture_threshold=Float(0.12554925042799425);sleep.replay_noise=Float(0.07586234955952091);network.inhibitory_ratio=Float(0.11882183033014225);timing.refractory_period=Int(6);learning.stdp_a_minus=Float(0.007959288222250244);competition.interval=Int(9);learning.ltp_ltd_ratio=Float(2.468830415389694);homeostasis.homeo_interval=Int(6);learning.base_learning_rate=Float(0.007258939922763047);learning.istdp_rate=Float(0.00026554029923518034);learning.stdp_a_plus=Float(0.00533434944170595);timing.eligibility_trace_tau=Float(111.64638462799682)"
2,0.600082,0,Completed,"competition.strength=Float(0.2934724905047269);network.initial_exc_weight=Float(0.03087634319227104);timing.eligibility_trace_tau=Float(51.7322312583608);working_memory.decay_rate=Float(0.005200034578765289);learning.istdp_rate=Float(0.00013904488461498587);predictive.inference_iterations=Int(1);working_memory.recurrent_strength=Float(0.5329930421507435);memory.consolidation_rate=Float(0.00035399855057697893);timing.refractory_period=Int(10);curiosity.surprise_threshold=Float(0.005804339063523405);network.inhibitory_ratio=Float(0.1260770803378143);energy.max_energy=Float(106.4428721453163);memory.tag_decay_rate=Float(0.004327066294127025);memory.dopamine_sensitivity=Float(4.856919527020519);timing.stdp_tau_minus=Float(26.745650910713163);network.initial_inh_weight=Float(0.2635724920694652);timing.stp_recovery_tau=Float(127.51992521284147);homeostasis.memory_alpha=Float(0.013985381430864098);memory.weight_clamp=Float(2.581632118109062);timing.stdp_tau_plus=Float(33.79935957579859);predictive.state_learning_rate=Float(0.019154714489417402);energy.cost_fire_ratio=Float(0.017003275739728305);learning.trace_increment=Float(0.14716752907195305);homeostasis.meta_threshold=Float(0.1070249947619217);memory.capture_threshold=Float(0.15080062908837588);learning.ltp_ltd_ratio=Float(2.115316291133714);energy.plasticity_cost_factor=Float(0.07642743160166485);curiosity.habituation_rate=Float(0.9311829307822471);learning.stdp_a_plus=Float(0.006856732176963081);network.initial_threshold=Float(0.2926957717614006);homeostasis.target_firing_rate=Float(0.12601632679254196);learning.weight_decay=Float(2.8729659255889536e-5);learning.stdp_a_minus=Float(0.0013796874230182898);stp.use_fraction=Float(0.13822930699405944);working_memory.capacity=Int(4);homeostasis.meta_alpha=Float(0.005934571812753783);homeostasis.homeo_eta=Float(0.010910662510729264);sleep.interval=Int(5198);timing.stdp_window=Int(33);sleep.replay_noise=Float(0.03957197886183206);energy.recovery_rate=Float(9.314322413949837);learning.base_learning_rate=Float(0.001740525364380022);curiosity.scale=Float(0.08468579975997233);homeostasis.homeo_interval=Int(8);competition.interval=Int(8)"
3,0.311079,0,Completed,"curiosity.habituation_rate=Float(0.9001775556968473);sleep.replay_noise=Float(0.0804112298927296);energy.plasticity_cost_factor=Float(0.04503748425865488);predictive.state_learning_rate=Float(0.01628279200341259);working_memory.recurrent_strength=Float(0.6376574447349779);timing.eligibility_trace_tau=Float(111.6215379881506);timing.stdp_tau_plus=Float(11.977491202293312);homeostasis.meta_threshold=Float(0.11259077206779988);energy.max_energy=Float(122.34414443893921);learning.ltp_ltd_ratio=Float(2.01708451263073);timing.refractory_period=Int(6);competition.strength=Float(0.1404724814091978);energy.cost_fire_ratio=Float(0.07844254428717366);memory.dopamine_sensitivity=Float(1.6203371562576705);timing.stdp_window=Int(32);homeostasis.homeo_eta=Float(0.018666323167659725);curiosity.surprise_threshold=Float(0.0017686102780892512);network.inhibitory_ratio=Float(0.12328913563939026);network.initial_inh_weight=Float(0.43909449822713953);homeostasis.memory_alpha=Float(0.013705332053787515);competition.interval=Int(8);network.initial_exc_weight=Float(0.027457378601529026);curiosity.scale=Float(0.10025999267358798);working_memory.capacity=Int(7);stp.use_fraction=Float(0.06129304641189358);predictive.inference_iterations=Int(1);learning.base_learning_rate=Float(0.003862108354047829);timing.stdp_tau_minus=Float(6.854931380798791);working_memory.decay_rate=Float(0.012149480307466612);memory.tag_decay_rate=Float(0.0032817674482635774);homeostasis.target_firing_rate=Float(0.10720325331138522);learning.stdp_a_minus=Float(0.0020760235730543585);memory.consolidation_rate=Float(0.00019845436191322515);learning.weight_decay=Float(0.00020898469527026546);learning.istdp_rate=Float(0.00044287636415698303);timing.stp_recovery_tau=Float(107.49782362428908);memory.weight_clamp=Float(2.0668379247809847);network.initial_threshold=Float(0.20741488209632575);learning.stdp_a_plus=Float(0.004136612242090471);homeostasis.homeo_interval=Int(6);homeostasis.meta_alpha=Float(0.0010141007219901669);sleep.interval=Int(1062);learning.trace_increment=Float(0.16866838901039874);memory.capture_threshold=Float(0.13385583975674953);energy.recovery_rate=Float(8.032504152281327)"
4,0.483733,0,Completed,"learning.ltp_ltd_ratio=Float(2.2236197358517953);network.initial_inh_weight=Float(0.15910897195784118);learning.istdp_rate=Float(0.0003204046610818615);timing.stdp_window=Int(28);homeostasis.target_firing_rate=Float(0.060131418171835);energy.cost_fire_ratio=Float(0.0782316646744105);curiosity.scale=Float(0.07915725571083772);predictive.inference_iterations=Int(2);timing.stp_recovery_tau=Float(65.2665697422965);memory.weight_clamp=Float(1.2574126152921032);homeostasis.meta_threshold=Float(0.1011214633125629);learning.weight_decay=Float(6.786564327738828e-5);timing.refractory_period=Int(2);working_memory.decay_rate=Float(0.010171233276346323);timing.stdp_tau_plus=Float(15.068109246219533);learning.stdp_a_minus=Float(0.0037645584648691526);sleep.replay_noise=Float(0.1006663349249089);working_memory.capacity=Int(3);learning.trace_increment=Float(0.10625927688234003);energy.recovery_rate=Float(8.614009212612643);competition.strength=Float(0.19112299543133077);homeostasis.homeo_eta=Float(0.04635694542318245);homeostasis.homeo_interval=Int(2);energy.max_energy=Float(53.52564161958304);timing.eligibility_trace_tau=Float(153.4061929086832);predictive.state_learning_rate=Float(0.015908710957998045);network.initial_threshold=Float(0.19031741621212975);curiosity.habituation_rate=Float(0.9326397614045161);homeostasis.memory_alpha=Float(0.022349230974100156);stp.use_fraction=Float(0.1296686262077812);network.initial_exc_weight=Float(0.055000362863065755);learning.base_learning_rate=Float(0.0076612447814530605);memory.capture_threshold=Float(0.07143575164290046);curiosity.surprise_threshold=Float(0.008694339180929819);energy.plasticity_cost_factor=Float(0.010189551061529096);competition.interval=Int(12);memory.consolidation_rate=Float(0.0005275948315543239);working_memory.recurrent_strength=Float(0.5998134228516867);network.inhibitory_ratio=Float(0.12647803461329968);learning.stdp_a_plus=Float(0.00674123037907032);memory.dopamine_sensitivity=Float(5.450484622607586);memory.tag_decay_rate=Float(0.004686328950122568);homeostasis.meta_alpha=Float(0.004734676023118811);sleep.interval=Int(4840);timing.stdp_tau_minus=Float(26.851351267390733)"
5,0.627757,0,Completed,"timing.stp_recovery_tau=Float(123.70649687333649);homeostasis.homeo_interval=Int(2);memory.tag_decay_rate=Float(0.001746574465176396);energy.cost_fire_ratio=Float(0.025762379168477463);sleep.replay_noise=Float(0.0216496002468396);competition.strength=Float(0.11629018839827976);memory.consolidation_rate=Float(0.0008253747926580417);memory.dopamine_sensitivity=Float(4.003720900743203);homeostasis.memory_alpha=Float(0.021223416092845913);timing.refractory_period=Int(4);learning.stdp_a_minus=Float(0.003561799822079721);learning.trace_increment=Float(0.145609445554579);homeostasis.meta_threshold=Float(0.12135920821953547);energy.max_energy=Float(58.072516126109406);energy.plasticity_cost_factor=Float(0.02836114818192114);homeostasis.homeo_eta=Float(0.026106774269326987);timing.stdp_tau_plus=Float(36.22982831351223);competition.interval=Int(10);homeostasis.meta_alpha=Float(0.0018857705632922426);energy.recovery_rate=Float(5.9715510320317815);timing.eligibility_trace_tau=Float(142.48231152209598);sleep.interval=Int(3100);curiosity.scale=Float(0.0895582989765234);predictive.inference_iterations=Int(3);learning.weight_decay=Float(0.00010115137046887427);stp.use_fraction=Float(0.11256360917178998);memory.capture_threshold=Float(0.12715652262027294);network.inhibitory_ratio=Float(0.140657547521558);network.initial_threshold=Float(0.23399538996955274);working_memory.recurrent_strength=Float(0.6690649988756201);predictive.state_learning_rate=Float(0.06888724357314573);learning.base_learning_rate=Float(0.0020153569359902903);learning.istdp_rate=Float(0.000614384541426298);timing.stdp_tau_minus=Float(13.382117142524132);network.initial_exc_weight=Float(0.030337802968066603);working_memory.decay_rate=Float(0.00996872252532117);memory.weight_clamp=Float(2.753619702941184);learning.stdp_a_plus=Float(0.0030182075544433707);network.initial_inh_weight=Float(0.4105312871072747);curiosity.surprise_threshold=Float(0.0012365203955796396);timing.stdp_window=Int(20);curiosity.habituation_rate=Float(0.9053336231094631);homeostasis.target_firing_rate=Float(0.05275411848974278);working_memory.capacity=Int(4);learning.ltp_ltd_ratio=Float(2.0398468768782556)"
6,0.327839,0,Completed,"memory.consolidation_rate=Float(0.00010021270169682671);learning.ltp_ltd_ratio=Float(1.4025633452466137);timing.stdp_tau_plus=Float(44.527456500690306);network.initial_inh_weight=Float(0.47609269860575265);learning.weight_decay=Float(1.1189545543696934e-5);learning.stdp_a_minus=Float(0.008605201150746146);competition.strength=Float(0.13261744976803136);timing.stdp_window=Int(30);energy.max_energy=Float(72.10388340104927);network.initial_exc_weight=Float(0.03293016693390211);sleep.interval=Int(4524);energy.recovery_rate=Float(8.796301402104156);learning.trace_increment=Float(0.14626733205427123);memory.weight_clamp=Float(2.327400286059687);timing.eligibility_trace_tau=Float(81.34607248686251);homeostasis.homeo_eta=Float(0.015607190043410733);curiosity.scale=Float(0.07102124573686655);memory.capture_threshold=Float(0.10256677676284844);learning.istdp_rate=Float(0.000952812090159876);working_memory.decay_rate=Float(0.019196037528851677);timing.refractory_period=Int(10);sleep.replay_noise=Float(0.08684619402672308);memory.dopamine_sensitivity=Float(3.4700700869946903);network.initial_threshold=Float(0.26932175377600864);predictive.inference_iterations=Int(4);curiosity.habituation_rate=Float(0.9077206588449703);predictive.state_learning_rate=Float(0.060746952348051574);working_memory.recurrent_strength=Float(0.7041978486008471);learning.stdp_a_plus=Float(0.00838872306533673);timing.stdp_tau_minus=Float(25.146858494297334);homeostasis.memory_alpha=Float(0.0066423883822323395);homeostasis.target_firing_rate=Float(0.07864660800170307);learning.base_learning_rate=Float(0.008717511638539082);homeostasis.meta_threshold=Float(0.07575842728273907);network.inhibitory_ratio=Float(0.1466289961120647);timing.stp_recovery_tau=Float(146.74813792732266);homeostasis.meta_alpha=Float(0.004077450793934906);homeostasis.homeo_interval=Int(6);curiosity.surprise_threshold=Float(0.0010023682412933722);working_memory.capacity=Int(4);memory.tag_decay_rate=Float(0.0028042005517609687);stp.use_fraction=Float(0.16813864708369103);energy.plasticity_cost_factor=Float(0.035902516796696586);energy.cost_fire_ratio=Float(0.0734709880415981);competition.interval=Int(6)"
7,0.487637,0,Completed,"energy.recovery_rate=Float(8.34307047895693);network.initial_exc_weight=Float(0.06784220282636634);sleep.replay_noise=Float(0.03557270374744495);stp.use_fraction=Float(0.06809697796546318);learning.base_learning_rate=Float(0.009067453518144183);energy.max_energy=Float(53.827556828928074);learning.ltp_ltd_ratio=Float(2.1109291387514513);homeostasis.memory_alpha=Float(0.008611504466118356);network.inhibitory_ratio=Float(0.13020154450326263);network.initial_inh_weight=Float(0.41906892534323703);learning.stdp_a_minus=Float(0.006933820552436222);competition.interval=Int(7);homeostasis.homeo_interval=Int(6);curiosity.habituation_rate=Float(0.9193335690929866);curiosity.surprise_threshold=Float(0.00244952308851112);curiosity.scale=Float(0.08002385828411761);energy.plasticity_cost_factor=Float(0.09883986950824965);timing.stdp_tau_plus=Float(28.681451053982936);homeostasis.target_firing_rate=Float(0.12213935523576554);working_memory.recurrent_strength=Float(0.678203947895254);predictive.state_learning_rate=Float(0.04705722435685151);memory.consolidation_rate=Float(0.0004071580440572677);learning.istdp_rate=Float(0.0008305942339935403);network.initial_threshold=Float(0.13070980190083148);memory.tag_decay_rate=Float(0.004080665178452102);homeostasis.meta_alpha=Float(0.0026105095925614023);competition.strength=Float(0.10051084961754057);working_memory.capacity=Int(7);memory.weight_clamp=Float(2.4667666958334777);learning.trace_increment=Float(0.08995555413187378);learning.stdp_a_plus=Float(0.0013941394957233074);memory.dopamine_sensitivity=Float(3.5374301768693677);homeostasis.meta_threshold=Float(0.09688298773180763);memory.capture_threshold=Float(0.1315371778052154);learning.weight_decay=Float(1.2349366699520695e-5);homeostasis.homeo_eta=Float(0.05133514768729564);sleep.interval=Int(4973);working_memory.decay_rate=Float(0.009808436526003295);energy.cost_fire_ratio=Float(0.06588829052538804);timing.eligibility_trace_tau=Float(59.461689818180226);timing.stdp_window=Int(33);predictive.inference_iterations=Int(3);timing.stdp_tau_minus=Float(24.802377853729382);timing.refractory_period=Int(6);timing.stp_recovery_tau=Float(103.45756945979258)"
8,0.647730,0,Completed,"curiosity.habituation_rate=Float(0.9120640870405045);homeostasis.homeo_eta=Float(0.028026501341386695);competition.strength=Float(0.20961516660396362);sleep.interval=Int(1130);homeostasis.memory_alpha=Float(0.006220222517594738);energy.plasticity_cost_factor=Float(0.051133846128623435);memory.tag_decay_rate=Float(0.0023713585592633666);timing.stdp_tau_plus=Float(42.49446171859616);timing.stdp_tau_minus=Float(5.471158794935596);network.initial_inh_weight=Float(0.1565042601098549);sleep.replay_noise=Float(0.10222111561387337);energy.cost_fire_ratio=Float(0.03961665799133867);competition.interval=Int(8);homeostasis.homeo_interval=Int(5);curiosity.surprise_threshold=Float(0.0016245594555833395);timing.stdp_window=Int(16);timing.eligibility_trace_tau=Float(100.26416049232935);working_memory.capacity=Int(3);homeostasis.meta_threshold=Float(0.1488556808672975);homeostasis.meta_alpha=Float(0.0022415635083115294);network.inhibitory_ratio=Float(0.2455620704324828);energy.max_energy=Float(115.28472341952956);curiosity.scale=Float(0.04686813891559563);learning.weight_decay=Float(1.966644745162249e-5);network.initial_threshold=Float(0.22116994208683494);stp.use_fraction=Float(0.07585371130282378);homeostasis.target_firing_rate=Float(0.06297165680513056);memory.dopamine_sensitivity=Float(1.4252460821124833);energy.recovery_rate=Float(9.900559181557167);working_memory.decay_rate=Float(0.012687236588796719);memory.consolidation_rate=Float(0.00031393557165403584);learning.ltp_ltd_ratio=Float(2.1277618198953014);network.initial_exc_weight=Float(0.0847612190397366);timing.stp_recovery_tau=Float(71.85020968826726);timing.refractory_period=Int(7);working_memory.recurrent_strength=Float(0.6235612154294646);learning.trace_increment=Float(0.09849550984764832);predictive.state_learning_rate=Float(0.012598564315423525);memory.weight_clamp=Float(1.9754645668378714);learning.stdp_a_minus=Float(0.009141025489993253);learning.istdp_rate=Float(0.000204188949183185);memory.capture_threshold=Float(0.1443344510380026);learning.base_learning_rate=Float(0.0023016648768202056);learning.stdp_a_plus=Float(0.006525160169561982);predictive.inference_iterations=Int(2)"
9,0.337910,0,Completed,"energy.max_energy=Float(86.80149274570903);stp.use_fraction=Float(0.08522493522270233);learning.stdp_a_minus=Float(0.006160009426827232);learning.trace_increment=Float(0.13392357636101626);network.initial_inh_weight=Float(0.46805565235392554);working_memory.decay_rate=Float(0.010648685594977095);energy.recovery_rate=Float(9.984941851577009);predictive.state_learning_rate=Float(0.06065559048568798);sleep.replay_noise=Float(0.016727489565202848);memory.dopamine_sensitivity=Float(5.303348428174702);memory.consolidation_rate=Float(0.0009718503521704188);learning.weight_decay=Float(0.00023958678583678542);competition.interval=Int(7);sleep.interval=Int(4880);homeostasis.memory_alpha=Float(0.009582714582709186);homeostasis.target_firing_rate=Float(0.13602913375152953);energy.cost_fire_ratio=Float(0.03918545311065052);homeostasis.homeo_interval=Int(4);working_memory.recurrent_strength=Float(0.5078590928595185);homeostasis.homeo_eta=Float(0.06290568292961722);learning.ltp_ltd_ratio=Float(1.457310113929517);network.initial_threshold=Float(0.23760026296079165);timing.eligibility_trace_tau=Float(124.81669172211527);timing.stdp_tau_plus=Float(34.35112326740081);curiosity.scale=Float(0.02593019927757098);working_memory.capacity=Int(3);timing.refractory_period=Int(7);homeostasis.meta_alpha=Float(0.004730597125939287);curiosity.habituation_rate=Float(0.9268069479579122);learning.istdp_rate=Float(0.0004901419781233834);memory.weight_clamp=Float(1.25939215260078);energy.plasticity_cost_factor=Float(0.0347756662580128);timing.stp_recovery_tau=Float(107.57340580634153);timing.stdp_window=Int(41);network.initial_exc_weight=Float(0.05008459441831442);memory.tag_decay_rate=Float(0.003725686626672072);network.inhibitory_ratio=Float(0.11514451862665465);timing.stdp_tau_minus=Float(20.789854123906665);learning.base_learning_rate=Float(0.0012223284409955185);learning.stdp_a_plus=Float(0.004358317059399471);homeostasis.meta_threshold=Float(0.059251137033396205);curiosity.surprise_threshold=Float(0.001268490389975702);memory.capture_threshold=Float(0.11123787235963109);competition.strength=Float(0.21196977237983836);predictive.inference_iterations=Int(1)"
