trial,score,duration_ms,status,config
0,0.336646,0,Completed,"learning.stdp_a_plus=Float(0.00818100617036777);sleep.replay_noise=Float(0.020667603803022672);energy.recovery_rate=Float(11.383513643029964);homeostasis.target_firing_rate=Float(0.04173235839040306);curiosity.habituation_rate=Float(0.933691088465669);homeostasis.memory_alpha=Float(0.011451524667812277);curiosity.scale=Float(0.15306149940543376);timing.stdp_tau_plus=Float(48.345545746466506);predictive.state_learning_rate=Float(0.01573466583651971);competition.strength=Float(0.23400991236185886);memory.consolidation_rate=Float(0.0008719880448699695);timing.stdp_window=Int(11);memory.capture_threshold=Float(0.13942927311626946);timing.refractory_period=Int(2);competition.interval=Int(12);working_memory.decay_rate=Float(0.017721174275482875);timing.stdp_tau_minus=Float(22.84743177072318);learning.stdp_a_minus=Float(0.0014176066860926483);energy.cost_fire_ratio=Float(0.01621929672691489);sleep.interval=Int(1910);learning.ltp_ltd_ratio=Float(1.643647795460105);learning.trace_increment=Float(0.07910803299842124);homeostasis.homeo_eta=Float(0.03037649844993118);homeostasis.meta_alpha=Float(0.0012718778253167982);homeostasis.homeo_interval=Int(8);memory.weight_clamp=Float(1.6945404318847088);energy.plasticity_cost_factor=Float(0.052281949667325696);stp.use_fraction=Float(0.17092473191929158);learning.weight_decay=Float(1.6627705161340502e-5);memory.tag_decay_rate=Float(0.006508627395954877);working_memory.capacity=Int(3);homeostasis.meta_threshold=Float(0.1310897491944697);working_memory.recurrent_strength=Float(0.6114173570558004);timing.stp_recovery_tau=Float(164.94461216846122);memory.dopamine_sensitivity=Float(4.597742141596447);curiosity.surprise_threshold=Float(0.0010455578504842944);learning.istdp_rate=Float(0.0009488670111368732);timing.eligibility_trace_tau=Float(134.12965551728146);energy.max_energy=Float(86.19248720030126);network.initial_threshold=Float(0.26701539693563603);network.inhibitory_ratio=Float(0.1387985363227312);predictive.inference_iterations=Int(4);network.initial_exc_weight=Float(0.08004815195222575);network.initial_inh_weight=Float(0.28726574508176783);learning.base_learning_rate=Float(0.0011323345465048531)"
1,0.459751,0,Completed,"learning.stdp_a_plus=Float(0.006084443170649248);working_memory.decay_rate=Float(0.013252809570402388);predictive.inference_iterations=Int(3);sleep.interval=Int(3497);memory.dopamine_sensitivity=Float(1.3064479456065334);memory.capture_threshold=Float(0.15507979432704855);homeostasis.homeo_eta=Float(0.027226111446509587);curiosity.habituation_rate=Float(0.9425565746483757);homeostasis.target_firing_rate=Float(0.13517922415052988);learning.stdp_a_minus=Float(0.00164247487468917);timing.eligibility_trace_tau=Float(52.42116928422254);network.initial_threshold=Float(0.14953220739251288);homeostasis.memory_alpha=Float(0.005091305451656388);energy.cost_fire_ratio=Float(0.046045881704437984);timing.stdp_tau_plus=Float(14.105364287762288);energy.plasticity_cost_factor=Float(0.04711658745471309);stp.use_fraction=Float(0.10232865574125402);curiosity.scale=Float(0.20150853065110477);memory.consolidation_rate=Float(0.0007398741962859385);working_memory.recurrent_strength=Float(0.6865952402671323);memory.tag_decay_rate=Float(0.0035420980304258828);learning.ltp_ltd_ratio=Float(2.4522306910837606);homeostasis.meta_threshold=Float(0.09981747899433074);learning.weight_decay=Float(5.1698868468788595e-5);predictive.state_learning_rate=Float(0.012264175990893661);competition.interval=Int(7);timing.refractory_period=Int(4);memory.weight_clamp=Float(2.435397273263754);energy.max_energy=Float(101.65120027997791);learning.istdp_rate=Float(0.00019953965216032996);working_memory.capacity=Int(7);homeostasis.homeo_interval=Int(8);network.inhibitory_ratio=Float(0.227098019473976);network.initial_inh_weight=Float(0.1977175744477933);timing.stp_recovery_tau=Float(144.89402031639918);timing.stdp_window=Int(46);network.initial_exc_weight=Float(0.06810682863418638);timing.stdp_tau_minus=Float(14.688676579317235);homeostasis.meta_alpha=Float(0.0016940240276120194);energy.recovery_rate=Float(7.084890821502752);sleep.replay_noise=Float(0.06092742478496568);competition.strength=Float(0.11365877334346501);learning.trace_increment=Float(0.050422075274498684);learning.base_learning_rate=Float(0.0020847564553759896);curiosity.surprise_threshold=Float(0.001222416481824854)"
2,0.654243,0,Completed,"predictive.inference_iterations=Int(3);network.inhibitory_ratio=Float(0.12093622498701706);sleep.replay_noise=Float(0.09864454350868344);homeostasis.meta_threshold=Float(0.09032128409955681);network.initial_threshold=Float(0.18065308166683025);curiosity.surprise_threshold=Float(0.0020119523342152054);homeostasis.meta_alpha=Float(0.005485767150405801);network.initial_inh_weight=Float(0.7187714663843557);working_memory.recurrent_strength=Float(0.6740600788206933);timing.stdp_tau_minus=Float(6.547867849363914);memory.consolidation_rate=Float(0.0003124622604631058);working_memory.capacity=Int(6);memory.tag_decay_rate=Float(0.002693178448533621);memory.capture_threshold=Float(0.13791677364798188);homeostasis.homeo_interval=Int(6);timing.stdp_tau_plus=Float(13.698322662082111);working_memory.decay_rate=Float(0.007065130056496269);learning.stdp_a_minus=Float(0.0025369281468258305);predictive.state_learning_rate=Float(0.01914819848125179);memory.dopamine_sensitivity=Float(4.6434658676487075);learning.stdp_a_plus=Float(0.007997844841677013);energy.max_energy=Float(83.1741861494198);network.initial_exc_weight=Float(0.05641337806741087);learning.base_learning_rate=Float(0.0011150087601111067);energy.plasticity_cost_factor=Float(0.04575611914409235);learning.istdp_rate=Float(0.00011831942618307417);curiosity.scale=Float(0.18492353054576635);timing.refractory_period=Int(6);learning.ltp_ltd_ratio=Float(1.9093067648143756);homeostasis.memory_alpha=Float(0.020981020124585383);energy.cost_fire_ratio=Float(0.07521176155777921);timing.stp_recovery_tau=Float(143.6535862492522);stp.use_fraction=Float(0.15179161777528738);energy.recovery_rate=Float(9.705506902352326);timing.eligibility_trace_tau=Float(53.68037136124758);competition.strength=Float(0.20518407051106546);timing.stdp_window=Int(26);learning.trace_increment=Float(0.1655775491184503);homeostasis.homeo_eta=Float(0.050523437659746845);memory.weight_clamp=Float(2.101100418973039);competition.interval=Int(12);learning.weight_decay=Float(0.00012915784439805714);sleep.interval=Int(3742);curiosity.habituation_rate=Float(0.9462850251205464);homeostasis.target_firing_rate=Float(0.0756908667473334)"
3,0.298148,0,Completed,"timing.refractory_period=Int(10);predictive.inference_iterations=Int(3);memory.tag_decay_rate=Float(0.004913908823599406);timing.stp_recovery_tau=Float(138.5133715552542);energy.plasticity_cost_factor=Float(0.04964979552422878);network.initial_threshold=Float(0.29910519341917363);timing.stdp_tau_plus=Float(36.517303682984156);learning.stdp_a_plus=Float(0.0031942801859750963);sleep.replay_noise=Float(0.03613675752564724);memory.capture_threshold=Float(0.1009817132961428);homeostasis.homeo_interval=Int(5);learning.weight_decay=Float(0.00013458518305812107);sleep.interval=Int(739);learning.trace_increment=Float(0.15723903853381963);competition.interval=Int(12);timing.stdp_tau_minus=Float(22.030630236731525);learning.base_learning_rate=Float(0.0014641738096358339);energy.cost_fire_ratio=Float(0.032395430938898455);homeostasis.meta_threshold=Float(0.1210113616243497);competition.strength=Float(0.19030214792357342);homeostasis.memory_alpha=Float(0.007753804631242567);working_memory.decay_rate=Float(0.017160745729627346);network.initial_exc_weight=Float(0.03380932331173898);timing.eligibility_trace_tau=Float(157.99852285883026);timing.stdp_window=Int(32);predictive.state_learning_rate=Float(0.012125569837283776);energy.max_energy=Float(61.93421552002761);memory.consolidation_rate=Float(0.0003694049274030843);working_memory.capacity=Int(7);homeostasis.homeo_eta=Float(0.04214973158592006);curiosity.surprise_threshold=Float(0.0012227994328617747);homeostasis.meta_alpha=Float(0.0019142878012452728);memory.weight_clamp=Float(1.4888124392574682);network.inhibitory_ratio=Float(0.11311121853373741);learning.ltp_ltd_ratio=Float(1.73368761589138);learning.istdp_rate=Float(0.0001828832073579534);network.initial_inh_weight=Float(0.7417513609961027);homeostasis.target_firing_rate=Float(0.11043886297392631);energy.recovery_rate=Float(1.1731044557348602);learning.stdp_a_minus=Float(0.0012354241305881557);curiosity.scale=Float(0.16217769755566905);curiosity.habituation_rate=Float(0.9110071981654053);memory.dopamine_sensitivity=Float(1.7238098251921614);stp.use_fraction=Float(0.10964280014383672);working_memory.recurrent_strength=Float(0.6780101924501383)"
4,0.534440,0,Completed,"competition.strength=Float(0.16389575834942416);learning.stdp_a_plus=Float(0.0014974974855148304);homeostasis.target_firing_rate=Float(0.06670739338190931);curiosity.scale=Float(0.018586481869822945);energy.recovery_rate=Float(2.3531978617778977);learning.weight_decay=Float(0.0001362046938724714);timing.stdp_window=Int(46);curiosity.habituation_rate=Float(0.9180692857860283);memory.weight_clamp=Float(2.4654894036859014);predictive.state_learning_rate=Float(0.011460237446117807);learning.trace_increment=Float(0.14588224419762433);energy.cost_fire_ratio=Float(0.014489974711204407);timing.stdp_tau_minus=Float(5.614711658706589);learning.stdp_a_minus=Float(0.0029968185818539596);working_memory.recurrent_strength=Float(0.6247651078679517);sleep.replay_noise=Float(0.05987936300222747);homeostasis.meta_threshold=Float(0.15335021189026307);timing.stp_recovery_tau=Float(92.85134207290861);learning.ltp_ltd_ratio=Float(1.6202321240259874);memory.consolidation_rate=Float(0.00012381554230881335);curiosity.surprise_threshold=Float(0.0029970729770445468);timing.refractory_period=Int(9);sleep.interval=Int(4109);homeostasis.memory_alpha=Float(0.01986384187995201);energy.max_energy=Float(67.90842818280413);homeostasis.homeo_interval=Int(1);learning.base_learning_rate=Float(0.0014876402804118326);working_memory.capacity=Int(6);memory.capture_threshold=Float(0.06742314221743102);network.initial_threshold=Float(0.24107072226262438);homeostasis.meta_alpha=Float(0.0013888402000650302);network.initial_inh_weight=Float(0.4853157693485999);homeostasis.homeo_eta=Float(0.03633342027661944);energy.plasticity_cost_factor=Float(0.07696073651010187);timing.stdp_tau_plus=Float(43.29555419350405);competition.interval=Int(7);memory.dopamine_sensitivity=Float(4.238642671899554);predictive.inference_iterations=Int(1);network.inhibitory_ratio=Float(0.10015166753440902);network.initial_exc_weight=Float(0.03995883096474196);working_memory.decay_rate=Float(0.015190898795586577);timing.eligibility_trace_tau=Float(111.40026012594602);learning.istdp_rate=Float(0.00029881505984015564);stp.use_fraction=Float(0.09962935823705732);memory.tag_decay_rate=Float(0.006592933581967359)"
5,0.662138,0,Completed,"homeostasis.target_firing_rate=Float(0.08794292287853149);energy.recovery_rate=Float(4.228175124905113);curiosity.surprise_threshold=Float(0.003558767680303725);memory.weight_clamp=Float(2.8578905579303138);network.inhibitory_ratio=Float(0.11727279553126377);homeostasis.meta_alpha=Float(0.0024268340491688514);sleep.interval=Int(1466);learning.istdp_rate=Float(0.00011101714407242245);learning.weight_decay=Float(0.00029752672559475073);sleep.replay_noise=Float(0.04628774726211274);homeostasis.homeo_interval=Int(10);learning.ltp_ltd_ratio=Float(1.8944391153972688);timing.stdp_window=Int(18);timing.stp_recovery_tau=Float(116.89425117031071);working_memory.capacity=Int(6);energy.plasticity_cost_factor=Float(0.06670185028265739);timing.refractory_period=Int(7);working_memory.decay_rate=Float(0.022245506407922784);learning.trace_increment=Float(0.1311830598584337);timing.eligibility_trace_tau=Float(149.24726697894135);competition.strength=Float(0.2139402626347589);energy.max_energy=Float(71.1835420856214);memory.capture_threshold=Float(0.05148912123439115);learning.stdp_a_plus=Float(0.005710215398988827);network.initial_inh_weight=Float(0.27769197737278695);predictive.state_learning_rate=Float(0.028155431619396383);working_memory.recurrent_strength=Float(0.7004221706535718);energy.cost_fire_ratio=Float(0.049205926214159916);memory.dopamine_sensitivity=Float(1.9724478914803938);stp.use_fraction=Float(0.15718905648849651);network.initial_exc_weight=Float(0.04320636441540121);predictive.inference_iterations=Int(3);memory.tag_decay_rate=Float(0.00394470541560919);homeostasis.meta_threshold=Float(0.15294926308629786);homeostasis.memory_alpha=Float(0.009608021257558748);curiosity.scale=Float(0.07962442652313607);learning.stdp_a_minus=Float(0.0071904066272222115);timing.stdp_tau_plus=Float(40.24330915190356);competition.interval=Int(12);memory.consolidation_rate=Float(0.00041603021675543425);network.initial_threshold=Float(0.17743209863021786);learning.base_learning_rate=Float(0.0016024302683648017);curiosity.habituation_rate=Float(0.9472114926383858);timing.stdp_tau_minus=Float(9.100998667790787);homeostasis.homeo_eta=Float(0.02165388142466042)"
6,0.303502,0,Completed,"learning.trace_increment=Float(0.16467102690708615);network.initial_exc_weight=Float(0.05898373036854522);learning.stdp_a_minus=Float(0.0013527733510161272);learning.istdp_rate=Float(0.0001432755286162614);timing.stdp_tau_plus=Float(32.63639626387423);timing.stdp_window=Int(16);network.initial_threshold=Float(0.29629682158033754);homeostasis.homeo_eta=Float(0.055177328770616714);memory.dopamine_sensitivity=Float(1.595297280837618);energy.plasticity_cost_factor=Float(0.011074512815353115);working_memory.recurrent_strength=Float(0.5632152677777259);learning.ltp_ltd_ratio=Float(1.4329315629864419);learning.weight_decay=Float(5.4248300073370374e-5);timing.refractory_period=Int(1);curiosity.habituation_rate=Float(0.9439019056427995);energy.max_energy=Float(63.7244567656248);curiosity.scale=Float(0.13422315285406614);energy.recovery_rate=Float(12.49857831641533);working_memory.decay_rate=Float(0.006065108256105003);homeostasis.target_firing_rate=Float(0.1290562209158801);homeostasis.memory_alpha=Float(0.02091147279764633);memory.consolidation_rate=Float(0.00034256345761294986);timing.eligibility_trace_tau=Float(115.87416803839967);memory.tag_decay_rate=Float(0.0019487316424603288);competition.interval=Int(11);network.inhibitory_ratio=Float(0.21184665288586327);homeostasis.homeo_interval=Int(5);timing.stp_recovery_tau=Float(171.17291454253086);memory.weight_clamp=Float(2.5707958670265034);network.initial_inh_weight=Float(0.40220446407380617);stp.use_fraction=Float(0.08835435497769023);sleep.interval=Int(535);sleep.replay_noise=Float(0.031661518789283354);homeostasis.meta_threshold=Float(0.14174355220555876);learning.stdp_a_plus=Float(0.009131407985974645);energy.cost_fire_ratio=Float(0.07037640979056628);learning.base_learning_rate=Float(0.009240141388528985);predictive.state_learning_rate=Float(0.043497266967100115);timing.stdp_tau_minus=Float(23.229623421381607);predictive.inference_iterations=Int(3);working_memory.capacity=Int(4);curiosity.surprise_threshold=Float(0.009467312604188427);homeostasis.meta_alpha=Float(0.0010517462486990348);competition.strength=Float(0.1051377233129781);memory.capture_threshold=Float(0.1476731956116094)"
7,0.576810,0,Completed,"stp.use_fraction=Float(0.1746581193699171);timing.eligibility_trace_tau=Float(68.52148877129169);timing.refractory_period=Int(6);energy.recovery_rate=Float(1.5594872479698358);predictive.inference_iterations=Int(5);curiosity.scale=Float(0.1321774573256675);learning.ltp_ltd_ratio=Float(2.2628823144507786);memory.weight_clamp=Float(1.375801921909629);timing.stdp_window=Int(37);predictive.state_learning_rate=Float(0.011147087496406955);homeostasis.meta_threshold=Float(0.15816513109211);network.initial_inh_weight=Float(0.1271947999548155);memory.tag_decay_rate=Float(0.006018759341059519);energy.plasticity_cost_factor=Float(0.08003146836069214);curiosity.habituation_rate=Float(0.9419674227065331);homeostasis.target_firing_rate=Float(0.11220511863525144);timing.stdp_tau_plus=Float(46.120205376325224);working_memory.decay_rate=Float(0.006389644581672954);learning.weight_decay=Float(0.00017360215274496438);memory.dopamine_sensitivity=Float(2.055447841541713);learning.stdp_a_plus=Float(0.004034037506171362);curiosity.surprise_threshold=Float(0.001162021606145884);working_memory.capacity=Int(5);learning.stdp_a_minus=Float(0.006582999064513682);homeostasis.homeo_eta=Float(0.012971944720124497);learning.trace_increment=Float(0.08882522259113035);network.initial_exc_weight=Float(0.08302378862002488);competition.strength=Float(0.14844093361134664);energy.max_energy=Float(89.55049208354916);learning.base_learning_rate=Float(0.006224631070153947);homeostasis.homeo_interval=Int(4);working_memory.recurrent_strength=Float(0.7092517978998953);energy.cost_fire_ratio=Float(0.054769502311192805);memory.capture_threshold=Float(0.11938601828165958);sleep.interval=Int(4825);network.initial_threshold=Float(0.2986786154561394);homeostasis.meta_alpha=Float(0.0035029489440968893);memory.consolidation_rate=Float(0.00016887522186814758);sleep.replay_noise=Float(0.09105729987403781);timing.stp_recovery_tau=Float(71.98391710919884);network.inhibitory_ratio=Float(0.16127224151540367);competition.interval=Int(8);learning.istdp_rate=Float(0.00015225052772956568);timing.stdp_tau_minus=Float(20.513857236484498);homeostasis.memory_alpha=Float(0.005557746462918044)"
8,0.614475,0,Completed,"timing.eligibility_trace_tau=Float(93.93492509440861);memory.tag_decay_rate=Float(0.0017404960774745919);learning.ltp_ltd_ratio=Float(1.7849927059805468);memory.consolidation_rate=Float(0.00040411200449017064);curiosity.scale=Float(0.06002477252623643);memory.capture_threshold=Float(0.058835682356459015);predictive.inference_iterations=Int(3);energy.max_energy=Float(120.47730202797737);stp.use_fraction=Float(0.08085652343715927);network.initial_exc_weight=Float(0.05821783088338976);competition.interval=Int(5);memory.dopamine_sensitivity=Float(1.763865899006805);working_memory.capacity=Int(4);homeostasis.homeo_interval=Int(7);sleep.replay_noise=Float(0.014318347353096667);network.initial_threshold=Float(0.15292412285993903);energy.plasticity_cost_factor=Float(0.022028055126319654);timing.stp_recovery_tau=Float(174.24204623658258);sleep.interval=Int(1018);learning.stdp_a_minus=Float(0.00367759659513255);homeostasis.meta_alpha=Float(0.0016476646115771141);timing.stdp_window=Int(39);homeostasis.target_firing_rate=Float(0.06222669655741814);energy.cost_fire_ratio=Float(0.052756312699698917);timing.stdp_tau_minus=Float(26.146686511614053);competition.strength=Float(0.1710733179168481);memory.weight_clamp=Float(1.7239485207768037);curiosity.habituation_rate=Float(0.9108814023215979);homeostasis.homeo_eta=Float(0.015514716880464914);timing.refractory_period=Int(1);network.inhibitory_ratio=Float(0.205715523032871);working_memory.decay_rate=Float(0.013130480903078648);learning.trace_increment=Float(0.07130375517795416);energy.recovery_rate=Float(7.370177300267429);learning.weight_decay=Float(0.00010779696712505157);curiosity.surprise_threshold=Float(0.009990243169890696);working_memory.recurrent_strength=Float(0.7006803908968997);network.initial_inh_weight=Float(0.22850324039545453);learning.istdp_rate=Float(0.00044726100257242834);homeostasis.memory_alpha=Float(0.02227414756831633);timing.stdp_tau_plus=Float(34.46170064491725);predictive.state_learning_rate=Float(0.0539148554423502);learning.stdp_a_plus=Float(0.009788223794083247);learning.base_learning_rate=Float(0.0057323051808933784);homeostasis.meta_threshold=Float(0.1108067229182475)"
9,0.326991,0,Completed,"homeostasis.homeo_eta=Float(0.060300303854797996);homeostasis.memory_alpha=Float(0.010019461878281944);network.initial_inh_weight=Float(0.6704878234235774);sleep.interval=Int(2446);learning.stdp_a_plus=Float(0.0013669713556911545);stp.use_fraction=Float(0.06598630013549381);learning.istdp_rate=Float(0.0009210442954469625);homeostasis.meta_threshold=Float(0.10047806970553427);curiosity.habituation_rate=Float(0.9033775426573999);homeostasis.homeo_interval=Int(7);memory.capture_threshold=Float(0.12486515831548375);memory.weight_clamp=Float(1.7563442049446385);timing.stdp_tau_minus=Float(23.906205941202632);energy.max_energy=Float(69.94393844388983);homeostasis.meta_alpha=Float(0.006557299775289411);learning.trace_increment=Float(0.10089502660578467);energy.recovery_rate=Float(7.775249635515561);competition.strength=Float(0.2396282843639209);memory.tag_decay_rate=Float(0.0017685187100157076);learning.weight_decay=Float(9.923118305169053e-5);timing.stdp_tau_plus=Float(38.63978341190139);predictive.inference_iterations=Int(3);working_memory.decay_rate=Float(0.011470736049285933);learning.ltp_ltd_ratio=Float(1.8063677660670057);sleep.replay_noise=Float(0.10100348309171467);curiosity.scale=Float(0.06928335092945102);energy.plasticity_cost_factor=Float(0.0328080098151248);network.initial_exc_weight=Float(0.028223980001226064);timing.eligibility_trace_tau=Float(157.64964463597462);working_memory.recurrent_strength=Float(0.5560740906875753);network.inhibitory_ratio=Float(0.23783602219490244);timing.stdp_window=Int(45);curiosity.surprise_threshold=Float(0.00633122207342827);timing.refractory_period=Int(6);network.initial_threshold=Float(0.1432518852044018);learning.base_learning_rate=Float(0.0016965525250650906);timing.stp_recovery_tau=Float(136.25044960906973);memory.dopamine_sensitivity=Float(4.905331197405544);memory.consolidation_rate=Float(0.0006191976665085818);homeostasis.target_firing_rate=Float(0.10633934263986054);predictive.state_learning_rate=Float(0.013590088487790586);working_memory.capacity=Int(5);learning.stdp_a_minus=Float(0.0082001597315241);energy.cost_fire_ratio=Float(0.039090144850567485);competition.interval=Int(6)"
