trial,score,duration_ms,status,config
0,0.336187,0,Completed,"curiosity.habituation_rate=Float(0.9120799020594172);curiosity.scale=Float(0.0835412914849681);energy.cost_fire_ratio=Float(0.011234867913004678);working_memory.capacity=Int(7);learning.stdp_a_plus=Float(0.008250232833261664);memory.dopamine_sensitivity=Float(2.802836249536564);memory.weight_clamp=Float(1.7968878962092307);timing.eligibility_trace_tau=Float(104.59395904698508);competition.strength=Float(0.25126225709711725);predictive.state_learning_rate=Float(0.010182632172253786);learning.base_learning_rate=Float(0.0016924376038262154);learning.istdp_rate=Float(0.00014942944989506513);network.initial_exc_weight=Float(0.07987724726318318);learning.weight_decay=Float(1.1953931721325862e-5);homeostasis.memory_alpha=Float(0.00857391375489508);network.initial_threshold=Float(0.1084023574386729);learning.stdp_a_minus=Float(0.007253906123444343);timing.stp_recovery_tau=Float(78.8958447121307);homeostasis.target_firing_rate=Float(0.06254259063688633);memory.tag_decay_rate=Float(0.001321639827699806);timing.stdp_window=Int(13);stp.use_fraction=Float(0.15547339249296893);learning.ltp_ltd_ratio=Float(1.8989728993966646);timing.refractory_period=Int(8);memory.consolidation_rate=Float(0.0009503473851022019);timing.stdp_tau_plus=Float(28.33559631564086);network.initial_inh_weight=Float(0.5356606673997968);curiosity.surprise_threshold=Float(0.001227806069090922);learning.trace_increment=Float(0.0521072524837468);timing.stdp_tau_minus=Float(5.727501282404992);homeostasis.meta_threshold=Float(0.07872148156834802);homeostasis.homeo_eta=Float(0.016714377717823425);homeostasis.homeo_interval=Int(5);network.inhibitory_ratio=Float(0.1455579823687575);energy.recovery_rate=Float(1.7374353820312385)"
1,0.629247,0,Completed,"learning.stdp_a_minus=Float(0.005481371872669083);learning.weight_decay=Float(0.0001209223262781721);homeostasis.meta_threshold=Float(0.13021205153321197);timing.refractory_period=Int(2);timing.stdp_tau_minus=Float(7.948905374610076);timing.stp_recovery_tau=Float(75.05499323016382);stp.use_fraction=Float(0.14535243707833634);learning.trace_increment=Float(0.10087017426287527);memory.weight_clamp=Float(2.1086663177955582);energy.cost_fire_ratio=Float(0.05525499080430133);homeostasis.target_firing_rate=Float(0.11100965232611858);predictive.state_learning_rate=Float(0.02949598501366393);network.initial_inh_weight=Float(0.7390074962375237);network.initial_threshold=Float(0.10115611990940668);curiosity.habituation_rate=Float(0.9322668709967441);curiosity.scale=Float(0.032189046713101924);learning.istdp_rate=Float(0.0006229228510142026);working_memory.capacity=Int(6);memory.tag_decay_rate=Float(0.0011040929672619555);curiosity.surprise_threshold=Float(0.0015300857900699691);homeostasis.memory_alpha=Float(0.0076725376993821565);network.initial_exc_weight=Float(0.039020533549836964);learning.ltp_ltd_ratio=Float(1.8815895914755738);timing.eligibility_trace_tau=Float(131.2077923629618);network.inhibitory_ratio=Float(0.15274168836249544);energy.recovery_rate=Float(7.054032749974642);homeostasis.homeo_interval=Int(10);learning.stdp_a_plus=Float(0.0036371051468343076);memory.consolidation_rate=Float(0.00018668436447305287);timing.stdp_window=Int(23);timing.stdp_tau_plus=Float(11.888923298541672);learning.base_learning_rate=Float(0.007753740038082371);competition.strength=Float(0.29850553111138417);homeostasis.homeo_eta=Float(0.032731691463851555);memory.dopamine_sensitivity=Float(3.8448711705498564)"
2,0.330748,0,Completed,"memory.weight_clamp=Float(2.290850822183036);memory.dopamine_sensitivity=Float(2.519260499747298);energy.cost_fire_ratio=Float(0.0332589265804875);energy.recovery_rate=Float(1.3215081301335032);learning.weight_decay=Float(3.768680133480237e-5);learning.ltp_ltd_ratio=Float(2.405016307813352);curiosity.scale=Float(0.18912874005714636);timing.stdp_tau_plus=Float(12.193565099079526);timing.stdp_tau_minus=Float(11.62190427459355);working_memory.capacity=Int(5);stp.use_fraction=Float(0.14101882113400355);curiosity.surprise_threshold=Float(0.0029026926192815728);network.inhibitory_ratio=Float(0.10135392511760676);network.initial_inh_weight=Float(0.5692917446767194);homeostasis.memory_alpha=Float(0.007194235601230991);learning.istdp_rate=Float(0.00014013075180307067);memory.tag_decay_rate=Float(0.0015951712252210313);learning.base_learning_rate=Float(0.003997497227793873);homeostasis.target_firing_rate=Float(0.030262764827409472);timing.eligibility_trace_tau=Float(100.26548513272581);timing.stdp_window=Int(21);network.initial_exc_weight=Float(0.030292426508453776);homeostasis.homeo_eta=Float(0.06164707573526567);network.initial_threshold=Float(0.22130292740680813);curiosity.habituation_rate=Float(0.9264454961133761);homeostasis.homeo_interval=Int(10);learning.stdp_a_minus=Float(0.0010465621031068419);memory.consolidation_rate=Float(0.0002508290491481737);predictive.state_learning_rate=Float(0.03449876580010465);timing.stp_recovery_tau=Float(87.18267643991454);competition.strength=Float(0.28724068239965495);timing.refractory_period=Int(4);learning.trace_increment=Float(0.11779142296123118);learning.stdp_a_plus=Float(0.00251197380120742);homeostasis.meta_threshold=Float(0.10655989535305646)"
3,0.369844,0,Completed,"timing.stdp_window=Int(29);timing.refractory_period=Int(6);curiosity.habituation_rate=Float(0.9383011739815821);curiosity.surprise_threshold=Float(0.0027948951107166684);homeostasis.target_firing_rate=Float(0.08516344881038262);timing.stdp_tau_minus=Float(6.91052810449864);network.initial_inh_weight=Float(0.3625273985468147);learning.weight_decay=Float(1.791601609119888e-5);learning.stdp_a_plus=Float(0.008249192712031108);network.initial_exc_weight=Float(0.021241854811376394);working_memory.capacity=Int(5);learning.ltp_ltd_ratio=Float(2.227605098911469);homeostasis.homeo_interval=Int(8);homeostasis.meta_threshold=Float(0.09764307116801922);learning.stdp_a_minus=Float(0.003348183527297012);homeostasis.homeo_eta=Float(0.031301981171778834);energy.recovery_rate=Float(8.754755828472497);competition.strength=Float(0.16047333694539812);memory.dopamine_sensitivity=Float(2.2332430722269327);network.initial_threshold=Float(0.2801677543158102);learning.istdp_rate=Float(0.0009718416042672842);network.inhibitory_ratio=Float(0.10953228054790112);timing.stdp_tau_plus=Float(49.45038617575783);homeostasis.memory_alpha=Float(0.006677716343947513);learning.trace_increment=Float(0.1456922741247556);timing.stp_recovery_tau=Float(97.28432262718778);memory.weight_clamp=Float(2.3580363144534724);stp.use_fraction=Float(0.16412496017621014);learning.base_learning_rate=Float(0.006523485241370103);timing.eligibility_trace_tau=Float(116.71029019649528);memory.consolidation_rate=Float(0.00022416694891690586);energy.cost_fire_ratio=Float(0.04725592591270244);predictive.state_learning_rate=Float(0.014653718536967198);curiosity.scale=Float(0.05795531860505122);memory.tag_decay_rate=Float(0.0012984113359103963)"
4,0.656106,0,Completed,"homeostasis.homeo_eta=Float(0.027125512579969452);homeostasis.homeo_interval=Int(2);learning.trace_increment=Float(0.1621817930513485);timing.stdp_tau_minus=Float(15.71554031006888);learning.istdp_rate=Float(0.0001921640100593784);homeostasis.target_firing_rate=Float(0.06167273981768469);network.initial_inh_weight=Float(0.15326773828204437);timing.refractory_period=Int(2);homeostasis.meta_threshold=Float(0.06154993684299988);network.initial_threshold=Float(0.2080412715925);learning.stdp_a_plus=Float(0.0031684823435330924);timing.stdp_window=Int(18);network.initial_exc_weight=Float(0.08252149563807099);timing.stp_recovery_tau=Float(151.61324173715275);memory.consolidation_rate=Float(0.00019900846092151003);competition.strength=Float(0.2268468476195929);curiosity.surprise_threshold=Float(0.0018723221018243199);learning.weight_decay=Float(1.5007755648099596e-5);stp.use_fraction=Float(0.12447106288151608);memory.dopamine_sensitivity=Float(1.2393746655991706);working_memory.capacity=Int(6);energy.cost_fire_ratio=Float(0.05298728574136907);energy.recovery_rate=Float(1.086081732084528);learning.base_learning_rate=Float(0.005684576649086606);learning.stdp_a_minus=Float(0.0022689413534879065);curiosity.scale=Float(0.04874934207386089);memory.weight_clamp=Float(1.9675967798027203);timing.stdp_tau_plus=Float(20.873614726791537);network.inhibitory_ratio=Float(0.1982449913160515);homeostasis.memory_alpha=Float(0.014424707976692904);timing.eligibility_trace_tau=Float(128.71967409085406);curiosity.habituation_rate=Float(0.9327049883335607);predictive.state_learning_rate=Float(0.022899686074947186);learning.ltp_ltd_ratio=Float(2.4961451344415884);memory.tag_decay_rate=Float(0.006244534460869851)"
5,0.283173,0,Completed,"memory.dopamine_sensitivity=Float(3.9144003083730117);timing.stdp_window=Int(27);homeostasis.homeo_interval=Int(3);curiosity.surprise_threshold=Float(0.00255413893011212);network.initial_threshold=Float(0.2368065792454422);learning.weight_decay=Float(4.172759860437793e-5);predictive.state_learning_rate=Float(0.01067200157253073);timing.stdp_tau_plus=Float(14.352350496769034);competition.strength=Float(0.1809951960297756);curiosity.habituation_rate=Float(0.9477832688760905);homeostasis.target_firing_rate=Float(0.03845940437830505);learning.trace_increment=Float(0.06411038812112771);learning.istdp_rate=Float(0.00018829374610328315);learning.base_learning_rate=Float(0.002147386160009711);network.initial_inh_weight=Float(0.26594653366272025);homeostasis.homeo_eta=Float(0.025407336432150096);energy.recovery_rate=Float(4.150112801033564);timing.refractory_period=Int(8);working_memory.capacity=Int(5);learning.ltp_ltd_ratio=Float(2.2023696583235566);stp.use_fraction=Float(0.059385865533115784);energy.cost_fire_ratio=Float(0.017263199078678897);learning.stdp_a_plus=Float(0.002255510955148606);learning.stdp_a_minus=Float(0.003633020835850869);memory.weight_clamp=Float(2.1436862352173045);homeostasis.meta_threshold=Float(0.1279352695862612);memory.tag_decay_rate=Float(0.0011714901606027233);network.initial_exc_weight=Float(0.023460707348645832);curiosity.scale=Float(0.06887961945703244);memory.consolidation_rate=Float(0.00035806393994030565);network.inhibitory_ratio=Float(0.22260045933597733);timing.stdp_tau_minus=Float(5.5350809173041675);homeostasis.memory_alpha=Float(0.020317198487960045);timing.eligibility_trace_tau=Float(151.05403149259143);timing.stp_recovery_tau=Float(109.50510887417596)"
6,0.436427,0,Completed,"network.initial_inh_weight=Float(0.6870321001361664);learning.stdp_a_plus=Float(0.004327375649218825);learning.base_learning_rate=Float(0.0032982409723828834);timing.refractory_period=Int(6);curiosity.habituation_rate=Float(0.9066884781608099);energy.cost_fire_ratio=Float(0.01590489442597723);memory.consolidation_rate=Float(0.0008078070524413061);curiosity.scale=Float(0.043285072937906975);homeostasis.memory_alpha=Float(0.012653039885488188);homeostasis.homeo_interval=Int(2);learning.istdp_rate=Float(0.00029678727400385163);predictive.state_learning_rate=Float(0.01425422294820863);timing.stdp_tau_plus=Float(14.002536608372473);competition.strength=Float(0.16632330177033397);learning.ltp_ltd_ratio=Float(2.449045602802431);stp.use_fraction=Float(0.10041419395720917);memory.dopamine_sensitivity=Float(4.313268746555147);learning.trace_increment=Float(0.14517725012152857);working_memory.capacity=Int(5);network.initial_exc_weight=Float(0.04525153326924228);homeostasis.target_firing_rate=Float(0.06319018352152551);learning.stdp_a_minus=Float(0.00878659209921304);curiosity.surprise_threshold=Float(0.0018002233474839033);network.inhibitory_ratio=Float(0.1972112924086888);homeostasis.homeo_eta=Float(0.01966910053182166);network.initial_threshold=Float(0.21260364365591755);homeostasis.meta_threshold=Float(0.15081622676244383);energy.recovery_rate=Float(8.572689039533186);learning.weight_decay=Float(0.00024616968004896887);timing.stdp_tau_minus=Float(8.013410112590858);timing.stp_recovery_tau=Float(154.67380869776798);memory.weight_clamp=Float(1.26799952245038);timing.stdp_window=Int(19);timing.eligibility_trace_tau=Float(156.20955781432474);memory.tag_decay_rate=Float(0.0019857761784115922)"
7,0.648412,0,Completed,"homeostasis.meta_threshold=Float(0.15408522161983074);learning.stdp_a_plus=Float(0.007400610264632914);timing.stdp_tau_minus=Float(20.18458197596124);learning.weight_decay=Float(6.387066375217011e-5);memory.weight_clamp=Float(1.7333259546974036);network.initial_inh_weight=Float(0.3716197826135018);memory.dopamine_sensitivity=Float(5.144837536417143);curiosity.surprise_threshold=Float(0.005403766687747261);curiosity.scale=Float(0.055494154332087875);competition.strength=Float(0.24759596720049065);network.inhibitory_ratio=Float(0.1761591514982654);timing.stp_recovery_tau=Float(114.97385214664364);homeostasis.memory_alpha=Float(0.005144555156089572);homeostasis.target_firing_rate=Float(0.13914475147825311);learning.stdp_a_minus=Float(0.0011041167220058581);timing.eligibility_trace_tau=Float(92.12016498592921);timing.refractory_period=Int(6);timing.stdp_window=Int(36);learning.trace_increment=Float(0.16715370716228004);working_memory.capacity=Int(3);stp.use_fraction=Float(0.10398088339808884);network.initial_threshold=Float(0.19070848172779858);homeostasis.homeo_interval=Int(10);learning.ltp_ltd_ratio=Float(2.180673675420851);learning.base_learning_rate=Float(0.0010730714925025096);energy.recovery_rate=Float(8.681992493495809);homeostasis.homeo_eta=Float(0.04520373939711003);memory.tag_decay_rate=Float(0.005583303751474403);timing.stdp_tau_plus=Float(24.786585586794324);learning.istdp_rate=Float(0.0001471590968268985);memory.consolidation_rate=Float(0.0006179507710948207);curiosity.habituation_rate=Float(0.9210952044578956);network.initial_exc_weight=Float(0.07750905882043509);energy.cost_fire_ratio=Float(0.056417440224070435);predictive.state_learning_rate=Float(0.018270927042502647)"
8,0.302054,0,Completed,"homeostasis.homeo_interval=Int(10);curiosity.surprise_threshold=Float(0.00104389310690326);timing.stdp_tau_minus=Float(13.572275074797746);learning.ltp_ltd_ratio=Float(1.6133368100536374);network.inhibitory_ratio=Float(0.13456467903092614);memory.dopamine_sensitivity=Float(1.4071590561436393);homeostasis.homeo_eta=Float(0.030590288578572947);memory.consolidation_rate=Float(0.00017326502143328684);learning.stdp_a_plus=Float(0.0010459520940577808);competition.strength=Float(0.21977184985759013);network.initial_threshold=Float(0.10864828368850246);curiosity.habituation_rate=Float(0.9458474378238543);learning.base_learning_rate=Float(0.0011173829198386574);energy.recovery_rate=Float(10.65832409301268);network.initial_inh_weight=Float(0.6413760385805218);memory.weight_clamp=Float(1.6622682857937803);learning.stdp_a_minus=Float(0.0010250451903034213);predictive.state_learning_rate=Float(0.05996568053707022);timing.refractory_period=Int(9);memory.tag_decay_rate=Float(0.004679977701873573);stp.use_fraction=Float(0.055512832141367915);timing.eligibility_trace_tau=Float(60.34619893828376);learning.istdp_rate=Float(0.00048025604385729006);learning.weight_decay=Float(4.3374548477716764e-5);energy.cost_fire_ratio=Float(0.07027942265856066);homeostasis.memory_alpha=Float(0.013340933060211725);homeostasis.meta_threshold=Float(0.12198053320683086);timing.stdp_window=Int(42);timing.stdp_tau_plus=Float(51.69179146915948);homeostasis.target_firing_rate=Float(0.09514776926607539);curiosity.scale=Float(0.02734557123327292);timing.stp_recovery_tau=Float(168.0835427642063);learning.trace_increment=Float(0.14858018959606537);network.initial_exc_weight=Float(0.0797661534719556);working_memory.capacity=Int(4)"
9,0.506509,0,Completed,"curiosity.surprise_threshold=Float(0.001390570442648774);memory.dopamine_sensitivity=Float(5.272520750125992);homeostasis.memory_alpha=Float(0.012035503907515196);homeostasis.meta_threshold=Float(0.057050929301663056);competition.strength=Float(0.1847744556341261);memory.weight_clamp=Float(1.2633362822847758);timing.stdp_window=Int(43);network.initial_threshold=Float(0.10782604590240541);timing.stdp_tau_plus=Float(54.70044015783361);stp.use_fraction=Float(0.08971705563359825);curiosity.habituation_rate=Float(0.936142066609846);learning.base_learning_rate=Float(0.002095498042782125);homeostasis.target_firing_rate=Float(0.055678208136390475);learning.stdp_a_minus=Float(0.00162409023826645);timing.stp_recovery_tau=Float(72.05017081509581);learning.istdp_rate=Float(0.00013621766820822467);energy.cost_fire_ratio=Float(0.04898085453523809);learning.ltp_ltd_ratio=Float(1.8707215124440197);network.initial_exc_weight=Float(0.05498538929153825);memory.consolidation_rate=Float(0.0006987038912598187);working_memory.capacity=Int(5);homeostasis.homeo_interval=Int(2);curiosity.scale=Float(0.1628527443792794);network.initial_inh_weight=Float(0.43368234907595493);timing.eligibility_trace_tau=Float(129.15394543296674);timing.refractory_period=Int(10);energy.recovery_rate=Float(12.052846637333941);learning.trace_increment=Float(0.05393569289099791);memory.tag_decay_rate=Float(0.0036696020795819093);learning.stdp_a_plus=Float(0.005149998738021706);predictive.state_learning_rate=Float(0.0118900168223426);learning.weight_decay=Float(0.00020207840961028475);homeostasis.homeo_eta=Float(0.01851301109224732);timing.stdp_tau_minus=Float(14.853973000974854);network.inhibitory_ratio=Float(0.21582477509878223)"
