trial,score,duration_ms,status,config
0,0.566408,0,Completed,"timing.stdp_tau_plus=Float(38.99752695788572);network.initial_threshold=Float(0.17781168075227452);learning.ltp_ltd_ratio=Float(1.632599533449998);learning.istdp_rate=Float(0.0004269706765658392);curiosity.surprise_threshold=Float(0.0010622553090232972);homeostasis.homeo_eta=Float(0.019621962118770153);homeostasis.memory_alpha=Float(0.005529438563944019);learning.trace_increment=Float(0.10368956528922765);competition.strength=Float(0.10435216063734894);curiosity.scale=Float(0.1492164299728387);homeostasis.target_firing_rate=Float(0.04677005463670242);memory.weight_clamp=Float(1.6860239889207351);homeostasis.homeo_interval=Int(7);stp.use_fraction=Float(0.05331783352962645);timing.eligibility_trace_tau=Float(123.91841464360529);memory.tag_decay_rate=Float(0.004743408609951058);memory.consolidation_rate=Float(0.0002587889357756801);homeostasis.meta_threshold=Float(0.07818292857338277);curiosity.habituation_rate=Float(0.9204354967648246);timing.stp_recovery_tau=Float(90.81465968415483);timing.refractory_period=Int(10);energy.cost_fire_ratio=Float(0.04674239209311604);learning.stdp_a_plus=Float(0.008326649492837904);network.initial_inh_weight=Float(0.4317725920890859);learning.base_learning_rate=Float(0.002584173758180969);timing.stdp_tau_minus=Float(18.90129300740112);predictive.state_learning_rate=Float(0.025803666234644397);timing.stdp_window=Int(27);network.initial_exc_weight=Float(0.021611955522469237);learning.stdp_a_minus=Float(0.0026029069776736845);learning.weight_decay=Float(0.00011567337296946703);energy.recovery_rate=Float(5.281025216980145);network.inhibitory_ratio=Float(0.17933488047666263);memory.dopamine_sensitivity=Float(3.399836707953326);working_memory.capacity=Int(6)"
1,0.644685,0,Completed,"learning.weight_decay=Float(0.00030224172131934537);timing.eligibility_trace_tau=Float(84.18182585540207);timing.stdp_tau_minus=Float(14.378824828746456);working_memory.capacity=Int(3);learning.trace_increment=Float(0.08962121514827506);curiosity.surprise_threshold=Float(0.0014200728787556033);learning.istdp_rate=Float(0.0008573192827516264);curiosity.habituation_rate=Float(0.9176631126617228);energy.cost_fire_ratio=Float(0.04135428003299848);network.initial_inh_weight=Float(0.7557692410554199);memory.consolidation_rate=Float(0.0008671032599619665);homeostasis.homeo_interval=Int(7);learning.stdp_a_plus=Float(0.001052657937532703);homeostasis.homeo_eta=Float(0.010972993471102756);network.inhibitory_ratio=Float(0.15904560702830683);timing.stp_recovery_tau=Float(77.24986186419844);timing.stdp_window=Int(32);stp.use_fraction=Float(0.07585751709431818);energy.recovery_rate=Float(11.025721818680346);homeostasis.meta_threshold=Float(0.07251807210792743);predictive.state_learning_rate=Float(0.0531891464483224);learning.ltp_ltd_ratio=Float(1.7650589909788823);learning.stdp_a_minus=Float(0.005696191775693413);homeostasis.memory_alpha=Float(0.006311385536111843);network.initial_threshold=Float(0.153098614153708);homeostasis.target_firing_rate=Float(0.12497081208857028);timing.refractory_period=Int(2);memory.weight_clamp=Float(1.8678099356749582);memory.tag_decay_rate=Float(0.0012712245827042926);timing.stdp_tau_plus=Float(21.752156049886754);network.initial_exc_weight=Float(0.04529008175602418);curiosity.scale=Float(0.16481232782705044);memory.dopamine_sensitivity=Float(1.007216095693227);competition.strength=Float(0.2925850393698982);learning.base_learning_rate=Float(0.0056381775785214906)"
2,0.296898,0,Completed,"homeostasis.homeo_eta=Float(0.05844625384245173);timing.stdp_tau_minus=Float(10.237381833195077);competition.strength=Float(0.11968175322275651);homeostasis.memory_alpha=Float(0.018887895600963104);energy.cost_fire_ratio=Float(0.018235998816843145);predictive.state_learning_rate=Float(0.01914004553957003);timing.refractory_period=Int(1);learning.weight_decay=Float(0.0001789350265761454);timing.stdp_window=Int(37);network.initial_inh_weight=Float(0.35590859177892764);homeostasis.meta_threshold=Float(0.15887767400333602);homeostasis.target_firing_rate=Float(0.10230568471185529);timing.stp_recovery_tau=Float(94.53663243784956);curiosity.scale=Float(0.22154388455709997);learning.stdp_a_minus=Float(0.005383726811675038);homeostasis.homeo_interval=Int(4);learning.trace_increment=Float(0.13221903573307653);memory.weight_clamp=Float(2.8015504204206056);energy.recovery_rate=Float(7.27879006934324);network.initial_exc_weight=Float(0.08323551816009812);memory.tag_decay_rate=Float(0.004247167452586849);working_memory.capacity=Int(6);learning.base_learning_rate=Float(0.00126760328776454);timing.stdp_tau_plus=Float(26.518297134087955);learning.ltp_ltd_ratio=Float(2.0572176713164003);stp.use_fraction=Float(0.1217539959754222);network.inhibitory_ratio=Float(0.16712874152397944);curiosity.habituation_rate=Float(0.9011218569039185);network.initial_threshold=Float(0.10253629349231169);memory.dopamine_sensitivity=Float(4.847953631507222);curiosity.surprise_threshold=Float(0.0021615097721593137);timing.eligibility_trace_tau=Float(89.57492185624471);learning.stdp_a_plus=Float(0.003950204264721254);learning.istdp_rate=Float(0.0007568538569136413);memory.consolidation_rate=Float(0.000745471111543311)"
3,0.608389,0,Completed,"homeostasis.target_firing_rate=Float(0.06666878598198964);stp.use_fraction=Float(0.05877114734816625);network.initial_threshold=Float(0.20067172071446474);timing.stdp_window=Int(45);timing.eligibility_trace_tau=Float(84.44526185234223);memory.tag_decay_rate=Float(0.004860934094124315);predictive.state_learning_rate=Float(0.014224483516249746);homeostasis.memory_alpha=Float(0.013778661367801011);energy.recovery_rate=Float(10.018225958807912);timing.stdp_tau_minus=Float(24.798182543552986);network.inhibitory_ratio=Float(0.24332051504015006);curiosity.scale=Float(0.0852303802094493);timing.refractory_period=Int(7);timing.stdp_tau_plus=Float(11.685014162604933);learning.trace_increment=Float(0.08030579555321155);learning.base_learning_rate=Float(0.008589178892426138);homeostasis.homeo_eta=Float(0.01949292854928344);network.initial_inh_weight=Float(0.5676734174293636);working_memory.capacity=Int(3);network.initial_exc_weight=Float(0.06296365595026027);learning.stdp_a_plus=Float(0.0025735897155036154);curiosity.habituation_rate=Float(0.920866904639608);memory.weight_clamp=Float(2.2840050964811827);curiosity.surprise_threshold=Float(0.008256475722161405);homeostasis.homeo_interval=Int(1);homeostasis.meta_threshold=Float(0.11126927882695321);timing.stp_recovery_tau=Float(166.1322623063187);memory.dopamine_sensitivity=Float(3.448614772280821);learning.stdp_a_minus=Float(0.0041798166480522);learning.weight_decay=Float(1.102919634117383e-5);memory.consolidation_rate=Float(0.0005979225943446232);competition.strength=Float(0.21620154215865806);learning.istdp_rate=Float(0.0004442969903922711);learning.ltp_ltd_ratio=Float(1.1732020832535817);energy.cost_fire_ratio=Float(0.0594425577366358)"
4,0.664691,0,Completed,"learning.trace_increment=Float(0.1147506618557383);homeostasis.homeo_interval=Int(6);energy.recovery_rate=Float(9.899594430089834);memory.consolidation_rate=Float(0.0002057164587593354);learning.stdp_a_plus=Float(0.0025338180725865676);curiosity.surprise_threshold=Float(0.008346435742329156);network.inhibitory_ratio=Float(0.18868109974746622);network.initial_exc_weight=Float(0.044894646137229786);timing.eligibility_trace_tau=Float(75.12737919740607);homeostasis.memory_alpha=Float(0.018520699113492155);memory.tag_decay_rate=Float(0.003701459171178125);working_memory.capacity=Int(6);network.initial_inh_weight=Float(0.24945500394083908);memory.dopamine_sensitivity=Float(2.7387904563776195);homeostasis.meta_threshold=Float(0.06172049163415108);homeostasis.homeo_eta=Float(0.012955522322229913);timing.stdp_window=Int(37);curiosity.scale=Float(0.11777148601547151);predictive.state_learning_rate=Float(0.012432701753130741);timing.stdp_tau_minus=Float(17.56369415730324);learning.weight_decay=Float(1.1408032780521371e-5);network.initial_threshold=Float(0.2885698336615623);learning.stdp_a_minus=Float(0.004280777145309019);timing.stdp_tau_plus=Float(50.31554706867681);learning.istdp_rate=Float(0.0009698244695368221);learning.base_learning_rate=Float(0.00547117307298591);stp.use_fraction=Float(0.11241165551180292);competition.strength=Float(0.2074245965358393);homeostasis.target_firing_rate=Float(0.11129296192929451);timing.stp_recovery_tau=Float(52.45049601710646);memory.weight_clamp=Float(2.0571544927212306);learning.ltp_ltd_ratio=Float(2.1976346346078524);timing.refractory_period=Int(4);curiosity.habituation_rate=Float(0.9112427045470669);energy.cost_fire_ratio=Float(0.03056805351296627)"
5,0.312509,0,Completed,"energy.cost_fire_ratio=Float(0.017628228275018795);stp.use_fraction=Float(0.17317361900889633);memory.consolidation_rate=Float(0.0006715685500968342);timing.eligibility_trace_tau=Float(90.09256543749026);memory.weight_clamp=Float(1.9987275602758694);network.initial_inh_weight=Float(0.2647464904852087);learning.trace_increment=Float(0.09042445927402575);network.initial_exc_weight=Float(0.020935159775180547);homeostasis.meta_threshold=Float(0.1607473292762291);homeostasis.memory_alpha=Float(0.008773442341125735);timing.stdp_window=Int(36);memory.tag_decay_rate=Float(0.002581779388827729);memory.dopamine_sensitivity=Float(1.5330094808090966);timing.refractory_period=Int(10);homeostasis.target_firing_rate=Float(0.07471628237625497);energy.recovery_rate=Float(1.772847475663956);curiosity.habituation_rate=Float(0.9417003852186493);competition.strength=Float(0.28909712987698083);predictive.state_learning_rate=Float(0.031279585880339494);working_memory.capacity=Int(7);timing.stdp_tau_minus=Float(17.05785150804041);homeostasis.homeo_eta=Float(0.01018440703853419);learning.weight_decay=Float(0.00011851462142575708);learning.stdp_a_minus=Float(0.007378876420100124);learning.base_learning_rate=Float(0.008503547002015513);homeostasis.homeo_interval=Int(1);learning.stdp_a_plus=Float(0.006422215141196832);learning.ltp_ltd_ratio=Float(1.6926641391340327);timing.stdp_tau_plus=Float(36.256857101399646);network.initial_threshold=Float(0.206433053805128);timing.stp_recovery_tau=Float(160.99162333668014);learning.istdp_rate=Float(0.00032677263712660806);curiosity.surprise_threshold=Float(0.0034376346954131764);curiosity.scale=Float(0.25074015028093477);network.inhibitory_ratio=Float(0.23982905751090244)"
6,0.633866,0,Completed,"working_memory.capacity=Int(6);network.inhibitory_ratio=Float(0.12217812436217865);homeostasis.homeo_interval=Int(5);learning.base_learning_rate=Float(0.0010500232800076518);memory.weight_clamp=Float(1.4241317697856881);learning.istdp_rate=Float(0.000540342183096329);homeostasis.homeo_eta=Float(0.062337490968957236);learning.ltp_ltd_ratio=Float(1.382414647699896);energy.recovery_rate=Float(5.4207291743766355);network.initial_inh_weight=Float(0.1687927449747903);stp.use_fraction=Float(0.17471525560242945);predictive.state_learning_rate=Float(0.04895949021215818);learning.stdp_a_plus=Float(0.0073512223372680634);memory.consolidation_rate=Float(0.0001657141968993733);curiosity.scale=Float(0.1699225129652588);timing.eligibility_trace_tau=Float(54.353505467708075);memory.dopamine_sensitivity=Float(4.090642540038248);competition.strength=Float(0.27728936927795633);homeostasis.memory_alpha=Float(0.005834875097572554);memory.tag_decay_rate=Float(0.0035922486780280132);timing.refractory_period=Int(8);homeostasis.target_firing_rate=Float(0.08953326822247665);homeostasis.meta_threshold=Float(0.09886218406000691);timing.stdp_window=Int(15);network.initial_threshold=Float(0.290018606137023);curiosity.surprise_threshold=Float(0.005915835004384449);energy.cost_fire_ratio=Float(0.04632945850871724);curiosity.habituation_rate=Float(0.9029614719471339);learning.weight_decay=Float(4.1067936392651486e-5);learning.stdp_a_minus=Float(0.0056701684475702506);timing.stdp_tau_minus=Float(25.719608166422603);learning.trace_increment=Float(0.14418364534950434);timing.stdp_tau_plus=Float(53.34049918766611);network.initial_exc_weight=Float(0.046979235044442874);timing.stp_recovery_tau=Float(58.72376823302446)"
7,0.609858,0,Completed,"learning.istdp_rate=Float(0.00018394635350713577);memory.consolidation_rate=Float(0.00024843815674701155);stp.use_fraction=Float(0.05945908884970916);learning.ltp_ltd_ratio=Float(1.2844486397887693);homeostasis.homeo_eta=Float(0.034645088855645476);timing.stdp_tau_minus=Float(13.35645858625799);predictive.state_learning_rate=Float(0.031207332495448263);network.inhibitory_ratio=Float(0.10358004816891161);homeostasis.meta_threshold=Float(0.15537483109053568);curiosity.surprise_threshold=Float(0.008357107690539899);working_memory.capacity=Int(3);network.initial_inh_weight=Float(0.5690598667294392);homeostasis.homeo_interval=Int(7);curiosity.habituation_rate=Float(0.9356526222803287);homeostasis.memory_alpha=Float(0.015051552458706641);network.initial_threshold=Float(0.28191200918096865);learning.stdp_a_minus=Float(0.0012142423052680055);memory.tag_decay_rate=Float(0.0029474058967016055);timing.stdp_window=Int(20);competition.strength=Float(0.1901096991473133);learning.stdp_a_plus=Float(0.00877706849147125);timing.stp_recovery_tau=Float(85.73740134847756);memory.dopamine_sensitivity=Float(5.171239844097579);energy.cost_fire_ratio=Float(0.021836142300589972);curiosity.scale=Float(0.17773273514530918);network.initial_exc_weight=Float(0.07476599150215416);learning.trace_increment=Float(0.10687518459904827);timing.stdp_tau_plus=Float(41.66936238335198);learning.weight_decay=Float(1.2551794648003335e-5);energy.recovery_rate=Float(8.046006291882602);memory.weight_clamp=Float(1.2252347684058442);learning.base_learning_rate=Float(0.0074178511396886864);homeostasis.target_firing_rate=Float(0.13598648200882285);timing.refractory_period=Int(7);timing.eligibility_trace_tau=Float(104.12561025745893)"
8,0.328880,0,Completed,"working_memory.capacity=Int(5);network.initial_exc_weight=Float(0.04718093889001313);timing.stp_recovery_tau=Float(129.79172376910964);timing.eligibility_trace_tau=Float(126.87645374262074);timing.refractory_period=Int(1);homeostasis.target_firing_rate=Float(0.031943741692682666);network.inhibitory_ratio=Float(0.23143953609546639);homeostasis.homeo_eta=Float(0.01520403679731329);timing.stdp_window=Int(45);homeostasis.homeo_interval=Int(4);energy.cost_fire_ratio=Float(0.0343692479479055);predictive.state_learning_rate=Float(0.016117773338217123);memory.consolidation_rate=Float(0.0005286931453733908);memory.dopamine_sensitivity=Float(1.7227839242487177);learning.trace_increment=Float(0.1258203406179837);learning.base_learning_rate=Float(0.005738683258829155);curiosity.scale=Float(0.08642239157958477);learning.stdp_a_plus=Float(0.0020990615657268783);learning.istdp_rate=Float(0.0007410469718881958);homeostasis.meta_threshold=Float(0.08206130659255695);memory.weight_clamp=Float(2.2870228554324763);learning.weight_decay=Float(6.494067942753046e-5);competition.strength=Float(0.183672175669035);homeostasis.memory_alpha=Float(0.012616045053760745);timing.stdp_tau_minus=Float(6.663859454371003);curiosity.habituation_rate=Float(0.9174132115012997);network.initial_threshold=Float(0.21029151717906155);learning.stdp_a_minus=Float(0.0028837484363244906);timing.stdp_tau_plus=Float(36.84866636219637);network.initial_inh_weight=Float(0.6334139041447577);stp.use_fraction=Float(0.16082501642192365);energy.recovery_rate=Float(6.7613344112786775);curiosity.surprise_threshold=Float(0.0019886245488234863);memory.tag_decay_rate=Float(0.00268002962311582);learning.ltp_ltd_ratio=Float(1.7838439717385555)"
9,0.654991,0,Completed,"network.initial_inh_weight=Float(0.7288491020046288);timing.stdp_tau_minus=Float(8.37886391984738);energy.recovery_rate=Float(10.014697512848);energy.cost_fire_ratio=Float(0.05886615317055632);learning.ltp_ltd_ratio=Float(1.3856695544406934);network.initial_exc_weight=Float(0.06272051659708855);homeostasis.homeo_interval=Int(8);working_memory.capacity=Int(7);learning.stdp_a_minus=Float(0.0035197354118874542);timing.refractory_period=Int(6);homeostasis.meta_threshold=Float(0.10260952714658564);predictive.state_learning_rate=Float(0.06164902435862039);learning.istdp_rate=Float(0.00011930313981113514);curiosity.surprise_threshold=Float(0.001325811038841654);learning.weight_decay=Float(1.2627266178602988e-5);homeostasis.memory_alpha=Float(0.011510550910933722);timing.stp_recovery_tau=Float(161.69787260277613);timing.eligibility_trace_tau=Float(107.53632616463115);memory.dopamine_sensitivity=Float(1.5639047232838126);stp.use_fraction=Float(0.13299085627845275);timing.stdp_window=Int(34);learning.trace_increment=Float(0.15442523730556137);memory.consolidation_rate=Float(0.0002650474785308943);memory.tag_decay_rate=Float(0.0010393732715026694);learning.stdp_a_plus=Float(0.005680453902401233);curiosity.habituation_rate=Float(0.9411116639243233);learning.base_learning_rate=Float(0.006418536402910089);homeostasis.homeo_eta=Float(0.06839700085235567);network.inhibitory_ratio=Float(0.12299613517778836);homeostasis.target_firing_rate=Float(0.10936042218919853);network.initial_threshold=Float(0.13141631615148308);memory.weight_clamp=Float(1.8651341919007558);timing.stdp_tau_plus=Float(51.71938500872799);curiosity.scale=Float(0.2066872404438181);competition.strength=Float(0.14517321745985495)"
