trial,score,duration_ms,status,config
0,0.645179,0,Completed,"homeostasis.meta_alpha=Float(0.0020042378863610803);working_memory.decay_rate=Float(0.005192123553907208);homeostasis.homeo_interval=Int(1);timing.stdp_tau_plus=Float(31.15563112337972);homeostasis.target_firing_rate=Float(0.09597328987577308);sleep.interval=Int(4812);energy.recovery_rate=Float(6.277368340007348);homeostasis.meta_threshold=Float(0.17099759353347999);network.initial_threshold=Float(0.15290239985401333);learning.stdp_a_plus=Float(0.0063615204170548905);timing.eligibility_trace_tau=Float(87.06544420774765);learning.trace_increment=Float(0.09809717514973534);timing.stp_recovery_tau=Float(158.63884919291334);sleep.replay_noise=Float(0.033088404925793506);homeostasis.memory_alpha=Float(0.011236191647639624);predictive.inference_iterations=Int(1);memory.dopamine_sensitivity=Float(5.140849162857246);learning.ltp_ltd_ratio=Float(1.406824748825008);timing.stdp_tau_minus=Float(23.73354564042146);energy.plasticity_cost_factor=Float(0.040692588593972054);memory.consolidation_rate=Float(0.00017249221528191054);homeostasis.homeo_eta=Float(0.048239378624611313);curiosity.scale=Float(0.24167158482868029);working_memory.recurrent_strength=Float(0.6893954050818913);timing.stdp_window=Int(34);curiosity.habituation_rate=Float(0.9004582351659095);learning.stdp_a_minus=Float(0.00840553816794684);energy.max_energy=Float(109.72649196854944);learning.weight_decay=Float(1.3052188359540603e-5);memory.weight_clamp=Float(2.9615655955769045);stp.use_fraction=Float(0.10174991251010213);network.initial_exc_weight=Float(0.0532728943632154);working_memory.capacity=Int(6);memory.tag_decay_rate=Float(0.0014440325338098677);learning.base_learning_rate=Float(0.00506120051235628);energy.cost_fire_ratio=Float(0.06538461441066688);timing.refractory_period=Int(4);competition.strength=Float(0.22009096008727583);curiosity.surprise_threshold=Float(0.0010370980724859688);network.initial_inh_weight=Float(0.7802379806712822);memory.capture_threshold=Float(0.14417097278502095);competition.interval=Int(10);learning.istdp_rate=Float(0.0005730070458377117);predictive.state_learning_rate=Float(0.010402768513888216);network.inhibitory_ratio=Float(0.15565523085083238)"
1,0.277425,0,Completed,"learning.trace_increment=Float(0.06522965706308131);competition.interval=Int(7);working_memory.capacity=Int(5);working_memory.recurrent_strength=Float(0.622153024368955);network.initial_inh_weight=Float(0.2340144262029823);memory.dopamine_sensitivity=Float(4.409792798899532);learning.weight_decay=Float(9.652820246351272e-5);competition.strength=Float(0.1726866646839042);timing.eligibility_trace_tau=Float(90.94661134930195);timing.stdp_window=Int(49);stp.use_fraction=Float(0.05021338014635569);network.initial_exc_weight=Float(0.049304267456593054);curiosity.scale=Float(0.22636299276174116);memory.tag_decay_rate=Float(0.004262560764269052);timing.stdp_tau_minus=Float(19.827270223718898);homeostasis.homeo_eta=Float(0.013030589279157134);homeostasis.homeo_interval=Int(6);homeostasis.target_firing_rate=Float(0.11904747059313754);learning.stdp_a_plus=Float(0.0015814784175364265);learning.istdp_rate=Float(0.0005025607824246226);curiosity.habituation_rate=Float(0.9091794929474545);sleep.interval=Int(983);network.inhibitory_ratio=Float(0.1372732487128287);homeostasis.meta_threshold=Float(0.0608947781289217);memory.consolidation_rate=Float(0.0002456008455301783);energy.cost_fire_ratio=Float(0.07383244077298613);timing.stp_recovery_tau=Float(89.63712359304472);memory.capture_threshold=Float(0.06658576529393573);energy.max_energy=Float(52.5998550706077);timing.stdp_tau_plus=Float(49.991211064623485);timing.refractory_period=Int(1);learning.base_learning_rate=Float(0.0011371954451993604);network.initial_threshold=Float(0.24272976371988883);homeostasis.memory_alpha=Float(0.010008727505766946);predictive.inference_iterations=Int(5);energy.plasticity_cost_factor=Float(0.07452981597383734);sleep.replay_noise=Float(0.01189308483430489);working_memory.decay_rate=Float(0.01722083910569229);homeostasis.meta_alpha=Float(0.002118946754754813);learning.ltp_ltd_ratio=Float(1.557325650834787);learning.stdp_a_minus=Float(0.004338870248192106);predictive.state_learning_rate=Float(0.011646340704202332);curiosity.surprise_threshold=Float(0.004183928323303876);memory.weight_clamp=Float(2.6929946284957684);energy.recovery_rate=Float(7.193873108875443)"
2,0.350534,0,Completed,"learning.trace_increment=Float(0.11384429989006471);timing.stdp_tau_plus=Float(19.233941945534653);network.initial_inh_weight=Float(0.6481431105519047);competition.strength=Float(0.2092667543583705);network.initial_threshold=Float(0.10919248294299294);network.inhibitory_ratio=Float(0.22955085603276987);homeostasis.meta_threshold=Float(0.06446531556184994);timing.eligibility_trace_tau=Float(96.72874717233489);sleep.interval=Int(558);energy.max_energy=Float(62.25317197671467);curiosity.scale=Float(0.020455422157062083);timing.stdp_tau_minus=Float(5.033467944020747);learning.ltp_ltd_ratio=Float(2.0972069609205253);working_memory.capacity=Int(5);timing.refractory_period=Int(7);memory.capture_threshold=Float(0.06084253582191713);curiosity.habituation_rate=Float(0.9227970844429911);homeostasis.memory_alpha=Float(0.01007379635325652);predictive.inference_iterations=Int(1);competition.interval=Int(12);memory.consolidation_rate=Float(0.00011034415155697145);memory.weight_clamp=Float(1.2459535580701087);learning.istdp_rate=Float(0.00045971911675765214);curiosity.surprise_threshold=Float(0.0011388046387548617);memory.tag_decay_rate=Float(0.0028127825662474753);learning.base_learning_rate=Float(0.006835932442455231);timing.stp_recovery_tau=Float(65.14987007601883);energy.cost_fire_ratio=Float(0.01682957141353506);network.initial_exc_weight=Float(0.0825071222503919);energy.plasticity_cost_factor=Float(0.08710028829218361);homeostasis.meta_alpha=Float(0.0011374666887672936);energy.recovery_rate=Float(5.281493027760064);learning.weight_decay=Float(0.0002280123668809163);learning.stdp_a_minus=Float(0.001023530295367259);working_memory.decay_rate=Float(0.005139616786662117);stp.use_fraction=Float(0.06418388652712663);homeostasis.homeo_interval=Int(3);learning.stdp_a_plus=Float(0.005954071897139067);homeostasis.target_firing_rate=Float(0.0929134383478466);working_memory.recurrent_strength=Float(0.7064667819082893);memory.dopamine_sensitivity=Float(3.8914157510482275);timing.stdp_window=Int(49);predictive.state_learning_rate=Float(0.02885536627645255);homeostasis.homeo_eta=Float(0.013289913674664462);sleep.replay_noise=Float(0.014411074827520893)"
3,0.652383,0,Completed,"learning.stdp_a_minus=Float(0.004013838670714206);timing.stdp_tau_minus=Float(17.773545172012774);timing.refractory_period=Int(4);timing.stp_recovery_tau=Float(96.23607192100866);learning.weight_decay=Float(1.0015774888864915e-5);network.inhibitory_ratio=Float(0.2381862515672544);sleep.interval=Int(4402);sleep.replay_noise=Float(0.018752653496049498);competition.interval=Int(12);memory.weight_clamp=Float(2.5200383061356932);homeostasis.memory_alpha=Float(0.013206937967839737);timing.eligibility_trace_tau=Float(65.56130376292096);learning.istdp_rate=Float(0.0008517911276798337);energy.recovery_rate=Float(1.4511924331195636);working_memory.recurrent_strength=Float(0.7039376784125198);memory.dopamine_sensitivity=Float(5.427996355674229);network.initial_threshold=Float(0.12321481174398559);memory.tag_decay_rate=Float(0.0013422934479488573);learning.ltp_ltd_ratio=Float(1.9973722936113767);working_memory.capacity=Int(5);learning.base_learning_rate=Float(0.004369072657193278);homeostasis.homeo_interval=Int(7);predictive.state_learning_rate=Float(0.03080576866615648);energy.max_energy=Float(52.947363188245184);curiosity.habituation_rate=Float(0.9371282144789883);memory.capture_threshold=Float(0.09940443696673132);energy.cost_fire_ratio=Float(0.07375118731608409);homeostasis.meta_alpha=Float(0.0063788593034618014);learning.stdp_a_plus=Float(0.006371324090624211);memory.consolidation_rate=Float(0.00045241417214758037);competition.strength=Float(0.20076776326186208);working_memory.decay_rate=Float(0.0065876183319339985);predictive.inference_iterations=Int(3);energy.plasticity_cost_factor=Float(0.07469970708356696);network.initial_exc_weight=Float(0.05612120621514535);homeostasis.meta_threshold=Float(0.10994018023133748);network.initial_inh_weight=Float(0.7558163599706759);curiosity.surprise_threshold=Float(0.004681696323669171);learning.trace_increment=Float(0.16476279477699723);curiosity.scale=Float(0.158797879763599);homeostasis.homeo_eta=Float(0.03252660068274782);homeostasis.target_firing_rate=Float(0.11304105999950344);timing.stdp_tau_plus=Float(40.73333918366892);timing.stdp_window=Int(30);stp.use_fraction=Float(0.09004778475268926)"
4,0.290653,0,Completed,"learning.weight_decay=Float(2.64684425991056e-5);homeostasis.target_firing_rate=Float(0.12401771596493612);network.initial_inh_weight=Float(0.5817492944378754);timing.stdp_window=Int(52);memory.weight_clamp=Float(2.6183949722019944);network.initial_threshold=Float(0.1849124448571616);learning.base_learning_rate=Float(0.009304852294168359);stp.use_fraction=Float(0.1438403031541594);sleep.replay_noise=Float(0.08628341518255961);learning.stdp_a_minus=Float(0.0028789148834196835);learning.trace_increment=Float(0.10346521491964003);energy.recovery_rate=Float(10.344799999460765);curiosity.scale=Float(0.056779996339879);working_memory.capacity=Int(6);timing.refractory_period=Int(1);curiosity.surprise_threshold=Float(0.004818404874223119);curiosity.habituation_rate=Float(0.9122639047913867);homeostasis.homeo_interval=Int(10);energy.cost_fire_ratio=Float(0.021417234370349262);learning.stdp_a_plus=Float(0.0019577636442298643);competition.interval=Int(12);competition.strength=Float(0.24417189241949747);energy.max_energy=Float(115.41508387667479);working_memory.decay_rate=Float(0.010664711365560343);memory.tag_decay_rate=Float(0.004448395160088623);working_memory.recurrent_strength=Float(0.5959907803675139);network.inhibitory_ratio=Float(0.19785228504283642);network.initial_exc_weight=Float(0.05890563352240846);timing.stdp_tau_plus=Float(53.531744629966965);predictive.inference_iterations=Int(1);homeostasis.meta_alpha=Float(0.005621270457831854);predictive.state_learning_rate=Float(0.01364650071061179);memory.dopamine_sensitivity=Float(1.692568755869886);learning.ltp_ltd_ratio=Float(1.9289767194839607);homeostasis.meta_threshold=Float(0.09544339725874443);memory.consolidation_rate=Float(0.00042690995166839573);sleep.interval=Int(1085);timing.stp_recovery_tau=Float(58.50602047483111);timing.eligibility_trace_tau=Float(51.590443333935674);timing.stdp_tau_minus=Float(17.936109596150022);homeostasis.homeo_eta=Float(0.041768601417950905);energy.plasticity_cost_factor=Float(0.09764017843120736);learning.istdp_rate=Float(0.0006219997894746937);homeostasis.memory_alpha=Float(0.005628991022543295);memory.capture_threshold=Float(0.10682199042216456)"
5,0.390096,0,Completed,"timing.refractory_period=Int(2);learning.weight_decay=Float(3.486946779612914e-5);working_memory.recurrent_strength=Float(0.5742695970284449);homeostasis.meta_alpha=Float(0.0056107760453197614);network.initial_exc_weight=Float(0.05056377906598239);memory.dopamine_sensitivity=Float(1.9536915139653002);predictive.inference_iterations=Int(2);predictive.state_learning_rate=Float(0.040862387898420505);memory.weight_clamp=Float(2.7870461637589723);homeostasis.meta_threshold=Float(0.08701124952337966);stp.use_fraction=Float(0.06858275424888888);homeostasis.target_firing_rate=Float(0.09882130883373817);competition.interval=Int(11);timing.stdp_window=Int(19);curiosity.scale=Float(0.08492941615286502);working_memory.capacity=Int(5);timing.stdp_tau_minus=Float(11.393926818015501);timing.stp_recovery_tau=Float(153.97961266664313);memory.tag_decay_rate=Float(0.003599808356444183);learning.istdp_rate=Float(0.0003387575628848699);memory.capture_threshold=Float(0.07706229250809697);energy.plasticity_cost_factor=Float(0.07451508292102141);network.inhibitory_ratio=Float(0.22835015888054627);network.initial_threshold=Float(0.294946628574968);energy.recovery_rate=Float(10.24325185670593);timing.eligibility_trace_tau=Float(135.63683604272686);curiosity.surprise_threshold=Float(0.002924154457411011);homeostasis.homeo_eta=Float(0.04472796630011386);homeostasis.memory_alpha=Float(0.010538393025662132);learning.base_learning_rate=Float(0.0016512900105340729);learning.stdp_a_plus=Float(0.0019791949315558334);sleep.replay_noise=Float(0.056402252252772976);sleep.interval=Int(3617);memory.consolidation_rate=Float(0.0004469479274482969);working_memory.decay_rate=Float(0.011740881796342403);homeostasis.homeo_interval=Int(4);energy.max_energy=Float(94.22499412769102);competition.strength=Float(0.1763032145044541);timing.stdp_tau_plus=Float(16.19369568214605);learning.stdp_a_minus=Float(0.004065507039296422);curiosity.habituation_rate=Float(0.9364826797983802);learning.ltp_ltd_ratio=Float(2.10952960748913);learning.trace_increment=Float(0.08192104114729935);energy.cost_fire_ratio=Float(0.03840844412995699);network.initial_inh_weight=Float(0.14114515256163318)"
6,0.609068,0,Completed,"learning.trace_increment=Float(0.14919197807302512);timing.stp_recovery_tau=Float(139.08757115460176);learning.istdp_rate=Float(0.00017678520286543148);curiosity.habituation_rate=Float(0.9482238949081451);sleep.interval=Int(4323);homeostasis.homeo_eta=Float(0.051331042588509124);predictive.state_learning_rate=Float(0.05733806338790026);working_memory.recurrent_strength=Float(0.5964198044143663);competition.strength=Float(0.25297446096152404);network.initial_exc_weight=Float(0.0744733192595824);network.initial_inh_weight=Float(0.34409377175478584);learning.stdp_a_plus=Float(0.00119699718800502);homeostasis.meta_threshold=Float(0.08532654135146331);homeostasis.target_firing_rate=Float(0.08664454501044111);network.initial_threshold=Float(0.11700979471602706);timing.stdp_window=Int(29);memory.capture_threshold=Float(0.1446609777968053);curiosity.surprise_threshold=Float(0.002605343555517138);working_memory.decay_rate=Float(0.013834938508838863);memory.dopamine_sensitivity=Float(2.22198961074976);stp.use_fraction=Float(0.1498590440954685);timing.stdp_tau_minus=Float(13.199276580288839);homeostasis.homeo_interval=Int(6);learning.base_learning_rate=Float(0.003872889091688408);learning.weight_decay=Float(2.6477758295121906e-5);energy.max_energy=Float(80.61804162119935);curiosity.scale=Float(0.0539694130872305);sleep.replay_noise=Float(0.08724646978714654);timing.eligibility_trace_tau=Float(67.09079063202383);homeostasis.memory_alpha=Float(0.01631061052035379);energy.plasticity_cost_factor=Float(0.01750948544300848);network.inhibitory_ratio=Float(0.2138491923021733);timing.stdp_tau_plus=Float(19.38331098048559);memory.tag_decay_rate=Float(0.0012777171947661837);energy.cost_fire_ratio=Float(0.05608816377960336);learning.ltp_ltd_ratio=Float(1.1765660720822788);working_memory.capacity=Int(5);learning.stdp_a_minus=Float(0.0037796925442488013);competition.interval=Int(11);memory.weight_clamp=Float(2.22897300990973);timing.refractory_period=Int(2);predictive.inference_iterations=Int(5);energy.recovery_rate=Float(9.559953488539893);memory.consolidation_rate=Float(0.00041476111633016055);homeostasis.meta_alpha=Float(0.0011460615271295012)"
7,0.328504,0,Completed,"sleep.replay_noise=Float(0.06582656754316449);homeostasis.meta_alpha=Float(0.003422614667192574);memory.weight_clamp=Float(1.1129159257078813);working_memory.decay_rate=Float(0.009647402554753397);learning.trace_increment=Float(0.10548577896679887);memory.consolidation_rate=Float(0.0005429684957990929);learning.stdp_a_plus=Float(0.001271357512400804);homeostasis.homeo_interval=Int(9);timing.refractory_period=Int(8);learning.ltp_ltd_ratio=Float(1.6498288001515504);energy.max_energy=Float(113.18390919202564);competition.interval=Int(12);working_memory.recurrent_strength=Float(0.5231648036565549);memory.tag_decay_rate=Float(0.004092598424867722);energy.recovery_rate=Float(10.49062495899634);network.inhibitory_ratio=Float(0.1789281973100566);network.initial_threshold=Float(0.1123482831782541);timing.stdp_window=Int(21);stp.use_fraction=Float(0.09872938723972285);homeostasis.meta_threshold=Float(0.12025981719378843);curiosity.surprise_threshold=Float(0.009989489388533708);predictive.state_learning_rate=Float(0.010782608052395901);curiosity.scale=Float(0.13123562394902938);learning.istdp_rate=Float(0.00084859427336242);homeostasis.memory_alpha=Float(0.011458763412284462);memory.dopamine_sensitivity=Float(1.5434611399060723);learning.stdp_a_minus=Float(0.0077636358297416795);energy.cost_fire_ratio=Float(0.013783162916959999);curiosity.habituation_rate=Float(0.9085694340517674);predictive.inference_iterations=Int(3);learning.base_learning_rate=Float(0.0028214692155282975);network.initial_inh_weight=Float(0.12480728305522523);timing.stp_recovery_tau=Float(103.3726191039599);memory.capture_threshold=Float(0.14955941346696566);timing.stdp_tau_plus=Float(41.38532271408134);timing.stdp_tau_minus=Float(26.974772664712457);learning.weight_decay=Float(1.693429133229873e-5);sleep.interval=Int(1894);homeostasis.target_firing_rate=Float(0.05436737755880863);timing.eligibility_trace_tau=Float(75.08961847368597);homeostasis.homeo_eta=Float(0.03100156869787556);working_memory.capacity=Int(3);energy.plasticity_cost_factor=Float(0.014991759770780745);network.initial_exc_weight=Float(0.043469968527432054);competition.strength=Float(0.28082398320101765)"
8,0.447280,0,Completed,"memory.weight_clamp=Float(1.4935574085669492);predictive.state_learning_rate=Float(0.015077235619739896);homeostasis.homeo_eta=Float(0.042937184963742034);competition.strength=Float(0.23276901155076202);memory.dopamine_sensitivity=Float(5.069551785027039);stp.use_fraction=Float(0.12034645906424767);homeostasis.meta_alpha=Float(0.0036652822685382196);learning.stdp_a_plus=Float(0.001536942787333826);energy.plasticity_cost_factor=Float(0.01409927440204175);homeostasis.meta_threshold=Float(0.10408428965697165);homeostasis.target_firing_rate=Float(0.05969001884797821);learning.ltp_ltd_ratio=Float(1.2345777561968607);curiosity.surprise_threshold=Float(0.003022044010088941);sleep.interval=Int(5042);working_memory.capacity=Int(7);learning.stdp_a_minus=Float(0.00854879565215974);timing.stp_recovery_tau=Float(162.4655683786761);energy.max_energy=Float(84.10008302519566);curiosity.scale=Float(0.2101413843292141);working_memory.recurrent_strength=Float(0.6813687506437694);network.inhibitory_ratio=Float(0.16159485775548846);memory.consolidation_rate=Float(0.0008508181768072868);network.initial_threshold=Float(0.11951473197422799);energy.recovery_rate=Float(7.202903531073337);energy.cost_fire_ratio=Float(0.060789643267819105);learning.trace_increment=Float(0.11319317333707428);homeostasis.memory_alpha=Float(0.013273357866371146);predictive.inference_iterations=Int(1);memory.capture_threshold=Float(0.08450783826050065);network.initial_inh_weight=Float(0.5953501398431487);learning.weight_decay=Float(1.2075266042131542e-5);learning.base_learning_rate=Float(0.001751487952967082);timing.stdp_tau_plus=Float(18.33247161198698);competition.interval=Int(8);timing.stdp_window=Int(25);sleep.replay_noise=Float(0.055387032762027125);memory.tag_decay_rate=Float(0.004138209996602875);timing.eligibility_trace_tau=Float(143.93293873775752);timing.stdp_tau_minus=Float(10.214126766709175);learning.istdp_rate=Float(0.00047638809442906955);network.initial_exc_weight=Float(0.06058220329009513);working_memory.decay_rate=Float(0.010415378196968278);curiosity.habituation_rate=Float(0.910028676489142);homeostasis.homeo_interval=Int(5);timing.refractory_period=Int(6)"
9,0.626521,0,Completed,"network.initial_threshold=Float(0.1034682506703465);memory.weight_clamp=Float(2.855192251935413);timing.eligibility_trace_tau=Float(80.56671552383557);curiosity.habituation_rate=Float(0.9358889598995189);network.initial_inh_weight=Float(0.45529662863241893);learning.stdp_a_plus=Float(0.0080900532696114);timing.stdp_window=Int(34);memory.capture_threshold=Float(0.14142241664031113);learning.istdp_rate=Float(0.0009138577283504999);homeostasis.homeo_eta=Float(0.0629364647016107);working_memory.decay_rate=Float(0.016977664131410185);energy.cost_fire_ratio=Float(0.028913802122444335);working_memory.capacity=Int(5);timing.stdp_tau_minus=Float(11.21099902112293);energy.max_energy=Float(83.12717746783215);working_memory.recurrent_strength=Float(0.591209335122539);competition.interval=Int(6);curiosity.scale=Float(0.09418013179306409);timing.stdp_tau_plus=Float(15.144090527934974);energy.plasticity_cost_factor=Float(0.08513178372176637);competition.strength=Float(0.13953513643693533);predictive.inference_iterations=Int(1);learning.ltp_ltd_ratio=Float(1.177406786050975);energy.recovery_rate=Float(5.0826627677499);homeostasis.meta_alpha=Float(0.004489903601975318);homeostasis.target_firing_rate=Float(0.08636932491240308);homeostasis.homeo_interval=Int(4);timing.refractory_period=Int(6);timing.stp_recovery_tau=Float(88.25790697900996);predictive.state_learning_rate=Float(0.014538735308476491);learning.stdp_a_minus=Float(0.0017450838153728822);sleep.interval=Int(3626);learning.weight_decay=Float(1.4745011239255009e-5);network.inhibitory_ratio=Float(0.1725641577673527);stp.use_fraction=Float(0.08632004664659501);homeostasis.memory_alpha=Float(0.009337395428940508);memory.tag_decay_rate=Float(0.003750680067210393);learning.base_learning_rate=Float(0.0020962488885739616);network.initial_exc_weight=Float(0.044181128545706425);learning.trace_increment=Float(0.08222694644523482);curiosity.surprise_threshold=Float(0.006548072905739688);memory.consolidation_rate=Float(0.00037181301695536384);homeostasis.meta_threshold=Float(0.1256911833481144);memory.dopamine_sensitivity=Float(3.1003723817645508);sleep.replay_noise=Float(0.08409554272752616)"
