trial,score,duration_ms,status,config
0,0.646059,884,Completed,"learning.ltp_ltd_ratio=Float(1.7933488047666262);memory.dopamine_sensitivity=Float(2.9328243504121954);learning.stdp_a_plus=Float(0.002449504157210136);predictive.state_learning_rate=Float(0.04000680638971805);network.adaptive_threshold_multiplier=Float(2.3798228410025644);working_memory.capacity=Int(6);homeostasis.meta_alpha=Float(0.0010526429010066084);curiosity.scale=Float(0.1261204072311801);network.initial_exc_weight=Float(0.0422957796399239);learning.weight_decay=Float(0.00025120844094788216);energy.plasticity_cost_factor=Float(0.07121700135553652);competition.strength=Float(0.14509268571741243);learning.istdp_rate=Float(0.00025841737581809706);timing.eligibility_trace_tau=Float(101.83278626122417);homeostasis.memory_alpha=Float(0.00853284063497652);memory.tag_decay_rate=Float(0.001962196211877015);homeostasis.homeo_eta=Float(0.0467386265499036);curiosity.surprise_threshold=Float(0.004284370816055956);homeostasis.target_firing_rate=Float(0.13264568511458247);working_memory.recurrent_strength=Float(0.6090405578746089);energy.recovery_rate=Float(2.829460505822082);timing.refractory_period=Int(7);curiosity.habituation_rate=Float(0.9393962006669948);learning.stdp_a_minus=Float(0.008326649492837904);predictive.inference_iterations=Int(3);energy.max_energy=Float(114.75282642402519);memory.capture_threshold=Float(0.05309991446628699);timing.stdp_tau_plus=Float(26.053844563675543);timing.stdp_window=Int(52);energy.cost_fire_ratio=Float(0.03908210533416879);working_memory.decay_rate=Float(0.009279562948768734);memory.weight_clamp=Float(2.1364606528394994);timing.stdp_tau_minus=Float(6.511876344799967);sleep.replay_noise=Float(0.0125215534825161);competition.interval=Int(8);learning.base_learning_rate=Float(0.009181744359296928);network.initial_threshold=Float(0.17781168075227452);network.initial_inh_weight=Float(0.4674239209311605);stp.use_fraction=Float(0.11666213077648127);homeostasis.meta_threshold=Float(0.05272010039834308);network.inhibitory_ratio=Float(0.1489775916209858);learning.trace_increment=Float(0.06903882914200399);timing.stp_recovery_tau=Float(131.07655409981416);homeostasis.homeo_interval=Int(7);sleep.interval=Int(1355);memory.consolidation_rate=Float(0.0002587889357756801)"
1,0.626944,1576,Completed,"timing.eligibility_trace_tau=Float(73.51036954333911);homeostasis.homeo_interval=Int(6);homeostasis.memory_alpha=Float(0.008525973592367245);working_memory.recurrent_strength=Float(0.6977777063957828);learning.weight_decay=Float(1.4047956351689736e-5);energy.cost_fire_ratio=Float(0.037971738266752035);homeostasis.target_firing_rate=Float(0.1113327275778476);network.initial_inh_weight=Float(0.7097149744186817);curiosity.scale=Float(0.018149346517899387);learning.stdp_a_minus=Float(0.0011155012974341952);timing.stdp_tau_plus=Float(24.263637453379026);network.inhibitory_ratio=Float(0.13982396061528102);predictive.state_learning_rate=Float(0.03617322459443855);competition.strength=Float(0.1044574539187498);timing.refractory_period=Int(2);learning.istdp_rate=Float(0.00018245636709211024);sleep.replay_noise=Float(0.05970708804896732);curiosity.surprise_threshold=Float(0.00280236656961118);sleep.interval=Int(3334);timing.stp_recovery_tau=Float(124.70228949671198);learning.trace_increment=Float(0.11330410840765204);memory.dopamine_sensitivity=Float(5.221318685501189);energy.max_energy=Float(102.86088356582002);homeostasis.meta_threshold=Float(0.06943742769524396);curiosity.habituation_rate=Float(0.9221719551661918);network.adaptive_threshold_multiplier=Float(1.9799426431953775);homeostasis.homeo_eta=Float(0.0531891464483224);memory.tag_decay_rate=Float(0.0014987340827380081);working_memory.capacity=Int(3);learning.base_learning_rate=Float(0.007714678818365798);network.initial_exc_weight=Float(0.08414869127193203);memory.weight_clamp=Float(1.7872747603774246);memory.capture_threshold=Float(0.1042381209796849);learning.ltp_ltd_ratio=Float(2.1267081252594267);energy.plasticity_cost_factor=Float(0.10242114192629725);competition.interval=Int(5);timing.stdp_tau_minus=Float(22.000653554452736);learning.stdp_a_plus=Float(0.007957473668633972);stp.use_fraction=Float(0.052832971979592226);timing.stdp_window=Int(39);working_memory.decay_rate=Float(0.006930771087018099);energy.recovery_rate=Float(7.120471927831059);network.initial_threshold=Float(0.2726888853527347);homeostasis.meta_alpha=Float(0.0024231993158718673);memory.consolidation_rate=Float(0.00023205113797926985);predictive.inference_iterations=Int(3)"
2,0.651816,764,Completed,"timing.eligibility_trace_tau=Float(84.44526185234223);homeostasis.homeo_interval=Int(9);learning.ltp_ltd_ratio=Float(1.5506099044695985);memory.tag_decay_rate=Float(0.004349145877371712);learning.weight_decay=Float(0.0001035445632317301);predictive.state_learning_rate=Float(0.012533962221957485);learning.trace_increment=Float(0.07251901239448204);timing.stdp_tau_minus=Float(6.070203021185054);working_memory.recurrent_strength=Float(0.6818889556526879);learning.stdp_a_minus=Float(0.0037500060449440335);memory.weight_clamp=Float(1.2059667138862347);network.inhibitory_ratio=Float(0.1460594164547649);timing.stdp_tau_plus=Float(49.25938682613415);sleep.replay_noise=Float(0.03303240462044077);homeostasis.homeo_eta=Float(0.03549676826155242);curiosity.surprise_threshold=Float(0.008589178892426138);sleep.interval=Int(2121);homeostasis.memory_alpha=Float(0.010627040244417681);homeostasis.meta_threshold=Float(0.1413853767773568);curiosity.habituation_rate=Float(0.9242626344154735);homeostasis.meta_alpha=Float(0.0019140045539570026);competition.interval=Int(8);working_memory.capacity=Int(5);timing.stp_recovery_tau=Float(118.0170770078006);competition.strength=Float(0.28052271152393027);learning.base_learning_rate=Float(0.0041798166480522);energy.plasticity_cost_factor=Float(0.07099024208285619);stp.use_fraction=Float(0.16613226230631867);memory.dopamine_sensitivity=Float(4.006471969188766);energy.recovery_rate=Float(3.793270311037374);curiosity.scale=Float(0.010925518705259431);energy.max_energy=Float(115.9939418118433);network.initial_threshold=Float(0.29109402005353335);memory.capture_threshold=Float(0.15439128017853743);network.initial_inh_weight=Float(0.3873775186686259);network.initial_exc_weight=Float(0.041667918989357525);predictive.inference_iterations=Int(5);learning.istdp_rate=Float(0.00045812007411960505);memory.consolidation_rate=Float(0.00014140424224523538);network.adaptive_threshold_multiplier=Float(2.247451170987322);timing.stdp_window=Int(39);learning.stdp_a_plus=Float(0.0010674869603927264);working_memory.decay_rate=Float(0.005095883480474449);homeostasis.target_firing_rate=Float(0.10769544787185627);energy.cost_fire_ratio=Float(0.06509524159484897);timing.refractory_period=Int(2)"
3,0.640827,953,Completed,"energy.max_energy=Float(90.21947929640754);homeostasis.memory_alpha=Float(0.021785844813806993);learning.stdp_a_minus=Float(0.005516109378420734);memory.tag_decay_rate=Float(0.00275446798533427);network.initial_threshold=Float(0.2476160906598941);timing.stdp_window=Int(53);learning.istdp_rate=Float(0.0003377359151438026);sleep.replay_noise=Float(0.0397605587704481);learning.trace_increment=Float(0.11428071037267351);memory.capture_threshold=Float(0.14237836582874375);memory.dopamine_sensitivity=Float(3.7127331052237964);working_memory.decay_rate=Float(0.009663198349895414);competition.strength=Float(0.114033835757066);working_memory.capacity=Int(7);energy.recovery_rate=Float(12.058012650128923);timing.stdp_tau_minus=Float(18.642286562510364);timing.stdp_tau_plus=Float(19.607821681911084);learning.weight_decay=Float(8.856944616013785e-5);homeostasis.homeo_eta=Float(0.03701459171178126);memory.weight_clamp=Float(1.074889518337997);network.adaptive_threshold_multiplier=Float(1.0295422908453138);homeostasis.homeo_interval=Int(3);sleep.interval=Int(2871);curiosity.surprise_threshold=Float(0.007868664816829114);stp.use_fraction=Float(0.16785614603847643);homeostasis.meta_threshold=Float(0.11532821893117583);curiosity.scale=Float(0.14159513075640315);timing.eligibility_trace_tau=Float(56.83691559313673);curiosity.habituation_rate=Float(0.9199868837576329);competition.interval=Int(5);timing.refractory_period=Int(1);learning.stdp_a_plus=Float(0.002549832533204719);learning.ltp_ltd_ratio=Float(1.5744918339360718);memory.consolidation_rate=Float(0.00021148094091692876);energy.cost_fire_ratio=Float(0.03704785154365186);working_memory.recurrent_strength=Float(0.5661116005773916);predictive.state_learning_rate=Float(0.029808551875455024);network.inhibitory_ratio=Float(0.18868109974746622);predictive.inference_iterations=Int(2);network.initial_exc_weight=Float(0.07189750083300693);energy.plasticity_cost_factor=Float(0.01362334816102482);homeostasis.meta_alpha=Float(0.006889393993835542);learning.base_learning_rate=Float(0.0010661609760292206);network.initial_inh_weight=Float(0.1926660843409286);timing.stp_recovery_tau=Float(155.3040030773971);homeostasis.target_firing_rate=Float(0.1274576497630816)"
4,0.642810,521,Completed,"homeostasis.homeo_interval=Int(9);curiosity.habituation_rate=Float(0.9004624208117515);sleep.interval=Int(2250);curiosity.scale=Float(0.10197175402473);homeostasis.meta_threshold=Float(0.12360290155597099);timing.stdp_tau_plus=Float(50.23354016249849);energy.cost_fire_ratio=Float(0.014187940127260037);learning.trace_increment=Float(0.13172104160341458);predictive.inference_iterations=Int(3);memory.capture_threshold=Float(0.10772201159450273);curiosity.surprise_threshold=Float(0.0026005496783742072);memory.consolidation_rate=Float(0.0007699222072641193);network.adaptive_threshold_multiplier=Float(2.1351090822450605);homeostasis.target_firing_rate=Float(0.12529955139739896);energy.max_energy=Float(55.43863314796207);network.initial_exc_weight=Float(0.05483379324545008);memory.weight_clamp=Float(1.0287741469286322);working_memory.decay_rate=Float(0.020201145559273014);learning.ltp_ltd_ratio=Float(1.7490456702069022);network.initial_threshold=Float(0.21669714267288734);network.inhibitory_ratio=Float(0.23944001748213548);energy.recovery_rate=Float(7.137254789037922);homeostasis.homeo_eta=Float(0.012375773845145429);learning.weight_decay=Float(4.842388212099441e-5);learning.base_learning_rate=Float(0.0013533452542776891);working_memory.capacity=Int(7);sleep.replay_noise=Float(0.019336158246578687);timing.stdp_tau_minus=Float(7.665047404045483);stp.use_fraction=Float(0.1315931188598259);homeostasis.meta_alpha=Float(0.002581779388827729);homeostasis.memory_alpha=Float(0.006239522490509032);competition.strength=Float(0.11288079126106594);learning.istdp_rate=Float(0.0005198139804514759);memory.dopamine_sensitivity=Float(5.104838511930974);energy.plasticity_cost_factor=Float(0.06141509528304802);timing.refractory_period=Int(9);timing.stdp_window=Int(14);memory.tag_decay_rate=Float(0.005041976852454018);predictive.state_learning_rate=Float(0.045270579962528666);timing.stp_recovery_tau=Float(58.72376823302446);learning.stdp_a_plus=Float(0.0017986352413809424);timing.eligibility_trace_tau=Float(116.22630759603524);network.initial_inh_weight=Float(0.7897722664498192);working_memory.recurrent_strength=Float(0.5879519313080124);learning.stdp_a_minus=Float(0.0021056960099368233);competition.interval=Int(9)"
5,0.645832,629,Completed,"stp.use_fraction=Float(0.05298337347409301);memory.capture_threshold=Float(0.16510893425790335);homeostasis.target_firing_rate=Float(0.09987831991861534);homeostasis.homeo_eta=Float(0.052013335970452185);learning.base_learning_rate=Float(0.008451663308006863);memory.consolidation_rate=Float(0.0005441794448777065);learning.weight_decay=Float(2.2964306313075293e-5);timing.stdp_window=Int(13);energy.max_energy=Float(93.63731968766947);network.adaptive_threshold_multiplier=Float(1.877585820359547);network.initial_exc_weight=Float(0.07993363990679701);working_memory.recurrent_strength=Float(0.7122536346577698);energy.cost_fire_ratio=Float(0.03001294475514743);curiosity.habituation_rate=Float(0.9493872412185621);predictive.state_learning_rate=Float(0.03477528519507406);learning.ltp_ltd_ratio=Float(1.6135028807012137);memory.tag_decay_rate=Float(0.0037087503706010327);curiosity.scale=Float(0.19463101043706552);energy.recovery_rate=Float(10.744777864251466);learning.istdp_rate=Float(0.0009194189968403363);timing.stdp_tau_plus=Float(42.126813717681635);working_memory.decay_rate=Float(0.005161313331230561);homeostasis.meta_threshold=Float(0.13585118166772908);sleep.replay_noise=Float(0.02679282142938879);network.inhibitory_ratio=Float(0.24446833062555373);homeostasis.memory_alpha=Float(0.018411915352954854);memory.weight_clamp=Float(1.4241317697856881);homeostasis.meta_alpha=Float(0.0027597906875418436);network.initial_threshold=Float(0.2685107430835513);energy.plasticity_cost_factor=Float(0.02801508051995539);competition.strength=Float(0.25069383255920696);timing.stp_recovery_tau=Float(163.6950057381054);homeostasis.homeo_interval=Int(10);learning.stdp_a_minus=Float(0.0016571419689937318);predictive.inference_iterations=Int(2);working_memory.capacity=Int(6);memory.dopamine_sensitivity=Float(3.027468230814549);learning.trace_increment=Float(0.07113596839391068);timing.stdp_tau_minus=Float(21.2057374001494);network.initial_inh_weight=Float(0.5110170336931518);timing.eligibility_trace_tau=Float(94.46665988669449);learning.stdp_a_plus=Float(0.002351787942276868);curiosity.surprise_threshold=Float(0.0012960369522700154);timing.refractory_period=Int(10);competition.interval=Int(10);sleep.interval=Int(2661)"
6,0.624483,1009,Completed,"homeostasis.target_firing_rate=Float(0.1275260144512928);learning.stdp_a_minus=Float(0.005781224880394941);network.initial_exc_weight=Float(0.07257343351900891);working_memory.decay_rate=Float(0.014347584348199152);curiosity.habituation_rate=Float(0.9237655044465246);homeostasis.meta_threshold=Float(0.09397275631641336);sleep.replay_noise=Float(0.010303284556209874);network.adaptive_threshold_multiplier=Float(1.0081986964233682);competition.interval=Int(12);stp.use_fraction=Float(0.14485153186713615);homeostasis.homeo_eta=Float(0.01877394572116991);timing.eligibility_trace_tau=Float(74.65107414355748);timing.refractory_period=Int(1);predictive.state_learning_rate=Float(0.016117773338217123);energy.cost_fire_ratio=Float(0.048602031012671534);learning.base_learning_rate=Float(0.0067692205645208964);memory.tag_decay_rate=Float(0.00245378348756499);network.initial_inh_weight=Float(0.5245939074607086);curiosity.surprise_threshold=Float(0.0034807905029477708);energy.recovery_rate=Float(11.438148843692185);learning.trace_increment=Float(0.10260952714658564);network.inhibitory_ratio=Float(0.162725243592338);energy.plasticity_cost_factor=Float(0.01702518436289979);predictive.inference_iterations=Int(3);timing.stdp_tau_plus=Float(28.826239525532873);working_memory.capacity=Int(6);competition.strength=Float(0.179043659679369);learning.istdp_rate=Float(0.00033309080784174854);memory.weight_clamp=Float(1.1316077672251519);curiosity.scale=Float(0.08903558900790186);network.initial_threshold=Float(0.22870228554324767);memory.dopamine_sensitivity=Float(3.7805500674947514);working_memory.recurrent_strength=Float(0.5481947946125164);learning.weight_decay=Float(1.7415180286580625e-5);memory.consolidation_rate=Float(0.00028837484363244926);learning.ltp_ltd_ratio=Float(1.0265055685365818);timing.stdp_tau_minus=Float(19.362510278439736);homeostasis.homeo_interval=Int(4);memory.capture_threshold=Float(0.0873190995392667);sleep.interval=Int(3935);homeostasis.memory_alpha=Float(0.01222056656020502);energy.max_energy=Float(55.74889051628972);learning.stdp_a_plus=Float(0.001325811038841654);timing.stp_recovery_tau=Float(150.35063287949902);homeostasis.meta_alpha=Float(0.0016515236332133097);timing.stdp_window=Int(42)"
7,0.646799,755,Completed,"energy.recovery_rate=Float(1.2369182874068894);learning.weight_decay=Float(3.119898194593451e-5);curiosity.surprise_threshold=Float(0.007292998162732521);homeostasis.target_firing_rate=Float(0.1166048911601782);curiosity.habituation_rate=Float(0.9413523939730023);competition.interval=Int(11);homeostasis.homeo_eta=Float(0.06839700085235567);learning.trace_increment=Float(0.07775352437229677);memory.weight_clamp=Float(2.442916767076337);memory.tag_decay_rate=Float(0.0026829344424513534);working_memory.recurrent_strength=Float(0.649383541301215);homeostasis.memory_alpha=Float(0.007154191957003923);working_memory.decay_rate=Float(0.01338177263993446);homeostasis.meta_threshold=Float(0.16169787260277613);learning.ltp_ltd_ratio=Float(1.3856695544406934);predictive.state_learning_rate=Float(0.017108687219735564);energy.max_energy=Float(58.01266937237528);network.initial_threshold=Float(0.11350791137980017);network.adaptive_threshold_multiplier=Float(1.8025618860969699);timing.stdp_tau_minus=Float(8.534335567041843);timing.eligibility_trace_tau=Float(55.07248373647347);energy.plasticity_cost_factor=Float(0.08858019562637903);learning.stdp_a_minus=Float(0.008180561027254377);homeostasis.homeo_interval=Int(2);network.initial_inh_weight=Float(0.39632657391399295);timing.refractory_period=Int(8);sleep.interval=Int(4543);memory.dopamine_sensitivity=Float(3.459295079218991);timing.stdp_tau_plus=Float(35.05042130012308);network.inhibitory_ratio=Float(0.16488506439255668);learning.stdp_a_plus=Float(0.0066105858078121665);network.initial_exc_weight=Float(0.08044274282186356);memory.consolidation_rate=Float(0.0005042704879892336);memory.capture_threshold=Float(0.13314629774148257);learning.istdp_rate=Float(0.00014130962040698303);homeostasis.meta_alpha=Float(0.004373580033572032);working_memory.capacity=Int(3);curiosity.scale=Float(0.14414508119554845);sleep.replay_noise=Float(0.08643311159369375);timing.stdp_window=Int(31);energy.cost_fire_ratio=Float(0.0771741905312925);learning.base_learning_rate=Float(0.0010739424619605514);competition.strength=Float(0.2796711720013225);predictive.inference_iterations=Int(4);timing.stp_recovery_tau=Float(78.9125833145605);stp.use_fraction=Float(0.16588718057979995)"
8,0.649240,581,Completed,"memory.weight_clamp=Float(1.2888888512479348);homeostasis.meta_alpha=Float(0.003313503166746476);network.initial_exc_weight=Float(0.06612694691310798);homeostasis.target_firing_rate=Float(0.10239643768230369);learning.trace_increment=Float(0.0652406664018614);timing.stdp_tau_plus=Float(17.253163004585815);network.adaptive_threshold_multiplier=Float(2.0634653788440547);timing.stdp_tau_minus=Float(15.055842547457628);sleep.interval=Int(1500);homeostasis.homeo_interval=Int(10);network.initial_threshold=Float(0.15622195919422013);learning.ltp_ltd_ratio=Float(2.0961139181386943);stp.use_fraction=Float(0.12234281198408986);competition.strength=Float(0.28198262429376664);timing.refractory_period=Int(5);predictive.inference_iterations=Int(4);memory.dopamine_sensitivity=Float(5.433881174641168);memory.consolidation_rate=Float(0.0006753078238908394);timing.eligibility_trace_tau=Float(56.0888180677161);timing.stp_recovery_tau=Float(75.61180777279935);energy.max_energy=Float(82.4013426160443);learning.stdp_a_minus=Float(0.0021100445200370444);competition.interval=Int(7);working_memory.recurrent_strength=Float(0.6115857103051584);curiosity.scale=Float(0.23856752744609666);homeostasis.homeo_eta=Float(0.01934344749334063);energy.plasticity_cost_factor=Float(0.0889319105560267);memory.tag_decay_rate=Float(0.0012892922263548943);network.initial_inh_weight=Float(0.1425188782258236);memory.capture_threshold=Float(0.1271954158733588);learning.weight_decay=Float(0.00013391883208905756);curiosity.surprise_threshold=Float(0.008617871988536013);learning.stdp_a_plus=Float(0.0058288047006984835);energy.cost_fire_ratio=Float(0.04829857066699736);homeostasis.meta_threshold=Float(0.11488754811344844);predictive.state_learning_rate=Float(0.011922269921583704);timing.stdp_window=Int(29);curiosity.habituation_rate=Float(0.9127120810658);learning.istdp_rate=Float(0.0004986031933602298);network.inhibitory_ratio=Float(0.2263658581362958);learning.base_learning_rate=Float(0.003996372031749763);sleep.replay_noise=Float(0.06820572819053329);working_memory.decay_rate=Float(0.016113028987607962);energy.recovery_rate=Float(1.5667830185421703);working_memory.capacity=Int(7);homeostasis.memory_alpha=Float(0.01560148448185504)"
9,0.645044,742,Completed,"competition.strength=Float(0.24578232004907502);network.initial_exc_weight=Float(0.06067182766754922);learning.ltp_ltd_ratio=Float(1.3980396474707033);homeostasis.homeo_interval=Int(10);homeostasis.homeo_eta=Float(0.061404340396954506);timing.stdp_tau_plus=Float(19.92623186901357);sleep.interval=Int(2356);energy.max_energy=Float(50.79375645164255);timing.stdp_window=Int(25);memory.tag_decay_rate=Float(0.0013693058725480006);working_memory.recurrent_strength=Float(0.5353494603152735);homeostasis.meta_alpha=Float(0.005181889608909379);timing.stp_recovery_tau=Float(53.69628390849016);competition.interval=Int(5);learning.weight_decay=Float(6.0818196221779174e-5);network.inhibitory_ratio=Float(0.1088719178943131);curiosity.habituation_rate=Float(0.907169429009354);network.initial_inh_weight=Float(0.6061609181822651);energy.cost_fire_ratio=Float(0.07029940024025258);timing.refractory_period=Int(4);energy.plasticity_cost_factor=Float(0.08335145061215186);network.adaptive_threshold_multiplier=Float(2.1282123967838036);homeostasis.meta_threshold=Float(0.10382186833392407);predictive.state_learning_rate=Float(0.05133903614015319);memory.dopamine_sensitivity=Float(2.47856651909616);stp.use_fraction=Float(0.09786502181036981);timing.eligibility_trace_tau=Float(109.57254297179693);network.initial_threshold=Float(0.1911776097703673);learning.stdp_a_plus=Float(0.007195004484575246);homeostasis.target_firing_rate=Float(0.11692763397631413);timing.stdp_tau_minus=Float(11.738736301599708);energy.recovery_rate=Float(10.399078550142953);working_memory.capacity=Int(4);sleep.replay_noise=Float(0.08553245421627825);homeostasis.memory_alpha=Float(0.007352953254619517);memory.consolidation_rate=Float(0.0005859265690472272);curiosity.scale=Float(0.19766287104637895);memory.weight_clamp=Float(1.5133741368803602);learning.trace_increment=Float(0.1397052492573171);predictive.inference_iterations=Int(5);learning.base_learning_rate=Float(0.0032065411192605583);working_memory.decay_rate=Float(0.015708713915841513);learning.stdp_a_minus=Float(0.001291886942982565);memory.capture_threshold=Float(0.0973702220589319);learning.istdp_rate=Float(0.0002232574207289414);curiosity.surprise_threshold=Float(0.005086089587378508)"
