trial,score,duration_ms,status,config
0,0.646059,596,Completed,"timing.refractory_period=Int(7);predictive.inference_iterations=Int(2);homeostasis.meta_threshold=Float(0.16710165018846784);curiosity.habituation_rate=Float(0.9204408123792245);learning.base_learning_rate=Float(0.008573192827516266);network.initial_inh_weight=Float(0.39521311560999905);learning.istdp_rate=Float(0.00025841737581809706);predictive.state_learning_rate=Float(0.0467386265499036);timing.eligibility_trace_tau=Float(54.02157680901379);timing.stdp_window=Int(24);timing.stp_recovery_tau=Float(115.61141445199294);learning.ltp_ltd_ratio=Float(1.5145179916905516);homeostasis.homeo_eta=Float(0.020093498539169644);working_memory.recurrent_strength=Float(0.5928886216582937);curiosity.surprise_threshold=Float(0.004269706765658389);energy.cost_fire_ratio=Float(0.011735952101120713);sleep.replay_noise=Float(0.07721098102331417);learning.stdp_a_minus=Float(0.004147966543089672);learning.weight_decay=Float(6.308782707454762e-5);timing.stdp_tau_minus=Float(16.900232071499396);homeostasis.target_firing_rate=Float(0.10134736760783647);energy.max_energy=Float(61.42329748520238);working_memory.capacity=Int(7);learning.stdp_a_plus=Float(0.0016805963987602578);homeostasis.memory_alpha=Float(0.00520279133296747);curiosity.scale=Float(0.23867225727268315);competition.strength=Float(0.13602891537268388);learning.trace_increment=Float(0.06905688026898002);memory.dopamine_sensitivity=Float(4.189700198636786);working_memory.decay_rate=Float(0.010169243415920723);energy.plasticity_cost_factor=Float(0.08560886996695978);memory.tag_decay_rate=Float(0.006576434711226727);memory.capture_threshold=Float(0.0986347726077388);memory.consolidation_rate=Float(0.0002459645414871463);network.initial_threshold=Float(0.10435216063734894);sleep.interval=Int(3731);competition.interval=Int(7);network.inhibitory_ratio=Float(0.16231879714464742);homeostasis.homeo_interval=Int(7);memory.weight_clamp=Float(1.778116807522745);timing.stdp_tau_plus=Float(11.180300964317354);network.initial_exc_weight=Float(0.07983056843276848);homeostasis.meta_alpha=Float(0.0023166895724578297);energy.recovery_rate=Float(6.815496419979142);stp.use_fraction=Float(0.12102879080246873)"
1,0.626944,551,Completed,"learning.base_learning_rate=Float(0.0022713970609760476);energy.max_energy=Float(94.82137369802719);memory.tag_decay_rate=Float(0.0026928187668914284);energy.cost_fire_ratio=Float(0.012328384719399826);energy.plasticity_cost_factor=Float(0.03522184172301131);stp.use_fraction=Float(0.15443460227792027);timing.stdp_window=Int(12);energy.recovery_rate=Float(1.2719653100408532);learning.stdp_a_plus=Float(0.002475354365292803);memory.dopamine_sensitivity=Float(1.4428394475120212);memory.capture_threshold=Float(0.130123787880904);working_memory.decay_rate=Float(0.010733917085488863);learning.weight_decay=Float(0.0002025499256205563);network.initial_inh_weight=Float(0.628909221694085);working_memory.capacity=Int(7);learning.ltp_ltd_ratio=Float(1.2726481913758088);timing.stp_recovery_tau=Float(157.93055334545917);network.initial_exc_weight=Float(0.06882401876124182);network.inhibitory_ratio=Float(0.23185180426385532);learning.stdp_a_minus=Float(0.0025095523576878177);predictive.inference_iterations=Int(3);homeostasis.homeo_interval=Int(4);homeostasis.target_firing_rate=Float(0.1113327275778476);curiosity.surprise_threshold=Float(0.0016519575947258845);memory.consolidation_rate=Float(0.0002804905836821617);homeostasis.homeo_eta=Float(0.023366612825173595);memory.weight_clamp=Float(1.4137202735090908);curiosity.scale=Float(0.09201551481197016);network.initial_threshold=Float(0.19049933471030076);learning.trace_increment=Float(0.06943742769524396);sleep.replay_noise=Float(0.04959948261026281);learning.istdp_rate=Float(0.0008671032599619665);curiosity.habituation_rate=Float(0.9325375581203349);competition.strength=Float(0.18950498869863922);homeostasis.meta_alpha=Float(0.006892221851609467);sleep.interval=Int(1082);timing.refractory_period=Int(6);homeostasis.meta_threshold=Float(0.13810147260970004);timing.stdp_tau_plus=Float(32.50452250300546);timing.stdp_tau_minus=Float(12.131818726689513);working_memory.recurrent_strength=Float(0.5050146356585935);timing.eligibility_trace_tau=Float(133.71605729819817);competition.interval=Int(7);predictive.state_learning_rate=Float(0.010031415390299406);homeostasis.memory_alpha=Float(0.02146971125649611)"
2,0.656857,718,Completed,"homeostasis.homeo_interval=Int(2);sleep.interval=Int(560);timing.stdp_tau_minus=Float(23.790430432136738);predictive.inference_iterations=Int(5);homeostasis.memory_alpha=Float(0.006263947042867851);timing.stdp_window=Int(26);homeostasis.target_firing_rate=Float(0.0853694463929556);energy.cost_fire_ratio=Float(0.026294076814384684);learning.trace_increment=Float(0.09148733733256519);network.initial_exc_weight=Float(0.07670800319330488);curiosity.habituation_rate=Float(0.9334992009171982);learning.weight_decay=Float(0.00027114721644906);memory.dopamine_sensitivity=Float(3.048447541438147);stp.use_fraction=Float(0.16259690127628784);memory.weight_clamp=Float(2.321958644623393);competition.strength=Float(0.14848927288513847);network.initial_inh_weight=Float(0.5533713599791218);memory.tag_decay_rate=Float(0.002898917756903216);working_memory.capacity=Int(3);memory.capture_threshold=Float(0.1599899030197388);timing.stdp_tau_plus=Float(15.294570667970593);curiosity.surprise_threshold=Float(0.007991228658680412);predictive.state_learning_rate=Float(0.026084268840075857);energy.max_energy=Float(102.97416900353835);memory.consolidation_rate=Float(0.00020279758380301426);curiosity.scale=Float(0.20283334558197144);homeostasis.meta_alpha=Float(0.0031157122116432455);sleep.replay_noise=Float(0.014518634978336897);timing.refractory_period=Int(7);network.initial_threshold=Float(0.271020161400321);homeostasis.homeo_eta=Float(0.010074164492195455);timing.stp_recovery_tau=Float(143.9398537375824);energy.recovery_rate=Float(5.926471748605015);energy.plasticity_cost_factor=Float(0.06453303694132087);working_memory.recurrent_strength=Float(0.5231712553122014);timing.eligibility_trace_tau=Float(81.2356797577016);learning.istdp_rate=Float(0.00021545302688263178);learning.stdp_a_minus=Float(0.006432730522117671);learning.base_learning_rate=Float(0.0021940100936498354);learning.stdp_a_plus=Float(0.00454728616750067);learning.ltp_ltd_ratio=Float(2.375192062318137);homeostasis.meta_threshold=Float(0.12764465392745208);competition.interval=Int(10);working_memory.decay_rate=Float(0.014946877312563531);network.inhibitory_ratio=Float(0.23935871476758244)"
3,0.640827,682,Completed,"timing.stdp_tau_minus=Float(17.08526711028192);timing.stdp_window=Int(19);homeostasis.meta_alpha=Float(0.001997219815756958);curiosity.scale=Float(0.08198818729538196);memory.dopamine_sensitivity=Float(2.7387904563776195);competition.strength=Float(0.1076281013916312);predictive.inference_iterations=Int(2);memory.tag_decay_rate=Float(0.005657513018758556);timing.stdp_tau_plus=Float(29.794762737535585);working_memory.recurrent_strength=Float(0.6747451170987322);homeostasis.homeo_eta=Float(0.06064588317758642);memory.capture_threshold=Float(0.05347784778649869);working_memory.decay_rate=Float(0.02191940133983838);learning.stdp_a_plus=Float(0.0010674869603927264);timing.stp_recovery_tau=Float(116.0721557950769);sleep.interval=Int(833);competition.interval=Int(11);energy.plasticity_cost_factor=Float(0.04638448281595123);learning.trace_increment=Float(0.07839066804814866);learning.stdp_a_minus=Float(0.008766962891830645);curiosity.habituation_rate=Float(0.9055103892436043);timing.refractory_period=Int(4);memory.consolidation_rate=Float(0.0005516109378420738);network.initial_inh_weight=Float(0.11372277769579617);learning.base_learning_rate=Float(0.007868664816829114);homeostasis.meta_threshold=Float(0.11428071037267351);network.initial_exc_weight=Float(0.06803675023094675);sleep.replay_noise=Float(0.07356254833600542);homeostasis.target_firing_rate=Float(0.08492225685038657);network.inhibitory_ratio=Float(0.11985701807305614);working_memory.capacity=Int(7);learning.weight_decay=Float(5.984225387619634e-5);learning.istdp_rate=Float(0.0007485330972502236);stp.use_fraction=Float(0.13240343830138523);timing.eligibility_trace_tau=Float(79.5898560211439);predictive.state_learning_rate=Float(0.031784966746598926);energy.recovery_rate=Float(9.856965439593644);energy.cost_fire_ratio=Float(0.04658380260145846);energy.max_energy=Float(123.69596437171474);network.initial_threshold=Float(0.11875278661464174);homeostasis.memory_alpha=Float(0.011540077798590807);memory.weight_clamp=Float(2.2056591578772426);homeostasis.homeo_interval=Int(7);curiosity.surprise_threshold=Float(0.001090045833318731);learning.ltp_ltd_ratio=Float(1.9094857708340245)"
4,0.641439,483,Completed,"competition.interval=Int(11);timing.refractory_period=Int(8);timing.stdp_tau_minus=Float(16.507352729446104);learning.stdp_a_plus=Float(0.008820346561320396);energy.cost_fire_ratio=Float(0.043943317400744024);sleep.interval=Int(568);working_memory.decay_rate=Float(0.018905306785013263);learning.weight_decay=Float(0.00011851462142575708);learning.stdp_a_minus=Float(0.009669164571055334);memory.dopamine_sensitivity=Float(2.759038626160249);homeostasis.target_firing_rate=Float(0.07565716699828792);memory.tag_decay_rate=Float(0.0013353647057981212);working_memory.recurrent_strength=Float(0.5914651230423397);curiosity.surprise_threshold=Float(0.0017193018451629898);memory.weight_clamp=Float(2.0718090229369253);stp.use_fraction=Float(0.11703246549401257);network.inhibitory_ratio=Float(0.18752285700466553);competition.strength=Float(0.27728936927795633);network.initial_exc_weight=Float(0.04440066943513245);homeostasis.meta_threshold=Float(0.05872376823302446);homeostasis.meta_alpha=Float(0.0012607197862451376);predictive.inference_iterations=Int(3);curiosity.scale=Float(0.1699225129652588);homeostasis.homeo_eta=Float(0.031637086935134444);timing.eligibility_trace_tau=Float(145.80420949011986);homeostasis.homeo_interval=Int(8);timing.stp_recovery_tau=Float(164.02329199808258);learning.base_learning_rate=Float(0.0012539359393222264);curiosity.habituation_rate=Float(0.9029614719471339);working_memory.capacity=Int(7);energy.plasticity_cost_factor=Float(0.09493747367638569);energy.recovery_rate=Float(10.925084196479311);timing.stdp_tau_plus=Float(12.898178033739836);energy.max_energy=Float(77.62955733985397);timing.stdp_window=Int(31);network.initial_threshold=Float(0.2864387433478699);learning.trace_increment=Float(0.1509606062669681);learning.istdp_rate=Float(0.0003828364052736607);memory.consolidation_rate=Float(0.00031576484719326515);predictive.state_learning_rate=Float(0.01882434072156671);sleep.replay_noise=Float(0.06055570055743579);learning.ltp_ltd_ratio=Float(1.1634620344646884);homeostasis.memory_alpha=Float(0.00990978811449669);memory.capture_threshold=Float(0.13172104160341458);network.initial_inh_weight=Float(0.10653928420658673)"
5,0.645832,454,Completed,"network.initial_inh_weight=Float(0.7741855429192506);predictive.state_learning_rate=Float(0.022255686612788317);curiosity.scale=Float(0.15385596179260314);curiosity.habituation_rate=Float(0.9466957996247094);timing.stdp_tau_plus=Float(19.542964820177986);memory.dopamine_sensitivity=Float(1.1074014450673484);learning.istdp_rate=Float(0.0005251156908947072);homeostasis.memory_alpha=Float(0.01144078234211259);timing.eligibility_trace_tau=Float(64.36501318639134);timing.stp_recovery_tau=Float(165.2569998207635);network.inhibitory_ratio=Float(0.20051282858487984);timing.refractory_period=Int(3);memory.tag_decay_rate=Float(0.0024351007278629318);timing.stdp_window=Int(44);energy.recovery_rate=Float(12.562161673689765);memory.capture_threshold=Float(0.16369500573810541);working_memory.capacity=Int(7);energy.plasticity_cost_factor=Float(0.09748279003600654);learning.stdp_a_minus=Float(0.00695911022659617);sleep.replay_noise=Float(0.10478359425784638);sleep.interval=Int(3952);energy.max_energy=Float(58.44630381521915);learning.ltp_ltd_ratio=Float(2.026935113134546);curiosity.surprise_threshold=Float(0.0017986352413809424);homeostasis.homeo_interval=Int(3);memory.weight_clamp=Float(2.2642418344654707);energy.cost_fire_ratio=Float(0.07650651214795803);competition.interval=Int(7);homeostasis.target_firing_rate=Float(0.049444319549818594);homeostasis.meta_alpha=Float(0.0052013335970452195);learning.stdp_a_plus=Float(0.0011817214226512692);timing.stdp_tau_minus=Float(20.453212700191237);competition.strength=Float(0.22743502215655406);homeostasis.homeo_eta=Float(0.027597906875418445);predictive.inference_iterations=Int(4);learning.trace_increment=Float(0.052649865986930645);homeostasis.meta_threshold=Float(0.12940718172569926);network.initial_threshold=Float(0.25069383255920696);working_memory.recurrent_strength=Float(0.5231952390803944);network.initial_exc_weight=Float(0.07278421343136211);memory.consolidation_rate=Float(0.0005175224495209572);stp.use_fraction=Float(0.06642607554477316);learning.weight_decay=Float(4.740484638695301e-5);learning.base_learning_rate=Float(0.0015475063028102466);working_memory.decay_rate=Float(0.020303445492435627)"
6,0.624483,412,Completed,"sleep.interval=Int(2264);memory.consolidation_rate=Float(0.00019886245488234878);learning.weight_decay=Float(0.00016339286246557045);timing.stdp_tau_minus=Float(10.771035186660251);timing.stdp_window=Int(49);network.initial_inh_weight=Float(0.6334139041447577);sleep.replay_noise=Float(0.04972598760848073);learning.stdp_a_minus=Float(0.0028767949902865067);competition.strength=Float(0.13212372996660968);competition.interval=Int(10);working_memory.decay_rate=Float(0.014347584348199152);learning.ltp_ltd_ratio=Float(1.7201668014098348);learning.trace_increment=Float(0.09940228729960562);homeostasis.homeo_eta=Float(0.01840679888777449);network.initial_threshold=Float(0.11316077672251519);curiosity.habituation_rate=Float(0.9375612066193859);energy.plasticity_cost_factor=Float(0.040646452880615004);working_memory.recurrent_strength=Float(0.6309119590630083);energy.recovery_rate=Float(8.414800179986003);learning.istdp_rate=Float(0.0002099061565726878);homeostasis.meta_alpha=Float(0.005551019641616552);timing.refractory_period=Int(4);predictive.inference_iterations=Int(2);homeostasis.target_firing_rate=Float(0.03813442399914712);memory.tag_decay_rate=Float(0.0028850094470893374);network.initial_exc_weight=Float(0.04286583328453494);predictive.state_learning_rate=Float(0.02266685631526159);timing.eligibility_trace_tau=Float(51.027606035594026);memory.dopamine_sensitivity=Float(3.7295322622474125);homeostasis.memory_alpha=Float(0.01142092907748914);stp.use_fraction=Float(0.07113596839391068);timing.stdp_tau_plus=Float(37.55171640719094);learning.stdp_a_plus=Float(0.008451663308006863);timing.stp_recovery_tau=Float(147.80794634665546);learning.base_learning_rate=Float(0.0028837484363244906);homeostasis.meta_threshold=Float(0.12457962878387879);homeostasis.homeo_interval=Int(3);energy.max_energy=Float(50.239435175955165);energy.cost_fire_ratio=Float(0.015297089755837127);network.inhibitory_ratio=Float(0.17838439717385557);curiosity.scale=Float(0.1676602997904784);curiosity.surprise_threshold=Float(0.0012142423052680055);working_memory.capacity=Int(6);memory.weight_clamp=Float(2.0079980066530405);memory.capture_threshold=Float(0.16082501642192365)"
7,0.646799,501,Completed,"learning.ltp_ltd_ratio=Float(1.6488506439255668);working_memory.decay_rate=Float(0.019202773734020226);homeostasis.homeo_eta=Float(0.04346645228471937);energy.plasticity_cost_factor=Float(0.011875603108637875);stp.use_fraction=Float(0.150350632879499);network.initial_threshold=Float(0.14517321745985495);memory.consolidation_rate=Float(0.0003528019230013036);timing.eligibility_trace_tau=Float(94.90913576887233);energy.recovery_rate=Float(12.158660213267119);network.inhibitory_ratio=Float(0.18197650264063306);memory.dopamine_sensitivity=Float(1.3039280060455036);predictive.inference_iterations=Int(2);homeostasis.meta_alpha=Float(0.005124616652663706);competition.interval=Int(12);learning.stdp_a_plus=Float(0.0026355800844274626);sleep.interval=Int(3901);energy.cost_fire_ratio=Float(0.056006710181479964);timing.stdp_window=Int(50);learning.istdp_rate=Float(0.0006418536402910088);predictive.state_learning_rate=Float(0.03673265021968469);sleep.replay_noise=Float(0.09671439343986903);learning.weight_decay=Float(1.5415877162451923e-5);timing.refractory_period=Int(10);energy.max_energy=Float(112.03699654714134);homeostasis.meta_threshold=Float(0.15639376638140384);timing.stp_recovery_tau=Float(137.26098780456488);memory.tag_decay_rate=Float(0.004824595004484345);network.initial_inh_weight=Float(0.2799791254056569);homeostasis.memory_alpha=Float(0.013516504018807524);curiosity.habituation_rate=Float(0.9209545220124895);homeostasis.target_firing_rate=Float(0.10729299073975836);memory.weight_clamp=Float(1.3141631615148306);curiosity.surprise_threshold=Float(0.0011930313981113507);timing.stdp_tau_minus=Float(8.449420276668253);network.initial_exc_weight=Float(0.06903489758936569);working_memory.recurrent_strength=Float(0.6868711996560151);learning.stdp_a_minus=Float(0.0014130962040698294);competition.strength=Float(0.11678586360457956);curiosity.scale=Float(0.13361544303913028);timing.stdp_tau_plus=Float(15.51167338050708);homeostasis.homeo_interval=Int(10);learning.base_learning_rate=Float(0.0018816502828109954);working_memory.capacity=Int(7);learning.trace_increment=Float(0.14018229794227105);memory.capture_threshold=Float(0.07989757824221104)"
8,0.649888,530,Completed,"working_memory.decay_rate=Float(0.006207736434659295);homeostasis.meta_alpha=Float(0.005195643471153304);timing.stp_recovery_tau=Float(105.86579193032016);curiosity.scale=Float(0.18094998863780637);network.initial_threshold=Float(0.26404798938055707);network.initial_inh_weight=Float(0.21282698007133488);homeostasis.target_firing_rate=Float(0.039887737261570924);energy.cost_fire_ratio=Float(0.0736939185028183);learning.base_learning_rate=Float(0.0056393333706607485);learning.stdp_a_plus=Float(0.001703337338169283);curiosity.surprise_threshold=Float(0.0010739424619605514);learning.istdp_rate=Float(0.00018063825053593323);competition.interval=Int(7);working_memory.capacity=Int(6);timing.stdp_window=Int(37);learning.trace_increment=Float(0.12236454922760943);curiosity.habituation_rate=Float(0.9139149349005695);stp.use_fraction=Float(0.14841464904565704);homeostasis.homeo_interval=Int(1);predictive.inference_iterations=Int(1);sleep.replay_noise=Float(0.07942054814878398);predictive.state_learning_rate=Float(0.0620167387869061);homeostasis.meta_threshold=Float(0.16692500483871553);energy.recovery_rate=Float(11.188198166477541);homeostasis.homeo_eta=Float(0.046094611359854376);learning.ltp_ltd_ratio=Float(1.4864374279245822);memory.consolidation_rate=Float(0.00011148897385039739);timing.eligibility_trace_tau=Float(101.80091179223531);sleep.interval=Int(1007);network.initial_exc_weight=Float(0.08387970290935592);timing.stdp_tau_minus=Float(14.978000221303198);memory.weight_clamp=Float(1.674606092431258);memory.dopamine_sensitivity=Float(1.5845672817864844);homeostasis.memory_alpha=Float(0.01189736204812749);learning.stdp_a_minus=Float(0.009667338546769736);timing.refractory_period=Int(5);competition.strength=Float(0.20942448761999247);memory.capture_threshold=Float(0.07631907945645952);network.inhibitory_ratio=Float(0.20644680056871076);energy.plasticity_cost_factor=Float(0.059314536566220814);memory.tag_decay_rate=Float(0.005079313183787856);energy.max_energy=Float(112.21263360050801);learning.weight_decay=Float(0.00013894004030699244);timing.stdp_tau_plus=Float(31.157682740864736);working_memory.recurrent_strength=Float(0.5499563438701341)"
9,0.645044,600,Completed,"curiosity.surprise_threshold=Float(0.001324113859096464);network.initial_exc_weight=Float(0.041868980639117995);learning.ltp_ltd_ratio=Float(1.3980396474707033);learning.stdp_a_minus=Float(0.004223966115588993);timing.refractory_period=Int(4);memory.consolidation_rate=Float(0.0002695100388628877);homeostasis.meta_alpha=Float(0.0012430355580217575);working_memory.recurrent_strength=Float(0.5461012539910388);homeostasis.meta_threshold=Float(0.1493848081793135);learning.istdp_rate=Float(0.00011458984165366789);learning.base_learning_rate=Float(0.004802456869322512);sleep.replay_noise=Float(0.03095537839013976);competition.interval=Int(6);energy.max_energy=Float(112.7245662647124);homeostasis.target_firing_rate=Float(0.0874957926006745);network.initial_threshold=Float(0.1871878125907825);energy.plasticity_cost_factor=Float(0.0899029703042244);memory.dopamine_sensitivity=Float(2.5696265638269544);learning.stdp_a_plus=Float(0.004551446408769465);predictive.state_learning_rate=Float(0.04627694580210703);memory.weight_clamp=Float(1.0564839420971657);memory.tag_decay_rate=Float(0.004490257793896573);curiosity.habituation_rate=Float(0.9079539642059137);sleep.interval=Int(3358);energy.cost_fire_ratio=Float(0.027968094790812602);predictive.inference_iterations=Int(5);timing.stdp_tau_minus=Float(22.1961278764522);working_memory.capacity=Int(6);learning.weight_decay=Float(2.81351404039664e-5);learning.trace_increment=Float(0.14569743801739474);timing.stdp_tau_plus=Float(29.440805569626576);homeostasis.memory_alpha=Float(0.014768927530764904);network.inhibitory_ratio=Float(0.15786927509071988);working_memory.decay_rate=Float(0.01415779562557561);network.initial_inh_weight=Float(0.36527324353001855);timing.stdp_window=Int(54);homeostasis.homeo_interval=Int(5);stp.use_fraction=Float(0.1449624376010528);energy.recovery_rate=Float(12.706826315193164);curiosity.scale=Float(0.09049973270634648);competition.strength=Float(0.13142174250246533);timing.stp_recovery_tau=Float(165.9818991124588);memory.capture_threshold=Float(0.1382980007068948);homeostasis.homeo_eta=Float(0.04161016829368601);timing.eligibility_trace_tau=Float(120.76899588761209)"
