trial,score,duration_ms,status,config
0,0.646059,489,Completed,"learning.trace_increment=Float(0.1350184759090232);timing.stdp_tau_plus=Float(38.43491735598885);memory.tag_decay_rate=Float(0.003556202917214433);energy.recovery_rate=Float(5.6689381703429245);learning.stdp_a_minus=Float(0.0010622553090232972);timing.refractory_period=Int(6);predictive.inference_iterations=Int(5);working_memory.capacity=Int(6);sleep.interval=Int(2461);homeostasis.target_firing_rate=Float(0.0373913954634665);network.initial_inh_weight=Float(0.49776122849382487);learning.stdp_a_plus=Float(0.00341426358590399);learning.ltp_ltd_ratio=Float(1.632599533449998);network.initial_threshold=Float(0.25766633771305586);predictive.state_learning_rate=Float(0.054127844393278786);network.inhibitory_ratio=Float(0.13381951428805933);energy.cost_fire_ratio=Float(0.065711798923023);memory.consolidation_rate=Float(0.00022737991584659539);homeostasis.homeo_eta=Float(0.06052373218163511);network.initial_exc_weight=Float(0.05437844820655381);homeostasis.meta_alpha=Float(0.0021480299343436668);timing.eligibility_trace_tau=Float(61.523678320964066);timing.stp_recovery_tau=Float(138.60278329546628);working_memory.recurrent_strength=Float(0.7099570831889186);memory.capture_threshold=Float(0.06903882914200399);curiosity.scale=Float(0.015331396780752436);homeostasis.homeo_interval=Int(5);learning.weight_decay=Float(0.0002542259051403554);curiosity.surprise_threshold=Float(0.002688540124029535);timing.stdp_tau_minus=Float(19.183956116713574);homeostasis.meta_threshold=Float(0.17036564960618636);competition.strength=Float(0.17781168075227452);learning.base_learning_rate=Float(0.0014205451514499878);energy.max_energy=Float(85.54706343811635);sleep.replay_noise=Float(0.04273810727585529);energy.plasticity_cost_factor=Float(0.07721098102331417);memory.dopamine_sensitivity=Float(2.8554477039388027);homeostasis.memory_alpha=Float(0.010332981244293545);learning.istdp_rate=Float(0.00010587643649346636);stp.use_fraction=Float(0.10193233095387284);curiosity.habituation_rate=Float(0.9013138620777321);competition.interval=Int(7);working_memory.decay_rate=Float(0.013126684004262904);memory.weight_clamp=Float(1.6860239889207351);timing.stdp_window=Int(24)"
1,0.626944,483,Completed,"stp.use_fraction=Float(0.15987650355321276);competition.interval=Int(9);memory.tag_decay_rate=Float(0.004247167452586849);memory.capture_threshold=Float(0.12470228949671198);homeostasis.memory_alpha=Float(0.005172650439973718);learning.istdp_rate=Float(0.00010795994107594992);learning.ltp_ltd_ratio=Float(2.1333769036301824);learning.stdp_a_minus=Float(0.0031630095273788264);energy.plasticity_cost_factor=Float(0.04959948261026281);energy.recovery_rate=Float(8.691883636566782);homeostasis.meta_alpha=Float(0.002401595528604724);curiosity.habituation_rate=Float(0.9481562792142286);predictive.inference_iterations=Int(2);memory.consolidation_rate=Float(0.00027158449236036684);energy.cost_fire_ratio=Float(0.028584514953797803);network.initial_inh_weight=Float(0.6848337727563534);learning.stdp_a_plus=Float(0.007430557376633541);timing.stp_recovery_tau=Float(62.30109576422281);curiosity.surprise_threshold=Float(0.00970293099176635);learning.trace_increment=Float(0.06533609809478189);predictive.state_learning_rate=Float(0.05672352423225239);homeostasis.homeo_eta=Float(0.04345913748568059);curiosity.scale=Float(0.12086168502011842);network.initial_threshold=Float(0.10032071536414343);memory.weight_clamp=Float(1.3635309218344118);working_memory.capacity=Int(4);timing.eligibility_trace_tau=Float(83.70135258183076);homeostasis.target_firing_rate=Float(0.12398698283219407);network.inhibitory_ratio=Float(0.15904560702830683);homeostasis.meta_threshold=Float(0.11330410840765204);homeostasis.homeo_interval=Int(1);energy.max_energy=Float(88.25294954894412);timing.refractory_period=Int(9);sleep.interval=Int(3622);timing.stdp_tau_plus=Float(33.545462760037154);sleep.replay_noise=Float(0.03481010721642759);network.initial_exc_weight=Float(0.04060303187710304);working_memory.decay_rate=Float(0.00864545163950449);memory.dopamine_sensitivity=Float(5.221318685501189);learning.weight_decay=Float(0.00011408214316706255);timing.stdp_window=Int(12);timing.stdp_tau_minus=Float(9.904975135555718);competition.strength=Float(0.1413720273509091);working_memory.recurrent_strength=Float(0.5801659383881292);learning.base_learning_rate=Float(0.0014305380754810898)"
2,0.656857,597,Completed,"homeostasis.memory_alpha=Float(0.009247662771719548);memory.capture_threshold=Float(0.13829028167256394);curiosity.habituation_rate=Float(0.9074478907232284);learning.istdp_rate=Float(0.00017091198804849859);sleep.replay_noise=Float(0.07346996379398506);timing.eligibility_trace_tau=Float(66.0987408637797);network.initial_inh_weight=Float(0.7305426471472118);curiosity.surprise_threshold=Float(0.0038107258918519183);working_memory.capacity=Int(7);learning.weight_decay=Float(8.545467899760929e-5);timing.stdp_tau_minus=Float(25.308805046442153);homeostasis.homeo_eta=Float(0.055095597292862834);energy.cost_fire_ratio=Float(0.05018223774623643);homeostasis.meta_alpha=Float(0.001823245806061701);memory.consolidation_rate=Float(0.00010087362486758924);learning.stdp_a_plus=Float(0.009025475679302012);stp.use_fraction=Float(0.16613226230631867);predictive.inference_iterations=Int(4);timing.stp_recovery_tau=Float(106.90132059550409);working_memory.decay_rate=Float(0.005944067139256943);timing.stdp_tau_plus=Float(38.89011467082662);energy.recovery_rate=Float(11.559030689894927);energy.max_energy=Float(104.83122606641408);homeostasis.homeo_interval=Int(2);timing.refractory_period=Int(8);learning.trace_increment=Float(0.0515851834326948);learning.base_learning_rate=Float(0.0021473295404565986);network.inhibitory_ratio=Float(0.19866284287969185);learning.ltp_ltd_ratio=Float(1.971510057098118);predictive.state_learning_rate=Float(0.014224483516249746);network.initial_threshold=Float(0.19803084612312516);curiosity.scale=Float(0.21949969771539318);memory.dopamine_sensitivity=Float(2.500086699263213);learning.stdp_a_minus=Float(0.0013111643304178607);timing.stdp_window=Int(26);sleep.interval=Int(3714);competition.interval=Int(12);energy.plasticity_cost_factor=Float(0.014518634978336897);competition.strength=Float(0.2321958644623393);network.initial_exc_weight=Float(0.07428346569283946);memory.tag_decay_rate=Float(0.0026766746412367434);homeostasis.meta_threshold=Float(0.11801707700780059);homeostasis.target_firing_rate=Float(0.07637089919912882);working_memory.recurrent_strength=Float(0.5767786897781255);memory.weight_clamp=Float(2.8335894164241826)"
3,0.640827,593,Completed,"timing.stp_recovery_tau=Float(98.29973489937832);working_memory.decay_rate=Float(0.012876117752517294);timing.stdp_tau_plus=Float(24.63720552964071);sleep.replay_noise=Float(0.08585019352516397);memory.tag_decay_rate=Float(0.0026554744218049366);homeostasis.homeo_interval=Int(8);learning.trace_increment=Float(0.05877114734816625);energy.plasticity_cost_factor=Float(0.07356254833600542);sleep.interval=Int(1028);curiosity.scale=Float(0.03297216360293612);predictive.inference_iterations=Int(2);homeostasis.meta_alpha=Float(0.004265854117436824);learning.istdp_rate=Float(0.00033313920993988653);network.inhibitory_ratio=Float(0.10425438680785112);energy.cost_fire_ratio=Float(0.03680961891701669);learning.base_learning_rate=Float(0.001687039862018074);network.initial_exc_weight=Float(0.054912993874147775);network.initial_inh_weight=Float(0.5614592544877574);homeostasis.target_firing_rate=Float(0.07441529723918422);energy.recovery_rate=Float(1.333873387503874);homeostasis.homeo_eta=Float(0.04244165300873251);homeostasis.memory_alpha=Float(0.015104362806141549);learning.weight_decay=Float(5.9070211313209744e-5);learning.stdp_a_plus=Float(0.003296137307486044);working_memory.capacity=Int(7);curiosity.surprise_threshold=Float(0.0022576492420283375);timing.stdp_window=Int(19);learning.ltp_ltd_ratio=Float(1.0294059522052774);timing.eligibility_trace_tau=Float(52.244461582659376);competition.interval=Int(7);curiosity.habituation_rate=Float(0.9276401271460671);energy.max_energy=Float(124.00198531663091);timing.stdp_tau_minus=Float(5.842507081302466);working_memory.recurrent_strength=Float(0.7015777353433841);memory.capture_threshold=Float(0.17282660728619123);network.initial_threshold=Float(0.21824146632995492);homeostasis.meta_threshold=Float(0.1607473292762291);learning.stdp_a_minus=Float(0.0027534907152984302);memory.weight_clamp=Float(2.2126476944453657);stp.use_fraction=Float(0.06654751506088011);predictive.state_learning_rate=Float(0.05195572031426986);memory.dopamine_sensitivity=Float(4.933949535697221);timing.refractory_period=Int(6);competition.strength=Float(0.2205659157877243);memory.consolidation_rate=Float(0.0008346435742329154)"
4,0.641439,511,Completed,"learning.trace_increment=Float(0.05179838418303952);network.initial_threshold=Float(0.1646791348384412);timing.eligibility_trace_tau=Float(138.7373604390792);curiosity.scale=Float(0.23838746060114063);competition.interval=Int(9);homeostasis.meta_alpha=Float(0.0026558408210605234);energy.recovery_rate=Float(8.8452199939278);learning.weight_decay=Float(1.2725803670393661e-5);homeostasis.homeo_interval=Int(5);learning.istdp_rate=Float(0.000305424966065436);energy.cost_fire_ratio=Float(0.07258550691944209);working_memory.capacity=Int(7);learning.stdp_a_minus=Float(0.0011598556871138127);sleep.interval=Int(784);memory.weight_clamp=Float(1.2179493792862512);timing.stdp_window=Int(31);competition.strength=Float(0.20718090229369257);stp.use_fraction=Float(0.12293571417055459);memory.tag_decay_rate=Float(0.00225212049954377);memory.dopamine_sensitivity=Float(3.6235595335307433);timing.stdp_tau_minus=Float(10.295422908453137);memory.consolidation_rate=Float(0.0003879923944038386);learning.stdp_a_plus=Float(0.005198139804514756);network.initial_inh_weight=Float(0.47538180676647035);homeostasis.memory_alpha=Float(0.01725856495382136);timing.stdp_tau_plus=Float(44.74072237609437);memory.capture_threshold=Float(0.09604926223308996);homeostasis.meta_threshold=Float(0.06848177030181554);predictive.state_learning_rate=Float(0.05444518165276187);homeostasis.target_firing_rate=Float(0.13225601282023267);energy.plasticity_cost_factor=Float(0.06055570055743579);working_memory.recurrent_strength=Float(0.5221119537418969);network.initial_exc_weight=Float(0.053243463440622085);curiosity.surprise_threshold=Float(0.0013135498261711077);curiosity.habituation_rate=Float(0.9226069669219682);learning.base_learning_rate=Float(0.006422215141196832);sleep.replay_noise=Float(0.09245907250849042);network.inhibitory_ratio=Float(0.24182284740773563);energy.max_energy=Float(116.59497400200809);homeostasis.homeo_eta=Float(0.020839742559016893);predictive.inference_iterations=Int(4);timing.stp_recovery_tau=Float(98.86218406000691);working_memory.decay_rate=Float(0.01498242439191596);timing.refractory_period=Int(10);learning.ltp_ltd_ratio=Float(1.0140127518712572)"
5,0.645832,494,Completed,"timing.stdp_tau_plus=Float(20.831599934220222);learning.weight_decay=Float(8.971936284323019e-5);timing.stdp_window=Int(44);energy.plasticity_cost_factor=Float(0.10478359425784638);network.initial_threshold=Float(0.1818003840934952);predictive.state_learning_rate=Float(0.05486409317442777);timing.eligibility_trace_tau=Float(104.12561025745893);memory.capture_threshold=Float(0.06407717302536527);sleep.replay_noise=Float(0.03514566237925218);learning.stdp_a_minus=Float(0.0016295432246762318);stp.use_fraction=Float(0.13376069048739986);timing.stdp_tau_minus=Float(10.73621971549844);competition.interval=Int(10);sleep.interval=Int(4981);network.initial_exc_weight=Float(0.06464261446721913);network.initial_inh_weight=Float(0.19198602305072965);learning.base_learning_rate=Float(0.0010500232800076518);curiosity.scale=Float(0.19459994488502852);memory.dopamine_sensitivity=Float(4.24114748002988);learning.stdp_a_plus=Float(0.002821944679530955);energy.recovery_rate=Float(11.914720550858117);network.inhibitory_ratio=Float(0.11087726629592415);timing.refractory_period=Int(10);homeostasis.homeo_eta=Float(0.04895949021215818);homeostasis.memory_alpha=Float(0.021171419083966372);working_memory.capacity=Int(7);curiosity.habituation_rate=Float(0.9273545470129128);homeostasis.meta_threshold=Float(0.10687518459904827);learning.trace_increment=Float(0.1408393934580589);learning.istdp_rate=Float(0.0008914418743993168);timing.stp_recovery_tau=Float(52.98337347409301);homeostasis.target_firing_rate=Float(0.05412956880967355);working_memory.recurrent_strength=Float(0.5426672959683154);memory.tag_decay_rate=Float(0.001413059749256977);energy.cost_fire_ratio=Float(0.07446100318442586);energy.max_energy=Float(120.16745289325887);memory.weight_clamp=Float(2.369246817512728);homeostasis.meta_alpha=Float(0.004040844541499962);curiosity.surprise_threshold=Float(0.006966243466113756);homeostasis.homeo_interval=Int(2);predictive.inference_iterations=Int(3);memory.consolidation_rate=Float(0.0003303636565953054);learning.ltp_ltd_ratio=Float(2.444683306255537);working_memory.decay_rate=Float(0.0076727620302674835);competition.strength=Float(0.22642418344654708)"
6,0.624483,540,Completed,"energy.cost_fire_ratio=Float(0.03258159685940053);memory.weight_clamp=Float(1.9602224018797796);homeostasis.meta_threshold=Float(0.11770973566866241);homeostasis.homeo_eta=Float(0.019899106481228748);energy.recovery_rate=Float(11.63920157650467);competition.interval=Int(6);homeostasis.memory_alpha=Float(0.012616045053760745);predictive.inference_iterations=Int(4);timing.stdp_window=Int(49);competition.strength=Float(0.20079980066530403);working_memory.capacity=Int(5);timing.eligibility_trace_tau=Float(60.15605244041328);network.initial_exc_weight=Float(0.03667187942812962);learning.stdp_a_minus=Float(0.004095060898278066);learning.istdp_rate=Float(0.00011903446128485195);working_memory.recurrent_strength=Float(0.6034904087086884);learning.trace_increment=Float(0.0964247699236555);network.initial_threshold=Float(0.183672175669035);memory.capture_threshold=Float(0.05039905862659194);energy.max_energy=Float(102.78227063891995);learning.weight_decay=Float(7.851552616238791e-5);learning.stdp_a_plus=Float(0.00643905380572136);learning.ltp_ltd_ratio=Float(2.1430297945959094);homeostasis.homeo_interval=Int(6);sleep.replay_noise=Float(0.07064171006452331);working_memory.decay_rate=Float(0.006891435933311933);network.inhibitory_ratio=Float(0.239041328136586);homeostasis.target_firing_rate=Float(0.031943741692682666);predictive.state_learning_rate=Float(0.041148184592528565);homeostasis.meta_alpha=Float(0.0017931479449821998);memory.tag_decay_rate=Float(0.0011556300570551388);timing.stdp_tau_plus=Float(25.665945109367826);curiosity.scale=Float(0.026121951485081098);timing.stdp_tau_minus=Float(6.896870600035617);memory.consolidation_rate=Float(0.00020508227614523584);sleep.interval=Int(4104);timing.stp_recovery_tau=Float(125.82034061798367);stp.use_fraction=Float(0.11532033097821295);energy.plasticity_cost_factor=Float(0.04972598760848073);memory.dopamine_sensitivity=Float(2.4491132950524594);curiosity.habituation_rate=Float(0.9272971505018177);timing.refractory_period=Int(8);curiosity.surprise_threshold=Float(0.007520791935257103);learning.base_learning_rate=Float(0.002484381567470112);network.initial_inh_weight=Float(0.21836142300589975)"
7,0.646799,435,Completed,"energy.plasticity_cost_factor=Float(0.09671439343986903);timing.eligibility_trace_tau=Float(55.07248373647347);curiosity.surprise_threshold=Float(0.006845448357233067);learning.stdp_a_plus=Float(0.0013344802807792946);competition.strength=Float(0.13141631615148308);network.initial_threshold=Float(0.2330340763863721);memory.consolidation_rate=Float(0.0005639294726763245);homeostasis.meta_threshold=Float(0.15056988367591284);timing.stdp_window=Int(50);network.initial_inh_weight=Float(0.6619635441251944);working_memory.capacity=Int(3);working_memory.decay_rate=Float(0.020047526513866685);learning.base_learning_rate=Float(0.005265727534079606);timing.stdp_tau_minus=Float(6.724667154886915);homeostasis.homeo_interval=Int(9);timing.stdp_tau_plus=Float(53.18340819868804);competition.interval=Int(7);memory.capture_threshold=Float(0.15339499424523556);memory.weight_clamp=Float(1.8651341919007558);learning.stdp_a_minus=Float(0.001325811038841654);homeostasis.homeo_eta=Float(0.043735800335720304);learning.istdp_rate=Float(0.00045419120147684416);homeostasis.memory_alpha=Float(0.020131508697106466);learning.weight_decay=Float(0.00018911466013300514);stp.use_fraction=Float(0.11831375220052753);network.initial_exc_weight=Float(0.029964991910374952);curiosity.scale=Float(0.06533719138832232);energy.max_energy=Float(117.37668950049596);homeostasis.meta_alpha=Float(0.002918228703655211);homeostasis.target_firing_rate=Float(0.09123436317807863);predictive.state_learning_rate=Float(0.05407864405552989);energy.cost_fire_ratio=Float(0.011382023343206855);sleep.replay_noise=Float(0.10338425089916779);predictive.inference_iterations=Int(3);network.inhibitory_ratio=Float(0.1631314325759028);timing.refractory_period=Int(7);memory.tag_decay_rate=Float(0.003952775500826541);energy.recovery_rate=Float(3.87016751125226);timing.stp_recovery_tau=Float(58.4424446123751);memory.dopamine_sensitivity=Float(4.633462038969961);learning.trace_increment=Float(0.13950217908469545);curiosity.habituation_rate=Float(0.9328643790862673);learning.ltp_ltd_ratio=Float(1.3856695544406934);sleep.interval=Int(2510);working_memory.recurrent_strength=Float(0.5617712547680762)"
8,0.649888,521,Completed,"memory.dopamine_sensitivity=Float(2.155643733254551);timing.refractory_period=Int(5);timing.eligibility_trace_tau=Float(93.87095223008969);curiosity.habituation_rate=Float(0.9286477535456996);homeostasis.homeo_interval=Int(3);working_memory.recurrent_strength=Float(0.6690262479751897);working_memory.capacity=Int(7);homeostasis.memory_alpha=Float(0.017834789179387203);energy.recovery_rate=Float(3.5266316278201137);stp.use_fraction=Float(0.1387056671405923);energy.plasticity_cost_factor=Float(0.07942054814878398);predictive.inference_iterations=Int(4);learning.ltp_ltd_ratio=Float(1.2417721001528603);homeostasis.meta_threshold=Float(0.15385777704740355);learning.weight_decay=Float(0.0002529880794129556);network.inhibitory_ratio=Float(0.1346950999774726);memory.consolidation_rate=Float(0.0006042800101031883);competition.interval=Int(5);competition.strength=Float(0.1674606092431258);learning.stdp_a_plus=Float(0.005779429189020968);sleep.interval=Int(1835);timing.stp_recovery_tau=Float(66.23798004962457);timing.stdp_tau_plus=Float(32.31714206103169);homeostasis.homeo_eta=Float(0.06836657753616127);network.initial_exc_weight=Float(0.048825333972653685);network.initial_inh_weight=Float(0.6511220346556794);energy.max_energy=Float(60.83333192179756);timing.stdp_window=Int(37);energy.cost_fire_ratio=Float(0.046337026943531125);memory.tag_decay_rate=Float(0.00119222699215837);memory.capture_threshold=Float(0.15368772266751335);learning.base_learning_rate=Float(0.0037924196994459933);curiosity.surprise_threshold=Float(0.00695727314491857);working_memory.decay_rate=Float(0.005476247922701498);learning.trace_increment=Float(0.06335444895395881);predictive.state_learning_rate=Float(0.033149162403927256);learning.stdp_a_minus=Float(0.0029523696186673867);timing.stdp_tau_minus=Float(5.6970728155451535);learning.istdp_rate=Float(0.0008126679295750533);sleep.replay_noise=Float(0.04341283939625436);network.initial_threshold=Float(0.28658573669069115);homeostasis.target_firing_rate=Float(0.09793196596855576);curiosity.scale=Float(0.21095878699118245);homeostasis.meta_alpha=Float(0.0010967882928759375);memory.weight_clamp=Float(1.6485832372327762)"
9,0.645044,572,Completed,"homeostasis.meta_threshold=Float(0.1459803989613383);memory.tag_decay_rate=Float(0.0027798187912852065);energy.recovery_rate=Float(9.4766080678619);predictive.state_learning_rate=Float(0.0452798325846821);energy.plasticity_cost_factor=Float(0.03095537839013976);learning.istdp_rate=Float(0.00018058724329275645);network.initial_exc_weight=Float(0.06967770275419524);network.initial_inh_weight=Float(0.6317896505658955);energy.max_energy=Float(102.11551262813515);curiosity.surprise_threshold=Float(0.001291886942982565);timing.stp_recovery_tau=Float(93.60073788408206);memory.consolidation_rate=Float(0.0005356876082969669);competition.strength=Float(0.10564839420971657);timing.refractory_period=Int(10);learning.stdp_a_plus=Float(0.001992963712317074);memory.weight_clamp=Float(1.5307195299609377);homeostasis.memory_alpha=Float(0.021557191460012736);timing.stdp_tau_plus=Float(27.23140785173313);learning.stdp_a_minus=Float(0.0027040698231259215);sleep.replay_noise=Float(0.02375951021997247);network.initial_threshold=Float(0.2566513091690492);stp.use_fraction=Float(0.09822439590893323);working_memory.capacity=Int(6);working_memory.decay_rate=Float(0.009897648295080814);learning.base_learning_rate=Float(0.0058288047006984835);timing.stdp_window=Int(54);curiosity.habituation_rate=Float(0.9357928077857459);homeostasis.meta_alpha=Float(0.0023214907604295894);homeostasis.homeo_eta=Float(0.019311042013161556);learning.trace_increment=Float(0.12520823886739282);sleep.interval=Int(1263);network.inhibitory_ratio=Float(0.19872241502132326);homeostasis.homeo_interval=Int(3);timing.eligibility_trace_tau=Float(59.91345445252571);competition.interval=Int(11);energy.cost_fire_ratio=Float(0.06887587285574429);memory.capture_threshold=Float(0.15454094377452066);homeostasis.target_firing_rate=Float(0.11425679924531298);timing.stdp_tau_minus=Float(7.74331995233505);memory.dopamine_sensitivity=Float(1.2661575368293927);learning.weight_decay=Float(0.0001558180260062811);learning.ltp_ltd_ratio=Float(1.5684426647071827);working_memory.recurrent_strength=Float(0.6533292814631315);curiosity.scale=Float(0.11680507042370854);predictive.inference_iterations=Int(2)"
