step,phase,fr,max_fr,avg_threshold,avg_weight_pattern,avg_weight_noise
0,BASELINE,0.0714,0.0714,0.2000,0.5803,0.4681
100,BASELINE,0.0000,0.0714,0.1345,0.7697,0.6941
200,BASELINE,0.0000,0.0714,0.0892,0.7614,0.8273
300,BASELINE,0.0000,0.0714,0.0310,0.9985,1.3125
400,BASELINE,0.0357,0.0714,0.0122,1.2522,1.6671
500,BASELINE,0.0000,0.0714,0.0127,1.1771,1.6173
600,BASELINE,0.0000,0.0714,0.0130,1.1185,1.5757
700,BASELINE,0.0357,0.0714,0.0133,1.0964,1.5684
800,BASELINE,0.0000,0.0714,0.0127,0.8804,1.3421
900,BASELINE,0.0000,0.0714,0.0101,0.7712,1.1186
1000,BASELINE,0.0000,0.0714,0.0103,0.7769,1.1639
1100,BASELINE,0.0000,0.0714,0.0096,0.9670,1.4106
1200,BASELINE,0.0000,0.0714,0.0080,0.8212,1.2051
1300,BASELINE,0.0357,0.0714,0.0063,0.6776,0.9839
1400,BASELINE,0.0000,0.0714,0.0069,0.5862,0.8596
1500,BASELINE,0.0000,0.0714,0.0057,0.4769,0.7135
1600,BASELINE,0.0000,0.0714,0.0059,0.4097,0.6263
1700,BASELINE,0.0357,0.0714,0.0049,0.3688,0.5638
1800,BASELINE,0.0000,0.0714,0.0048,0.3368,0.5149
1900,BASELINE,0.0000,0.0714,0.0049,0.3101,0.4742
2000,BASELINE,0.0000,0.0714,0.0049,0.2875,0.4395
2100,BASELINE,0.0000,0.0714,0.0050,0.2681,0.4099
2200,BASELINE,0.0000,0.0714,0.0051,0.2514,0.3844
2300,BASELINE,0.0000,0.0714,0.0051,0.2367,0.3618
2400,BASELINE,0.0000,0.0714,0.0051,0.2240,0.3424
2500,BASELINE,0.0000,0.0714,0.0052,0.2173,0.3322
2600,BASELINE,0.0000,0.0714,0.0052,0.2077,0.3176
2700,BASELINE,0.0000,0.0714,0.0052,0.1995,0.3050
2800,BASELINE,0.0000,0.0714,0.0052,0.1925,0.2942
